Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1,Player Reference,Season,League
Precious Achiuwa,PF-C,24,TOT,52,1166,.492,7.9,.778,.517,.211,.042,.008,.222,.560,.685,.320,.267,.333,.253,.587,.950,.160,51,.443,.286,0,0,achiupr01,2023-2024,NBA
Precious Achiuwa,C,24,TOR,25,437,.459,9.5,.724,.418,.247,.047,.012,.276,.528,.662,.357,.250,.500,.277,.662,1.000,.147,21,.362,.294,0,0,achiupr01,2023-2024,NBA
Precious Achiuwa,PF,24,NYK,27,729,.522,6.3,.828,.608,.177,.038,.005,.172,.584,.699,.273,.286,.000,.219,.533,.857,.172,30,.563,.278,0,0,achiupr01,2023-2024,NBA
Bam Adebayo,C,26,MIA,48,1661,.515,8.3,.983,.244,.353,.301,.085,.017,.523,.744,.492,.424,.361,.083,.589,1.000,.157,99,.000,,0,0,adebaba01,2023-2024,NBA
Ochai Agbaji,SG,23,TOT,58,1105,.428,15.7,.435,.216,.173,.035,.011,.565,.553,.705,.408,.400,.333,.331,.809,.981,.064,16,.456,.425,0,0,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,UTA,51,1003,.426,15.9,.430,.201,.181,.036,.012,.570,.551,.720,.422,.333,.333,.331,.831,.979,.068,15,.451,.406,0,0,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,TOR,7,102,.441,14.4,.471,.324,.118,.029,.000,.529,.563,.636,.250,1.000,,.333,.667,1.000,.029,1,.500,.556,0,0,agbajoc01,2023-2024,NBA
Santi Aldama,PF,23,MEM,47,1171,.429,15.6,.476,.207,.196,.051,.021,.524,.525,.674,.417,.409,.333,.342,.692,.948,.070,26,.316,.310,0,0,aldamsa01,2023-2024,NBA
Nickeil Alexander-Walker,SG,25,MIN,59,1358,.422,17.9,.364,.144,.142,.044,.033,.636,.519,.635,.431,.438,.500,.367,.529,.964,.017,6,.450,.427,2,0,alexani01,2023-2024,NBA
Grayson Allen,SG,28,PHO,52,1723,.508,17.4,.377,.212,.144,.018,.002,.623,.545,.649,.422,.375,.000,.486,.593,.888,.027,9,.293,.543,0,0,allengr01,2023-2024,NBA
Jarrett Allen,C,25,CLE,53,1647,.640,4.2,.991,.563,.323,.087,.018,.009,.646,.731,.560,.489,.300,.000,.798,,.245,112,.200,.000,0,0,allenja01,2023-2024,NBA
Jose Alvarado,PG,25,NOP,39,654,.414,17.3,.422,.156,.181,.080,.004,.578,.490,.649,.419,.316,1.000,.358,.531,.898,.000,0,.241,.515,1,0,alvarjo01,2023-2024,NBA
Kyle Anderson,PF,30,MIN,58,1276,.473,8.9,.885,.223,.470,.162,.030,.115,.508,.606,.475,.438,.667,.206,.496,1.000,.020,6,.618,.286,1,0,anderky01,2023-2024,NBA
Giannis Antetokounmpo,PF,29,MIL,57,1989,.616,6.9,.908,.515,.248,.066,.078,.092,.651,.824,.460,.357,.361,.276,.511,.556,.193,195,.010,.000,1,0,antetgi01,2023-2024,NBA
Thanasis Antetokounmpo,PF,31,MIL,25,122,.500,3.9,.958,.792,.125,.000,.042,.042,.522,.579,.333,,.000,.000,.750,,.208,3,1.000,.000,0,0,antetth01,2023-2024,NBA
Cole Anthony,PG,23,ORL,58,1337,.433,14.5,.659,.157,.244,.170,.088,.341,.485,.632,.504,.415,.306,.333,.277,.873,.013,7,.185,.286,0,0,anthoco01,2023-2024,NBA
OG Anunoby,SF,26,TOT,41,1400,.498,14.2,.525,.308,.117,.065,.036,.475,.606,.735,.393,.387,.588,.379,.704,.953,.142,60,.467,.453,0,0,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,TOR,27,900,.489,15.2,.492,.265,.131,.056,.040,.508,.608,.753,.405,.389,.615,.374,.729,.951,.128,36,.405,.439,0,0,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,NYK,14,500,.516,12.2,.592,.395,.089,.083,.025,.408,.602,.710,.357,.385,.500,.391,.661,.960,.172,24,.625,.475,0,0,anunoog01,2023-2024,NBA
Ryan Arcidiacono,PG,29,NYK,20,45,.000,26.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,arcidry01,2023-2024,NBA
Deni Avdija,SF,23,WAS,55,1548,.513,10.8,.711,.335,.306,.043,.028,.289,.557,.724,.455,.087,.400,.404,.584,.905,.061,31,.308,.500,3,0,avdijde01,2023-2024,NBA
Deandre Ayton,C,25,POR,40,1263,.570,8.0,1.000,.282,.348,.237,.133,.000,.570,.725,.531,.418,.613,,.743,,.118,47,,,0,0,aytonde01,2023-2024,NBA
Udoka Azubuike,C,24,PHO,14,107,.727,2.4,1.000,.727,.273,.000,.000,.000,.727,.813,.500,,,,.563,,.545,10,,,0,0,azubuud01,2023-2024,NBA
Ibou Badji,C,21,POR,17,199,.632,2.9,1.000,.684,.211,.105,.000,.000,.632,.769,.250,.500,,,.417,,.474,7,,,0,0,badjiib01,2023-2024,NBA
Marvin Bagley III,C,24,TOT,41,847,.573,4.9,.952,.555,.288,.091,.018,.048,.589,.721,.442,.367,.000,.250,.632,1.000,.191,57,.250,.000,0,0,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,DET,26,478,.591,4.9,.967,.552,.276,.105,.033,.033,.606,.710,.540,.421,.000,.167,.660,1.000,.204,34,.167,.000,0,0,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,WAS,15,369,.550,4.9,.933,.557,.302,.074,.000,.067,.568,.735,.333,.273,,.300,.595,1.000,.174,23,.300,.000,0,0,baglema01,2023-2024,NBA
Amari Bailey,PG,19,CHO,3,15,.286,18.9,.571,.143,.000,.143,.286,.429,.500,1.000,,.000,.500,.000,.500,,.143,1,.000,,0,0,baileam01,2023-2024,NBA
Patrick Baldwin Jr.,SF,21,WAS,20,152,.383,16.5,.426,.277,.085,.021,.043,.574,.350,.462,.250,.000,.000,.407,.857,1.000,.043,2,.222,.333,0,0,baldwpa01,2023-2024,NBA
LaMelo Ball,PG,22,CHO,22,711,.433,15.4,.534,.191,.265,.054,.024,.466,.500,.654,.455,.348,.100,.355,.159,.586,.002,0,.157,.484,0,0,ballla01,2023-2024,NBA
Mo Bamba,C,25,PHI,36,389,.475,9.3,.729,.525,.153,.008,.042,.271,.488,.565,.278,1.000,.200,.438,.643,1.000,.161,18,.094,.000,0,0,bambamo01,2023-2024,NBA
Paolo Banchero,PF,21,ORL,57,1986,.456,12.4,.763,.215,.245,.193,.110,.237,.484,.700,.417,.385,.387,.364,.359,.724,.054,50,.067,.188,0,0,banchpa01,2023-2024,NBA
Desmond Bane,SG,25,MEM,37,1277,.474,15.8,.540,.223,.167,.062,.089,.460,.551,.716,.397,.558,.419,.384,.406,.618,.007,5,.156,.440,2,0,banede01,2023-2024,NBA
Dalano Banton,PG,24,TOT,30,273,.394,11.1,.681,.362,.255,.021,.043,.319,.484,.588,.417,.000,.250,.200,.323,1.000,.053,5,.333,.200,0,0,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,BOS,24,171,.373,11.3,.686,.275,.353,.020,.039,.314,.486,.643,.444,.000,.000,.125,.412,1.000,.078,4,.313,.200,0,0,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,POR,6,102,.419,11.0,.674,.465,.140,.023,.047,.326,.483,.550,.333,.000,.500,.286,.214,1.000,.023,1,.357,.200,0,0,bantoda01,2023-2024,NBA
Dominick Barlow,PF,20,SAS,23,307,.476,7.6,.917,.405,.238,.226,.048,.083,.481,.500,.500,.474,.250,.429,.784,1.000,.071,5,.857,.500,0,0,barlodo01,2023-2024,NBA
Harrison Barnes,PF,31,SAC,58,1704,.484,16.4,.448,.171,.207,.050,.020,.552,.587,.663,.558,.480,.500,.401,.614,.964,.036,15,.437,.421,0,0,barneha02,2023-2024,NBA
Scottie Barnes,SG,22,TOR,59,2079,.474,12.3,.689,.272,.268,.079,.070,.311,.534,.732,.426,.297,.446,.340,.462,.909,.084,73,.148,.372,1,0,barnesc01,2023-2024,NBA
RJ Barrett,SG,23,TOT,48,1502,.480,10.8,.698,.347,.261,.065,.024,.302,.532,.675,.411,.304,.412,.360,.612,.987,.047,30,.369,.430,0,0,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,NYK,26,766,.423,12.2,.665,.278,.255,.093,.039,.335,.469,.620,.374,.306,.400,.331,.537,1.000,.034,10,.377,.388,0,0,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,TOR,22,736,.550,9.1,.738,.431,.269,.031,.006,.263,.602,.717,.453,.300,.500,.405,.676,.971,.063,20,.357,.500,0,0,barrerj01,2023-2024,NBA
Charles Bassey,C,23,SAS,19,205,.725,5.0,.975,.650,.100,.200,.025,.025,.744,.846,.750,.500,.000,.000,.793,,.250,10,.000,,0,0,bassech01,2023-2024,NBA
Emoni Bates,SF,20,CLE,10,76,.240,23.1,.200,.080,.040,.000,.080,.800,.200,.000,.000,,.500,.250,.000,1.000,.000,0,.100,.500,0,0,batesem01,2023-2024,NBA
Keita Bates-Diop,SF,28,TOT,44,630,.434,12.5,.572,.333,.176,.063,.000,.428,.527,.623,.357,.500,,.309,.625,.952,.094,14,.632,.326,0,0,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,PHO,39,597,.427,12.4,.573,.340,.173,.060,.000,.427,.512,.608,.346,.444,,.313,.614,.950,.100,14,.656,.333,0,0,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,BRK,5,33,.556,14.5,.556,.222,.222,.111,.000,.444,.800,1.000,.500,1.000,,.250,.750,1.000,.000,0,.250,.000,0,0,bateske01,2023-2024,NBA
Nicolas Batum,PF,35,TOT,38,902,.507,19.2,.271,.194,.035,.028,.014,.729,.667,.679,.800,.500,.500,.448,.615,1.000,.021,3,.448,.532,0,0,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,LAC,3,54,.375,22.0,.125,.000,.125,.000,.000,.875,1.000,,1.000,,,.286,1.000,1.000,.125,1,.571,.500,0,0,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,PHI,35,848,.515,19.0,.279,.206,.029,.029,.015,.721,.658,.679,.750,.500,.500,.459,.600,1.000,.015,2,.439,.535,0,0,batumni01,2023-2024,NBA
Darius Bazley,PF,23,PHI,3,10,.000,0.8,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,,1.000,0,,,0,0,bazleda01,2023-2024,NBA
Bradley Beal,SG,30,PHO,30,979,.495,13.5,.688,.218,.211,.130,.130,.313,.556,.713,.473,.500,.482,.363,.442,.878,.039,14,.296,.375,0,0,bealbr01,2023-2024,NBA
Malik Beasley,SG,27,MIL,57,1685,.471,20.7,.255,.072,.104,.044,.036,.745,.531,.722,.500,.455,.333,.450,.632,.946,.008,3,.383,.524,0,0,beaslma01,2023-2024,NBA
MarJon Beauchamp,SF,23,MIL,42,580,.487,14.8,.539,.289,.118,.046,.086,.461,.561,.636,.500,.429,.462,.400,.587,.964,.105,12,.400,.429,0,0,beaucma01,2023-2024,NBA
Jules Bernard,SG,24,WAS,6,28,.250,18.6,.333,.250,.000,.083,.000,.667,.500,.667,,.000,,.125,.000,1.000,.000,0,.250,.000,0,0,bernaju01,2023-2024,NBA
Dāvis Bertāns,PF,31,TOT,20,149,.423,24.8,.038,.019,.000,.019,.000,.962,.000,.000,,.000,,.440,,.955,.000,0,.360,.389,0,0,bertada01,2023-2024,NBA
Dāvis Bertāns,PF,31,OKC,15,91,.385,23.8,.077,.038,.000,.038,.000,.923,.000,.000,,.000,,.417,,.900,.000,0,.375,.333,0,0,bertada01,2023-2024,NBA
Dāvis Bertāns,PF,31,CHO,5,58,.462,25.8,.000,.000,.000,.000,.000,1.000,,,,,,.462,,1.000,.000,0,.346,.444,0,0,bertada01,2023-2024,NBA
Patrick Beverley,PG,35,TOT,54,1027,.420,15.0,.540,.153,.303,.069,.015,.460,.500,.714,.446,.316,.250,.325,.338,.805,.004,1,.270,.529,0,0,beverpa01,2023-2024,NBA
Patrick Beverley,PG,35,PHI,47,919,.432,14.9,.548,.154,.315,.066,.012,.452,.523,.703,.474,.375,.333,.321,.348,.771,.004,1,.220,.583,0,0,beverpa01,2023-2024,NBA
Patrick Beverley,PG,35,MIL,7,108,.333,15.9,.485,.152,.212,.091,.030,.515,.313,.800,.143,.000,.000,.353,.200,1.000,.000,0,.588,.400,0,0,beverpa01,2023-2024,NBA
Saddiq Bey,SF,24,ATL,57,1856,.421,14.5,.482,.293,.151,.029,.010,.518,.527,.626,.394,.278,.333,.323,.487,.981,.069,41,.466,.293,1,0,beysa01,2023-2024,NBA
Goga Bitadze,C,24,ORL,49,870,.605,3.6,.937,.700,.226,.005,.005,.063,.635,.714,.419,.000,.000,.167,.646,1.000,.289,49,.250,.000,0,0,bitadgo01,2023-2024,NBA
Onuralp Bitim,SG,24,CHI,3,33,.500,14.1,.500,.167,.333,.000,.000,.500,.333,.000,.500,,,.667,1.000,1.000,.000,0,.667,.500,0,0,bitimon01,2023-2024,NBA
Bismack Biyombo,C,31,TOT,31,726,.563,3.7,1.000,.487,.504,.008,.000,.000,.563,.724,.417,.000,,,.776,,.210,24,,,0,0,biyombi01,2023-2024,NBA
Bismack Biyombo,C,31,MEM,30,718,.563,3.7,1.000,.487,.504,.008,.000,.000,.563,.724,.417,.000,,,.776,,.210,24,,,0,0,biyombi01,2023-2024,NBA
Bismack Biyombo,C,31,OKC,1,8,,,,,,,,,,,,,,,,,,0,,,0,0,biyombi01,2023-2024,NBA
Anthony Black,PG,20,ORL,54,1002,.469,12.8,.638,.314,.164,.087,.072,.362,.523,.692,.412,.333,.267,.373,.725,.929,.097,18,.520,.410,0,0,blackan01,2023-2024,NBA
Leaky Black,SF,24,CHO,22,218,.436,12.1,.615,.308,.231,.026,.051,.385,.417,.667,.222,.000,.000,.467,.600,1.000,.077,3,.467,.571,0,0,blackle01,2023-2024,NBA
Bogdan Bogdanović,SG,31,ATL,56,1632,.430,18.6,.404,.119,.145,.083,.057,.596,.514,.581,.526,.446,.444,.373,.595,.902,.011,7,.216,.436,3,0,bogdabo01,2023-2024,NBA
Bojan Bogdanović,PF-SF,34,TOT,34,1070,.467,16.7,.501,.112,.195,.134,.061,.499,.514,.691,.458,.485,.433,.419,.583,.883,.004,2,.264,.462,0,0,bogdabo02,2023-2024,NBA
Bojan Bogdanović,PF,34,DET,28,921,.468,16.6,.513,.111,.200,.141,.061,.487,.518,.723,.447,.500,.423,.415,.584,.860,.002,1,.232,.438,0,0,bogdabo02,2023-2024,NBA
Bojan Bogdanović,SF,34,NYK,6,149,.456,17.4,.426,.118,.162,.088,.059,.574,.483,.500,.545,.333,.500,.436,.571,1.000,.015,1,.436,.529,0,0,bogdabo02,2023-2024,NBA
Bol Bol,PF,24,PHO,20,208,.653,11.8,.736,.194,.347,.167,.028,.264,.755,1.000,.720,.667,.000,.368,.700,1.000,.153,10,.526,.500,0,0,bolbo01,2023-2024,NBA
Marques Bolden,C,25,TOT,3,8,,,,,,,,,,,,,,,,,,0,,,0,0,boldema01,2023-2024,NBA
Marques Bolden,C,25,MIL,2,3,,,,,,,,,,,,,,,,,,0,,,0,0,boldema01,2023-2024,NBA
Marques Bolden,C,25,CHO,1,5,,,,,,,,,,,,,,,,,,0,,,0,0,boldema01,2023-2024,NBA
Devin Booker,PG,27,PHO,48,1711,.496,15.2,.703,.133,.164,.243,.164,.297,.549,.789,.474,.524,.467,.371,.360,.618,.016,12,.073,.500,0,0,bookede01,2023-2024,NBA
Brandon Boston Jr.,SF,22,LAC,18,124,.400,14.5,.667,.183,.150,.233,.100,.333,.450,.636,.333,.500,.167,.300,.611,.667,.033,2,.250,.600,0,0,bostobr01,2023-2024,NBA
Chris Boucher,PF,31,TOR,47,645,.490,12.6,.559,.368,.162,.010,.020,.441,.623,.760,.364,.500,.250,.322,.592,1.000,.088,16,.422,.263,0,0,bouchch01,2023-2024,NBA
James Bouknight,SG,23,CHO,14,81,.439,20.2,.268,.171,.049,.024,.024,.732,.455,.714,.000,.000,.000,.433,.400,.538,.024,1,.233,.286,0,0,bouknja01,2023-2024,NBA
Jamaree Bouyea,PG,24,POR,6,57,.238,15.6,.619,.238,.333,.000,.048,.381,.385,.600,.143,,1.000,.000,.400,,.000,0,.000,,1,0,bouyeja01,2023-2024,NBA
Malaki Branham,PG,20,SAS,54,1096,.429,15.0,.593,.171,.200,.150,.071,.407,.498,.764,.310,.540,.300,.327,.621,.964,.021,9,.251,.326,0,0,branhma01,2023-2024,NBA
Christian Braun,SG,22,DEN,59,1129,.434,11.4,.673,.309,.306,.029,.029,.327,.476,.679,.324,.100,.300,.348,.700,.974,.058,18,.295,.273,1,0,braunch01,2023-2024,NBA
Mikal Bridges,SF,27,BRK,58,2032,.445,15.1,.581,.184,.166,.167,.064,.419,.511,.682,.429,.494,.274,.354,.497,.868,.016,15,.356,.407,2,0,bridgmi01,2023-2024,NBA
Miles Bridges,SF,25,CHO,47,1751,.463,13.7,.625,.284,.200,.058,.083,.375,.516,.657,.422,.375,.362,.373,.597,.871,.053,40,.177,.364,4,0,bridgmi02,2023-2024,NBA
Oshae Brissett,SF,25,BOS,38,404,.455,12.5,.584,.337,.198,.010,.040,.416,.576,.676,.450,1.000,.250,.286,.647,1.000,.139,13,.548,.348,0,0,brissos01,2023-2024,NBA
Malcolm Brogdon,PG,31,POR,39,1121,.440,15.4,.599,.206,.157,.117,.119,.401,.458,.608,.385,.431,.322,.412,.257,.756,.002,0,.121,.500,0,0,brogdma01,2023-2024,NBA
Armoni Brooks,PG,25,BRK,10,104,.326,20.0,.304,.109,.152,.022,.022,.696,.286,.000,.571,.000,.000,.344,.750,.909,.000,0,.063,.000,0,0,brookar01,2023-2024,NBA
Dillon Brooks,SF,28,HOU,49,1532,.441,15.2,.543,.183,.239,.085,.035,.457,.478,.697,.333,.413,.474,.397,.600,.959,.019,8,.150,.486,2,0,brookdi01,2023-2024,NBA
Bruce Brown,SG-PG,27,TOT,51,1440,.464,12.1,.700,.249,.256,.157,.038,.300,.530,.708,.414,.465,.412,.309,.595,.905,.026,12,.390,.377,1,0,brownbr01,2023-2024,NBA
Bruce Brown,SG,27,IND,33,981,.475,12.9,.678,.207,.264,.162,.045,.322,.545,.692,.458,.529,.429,.327,.552,.909,.019,6,.436,.386,1,0,brownbr01,2023-2024,NBA
Bruce Brown,PG,27,TOR,18,459,.439,10.4,.748,.345,.237,.144,.022,.252,.500,.729,.303,.300,.333,.257,.692,.889,.043,6,.257,.333,0,0,brownbr01,2023-2024,NBA
Charlie Brown Jr.,SG,26,NYK,7,36,.200,19.0,.300,.100,.200,.000,.000,.700,.000,.000,.000,,,.286,,1.000,.000,0,.286,.500,0,0,brownch02,2023-2024,NBA
Greg Brown III,PF,22,DAL,6,40,.455,8.5,.727,.636,.091,.000,.000,.273,.500,.571,.000,,,.333,.750,1.000,.273,2,.000,,0,0,browngr01,2023-2024,NBA
Jaylen Brown,SF,27,BOS,53,1773,.499,13.2,.672,.227,.247,.123,.074,.328,.574,.750,.473,.558,.397,.347,.408,.635,.079,60,.203,.377,0,0,brownja02,2023-2024,NBA
Kendall Brown,SG,20,IND,5,20,.500,9.0,.833,.333,.333,.167,.000,.167,.600,1.000,.500,.000,,.000,.667,,.000,0,.000,,0,0,brownke03,2023-2024,NBA
Kobe Brown,PF,24,LAC,32,279,.371,17.7,.371,.226,.081,.048,.016,.629,.478,.571,.400,.000,1.000,.308,.727,1.000,.048,3,.308,.167,0,0,brownko01,2023-2024,NBA
Moses Brown,C,24,POR,9,82,.429,3.0,1.000,.429,.571,.000,.000,.000,.429,.444,.417,,,,.667,,.333,5,,,0,0,brownmo01,2023-2024,NBA
Troy Brown Jr.,SF,24,TOT,42,484,.430,19.9,.303,.141,.092,.035,.035,.697,.581,.700,.308,.600,.800,.364,.480,.889,.000,0,.293,.379,2,0,browntr01,2023-2024,NBA
Troy Brown Jr.,SF,24,MIN,37,410,.441,19.9,.288,.136,.076,.042,.034,.712,.618,.750,.333,.600,.750,.369,.476,.871,.000,0,.321,.370,1,0,browntr01,2023-2024,NBA
Troy Brown Jr.,SF,24,DET,5,74,.375,19.7,.375,.167,.167,.000,.042,.625,.444,.500,.250,,1.000,.333,.500,1.000,.000,0,.133,.500,1,0,browntr01,2023-2024,NBA
Jalen Brunson,PG,27,NYK,55,1981,.478,14.5,.679,.124,.273,.181,.101,.321,.513,.650,.494,.471,.474,.403,.226,.575,.001,1,.116,.476,1,0,brunsja01,2023-2024,NBA
Thomas Bryant,C,26,MIA,25,259,.571,5.9,.948,.481,.312,.091,.065,.052,.603,.757,.542,.429,.000,.000,.682,,.286,20,.250,.000,0,0,bryanth01,2023-2024,NBA
Kobe Bufkin,SG,20,ATL,7,56,.333,17.4,.476,.143,.143,.095,.095,.524,.400,.000,.333,.500,1.000,.273,.500,.333,.000,0,.091,.000,0,0,bufkiko01,2023-2024,NBA
Reggie Bullock,SF,32,HOU,24,218,.412,21.8,.216,.039,.059,.039,.078,.784,.455,1.000,.333,.500,.250,.400,1.000,.938,.000,0,.400,.500,0,0,bullore01,2023-2024,NBA
Alec Burks,SG,32,TOT,50,1033,.382,18.9,.410,.074,.139,.113,.084,.590,.369,.486,.303,.407,.325,.391,.500,.782,.000,0,.292,.366,0,0,burksal01,2023-2024,NBA
Alec Burks,SG,32,DET,43,901,.394,19.2,.392,.069,.135,.101,.086,.608,.384,.536,.273,.463,.343,.401,.541,.788,.000,0,.279,.391,0,0,burksal01,2023-2024,NBA
Alec Burks,SG,32,NYK,7,132,.314,16.9,.514,.100,.157,.186,.071,.486,.306,.286,.455,.231,.200,.324,.273,.727,.000,0,.382,.231,0,0,burksal01,2023-2024,NBA
Jared Butler,SG,23,WAS,21,163,.552,15.8,.534,.259,.259,.000,.017,.466,.710,.933,.533,,.000,.370,.500,.700,.034,2,.074,.500,2,0,butleja02,2023-2024,NBA
Jimmy Butler,PF,34,MIA,39,1314,.504,9.6,.833,.267,.360,.154,.052,.167,.515,.669,.471,.363,.481,.448,.453,.769,.054,26,.425,.459,0,0,butleji01,2023-2024,NBA
Jamal Cain,PF,24,MIA,16,225,.420,12.7,.623,.246,.232,.101,.043,.377,.488,.647,.313,.429,.667,.308,.667,.875,.087,5,.654,.294,0,0,cainja01,2023-2024,NBA
Kentavious Caldwell-Pope,SG,30,DEN,54,1708,.442,16.7,.513,.184,.097,.092,.139,.487,.498,.538,.463,.462,.492,.383,.796,.975,.012,5,.359,.419,0,0,caldwke01,2023-2024,NBA
Toumani Camara,PF,23,POR,56,1328,.433,11.7,.602,.348,.222,.023,.009,.398,.515,.630,.355,.375,.333,.309,.528,1.000,.076,20,.434,.271,0,0,camarto01,2023-2024,NBA
Clint Capela,C,29,ATL,50,1270,.563,2.2,1.000,.721,.272,.002,.005,.000,.563,.627,.407,.000,.000,,.637,,.260,100,,,0,0,capelca01,2023-2024,NBA
Jevon Carter,PG,28,CHI,56,767,.371,20.4,.357,.038,.089,.144,.086,.643,.442,.273,.423,.476,.480,.332,.652,.871,.000,0,.262,.408,1,0,carteje01,2023-2024,NBA
Wendell Carter Jr.,C,24,ORL,33,861,.544,12.2,.633,.328,.212,.069,.023,.367,.622,.847,.364,.444,.333,.411,.755,1.000,.193,43,.379,.417,0,0,cartewe01,2023-2024,NBA
D.J. Carton,SG,23,TOR,1,4,1.000,9.5,1.000,.000,1.000,.000,.000,.000,1.000,,1.000,,,,.000,,.000,0,,,0,0,cartodj01,2023-2024,NBA
Alex Caruso,SG,29,CHI,50,1360,.474,16.8,.397,.230,.121,.022,.025,.603,.607,.726,.432,.625,.333,.386,.489,.894,.036,12,.345,.342,0,0,carusal01,2023-2024,NBA
Colin Castleton,C,23,LAL,7,36,.700,3.6,1.000,.700,.200,.100,.000,.000,.700,.714,.500,1.000,,,.714,,.200,2,,,0,0,castlco01,2023-2024,NBA
Malcolm Cazalon,SG,22,DET,1,3,,,,,,,,,,,,,,,,,,0,,,0,0,cazalma01,2023-2024,NBA
Julian Champagnie,SF,22,SAS,52,874,.398,19.0,.291,.175,.088,.012,.016,.709,.493,.659,.273,.000,.250,.360,.861,.969,.056,9,.320,.368,0,0,champju02,2023-2024,NBA
Justin Champagnie,SF,22,WAS,2,10,.714,12.0,.571,.429,.143,.000,.000,.429,1.000,1.000,1.000,,,.333,1.000,1.000,.000,0,.667,.000,0,0,champju01,2023-2024,NBA
Max Christie,SG,20,LAL,47,787,.423,16.6,.505,.138,.168,.138,.061,.495,.495,.593,.364,.556,.500,.351,.653,.971,.066,12,.412,.425,1,0,chrisma02,2023-2024,NBA
Sidy Cissoko,SF,19,SAS,5,32,.167,18.5,.333,.000,.333,.000,.000,.667,.500,,.500,,,.000,1.000,,.000,0,.500,.000,0,0,cissosi01,2023-2024,NBA
Jordan Clarkson,SG,31,UTA,49,1481,.413,14.9,.617,.113,.338,.121,.046,.383,.484,.580,.481,.402,.485,.297,.381,.695,.015,10,.145,.400,6,0,clarkjo01,2023-2024,NBA
Nic Claxton,C,24,BRK,48,1405,.626,3.7,.990,.594,.334,.052,.010,.010,.630,.758,.452,.333,.500,.250,.714,1.000,.295,106,1.000,.250,0,0,claxtni01,2023-2024,NBA
Noah Clowney,PF,19,BRK,7,69,.611,7.7,.778,.444,.333,.000,.000,.222,.714,1.000,.333,,,.250,.700,1.000,.167,3,.750,.000,0,0,clownno01,2023-2024,NBA
Amir Coffey,SF,26,LAC,45,834,.527,15.6,.500,.183,.183,.108,.027,.500,.634,.765,.618,.450,.600,.419,.797,.974,.032,6,.559,.423,2,0,coffeam01,2023-2024,NBA
John Collins,PF,26,UTA,55,1527,.518,11.1,.680,.317,.273,.049,.040,.320,.603,.771,.488,.414,.292,.337,.737,.984,.140,79,.500,.347,0,0,collijo01,2023-2024,NBA
Zach Collins,C,26,SAS,47,1108,.475,12.2,.671,.250,.308,.074,.039,.329,.566,.722,.481,.594,.176,.289,.659,1.000,.039,17,.099,.286,0,0,colliza01,2023-2024,NBA
Mike Conley,PG,36,MIN,54,1551,.448,19.2,.350,.077,.142,.100,.032,.650,.450,.667,.459,.326,.286,.446,.426,.840,.000,0,.250,.500,0,0,conlemi01,2023-2024,NBA
Pat Connaughton,SF,31,MIL,53,1135,.464,18.2,.306,.203,.099,.000,.005,.694,.647,.800,.318,,1.000,.383,.614,.949,.023,3,.455,.429,0,0,connapa01,2023-2024,NBA
Bilal Coulibaly,SF,19,WAS,56,1494,.442,13.1,.587,.308,.198,.040,.040,.413,.502,.678,.351,.133,.267,.357,.627,.945,.142,46,.461,.408,0,0,coulibi01,2023-2024,NBA
Ricky Council IV,SG,22,PHI,18,175,.507,9.1,.775,.380,.324,.042,.028,.225,.582,.630,.522,.667,.500,.250,.594,1.000,.099,6,.125,.000,0,0,councri01,2023-2024,NBA
Robert Covington,SF-PF,33,TOT,29,488,.439,16.4,.429,.245,.143,.031,.010,.571,.571,.625,.571,.333,.000,.339,.750,1.000,.031,3,.268,.467,0,0,covinro01,2023-2024,NBA
Robert Covington,PF,33,LAC,3,69,.333,22.2,.111,.111,.000,.000,.000,.889,1.000,1.000,,,,.250,1.000,1.000,.111,1,.375,.333,0,0,covinro01,2023-2024,NBA
Robert Covington,SF,33,PHI,26,419,.449,15.8,.461,.258,.157,.034,.011,.539,.561,.609,.571,.333,.000,.354,.739,1.000,.022,2,.250,.500,0,0,covinro01,2023-2024,NBA
Torrey Craig,SF,33,CHI,33,694,.425,16.7,.407,.222,.126,.018,.042,.593,.500,.622,.381,.333,.286,.374,.529,.946,.024,3,.434,.349,0,0,craigto01,2023-2024,NBA
