Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1,Player Reference,Season,League
Awvee Storey,SG,30,MIL,26,259,0.438,10.3,0.921,0.404,0.067,0.135,0.315,0.079,0.476,0.75,0.333,0.417,0.179,0.0,0.692,,0.056,4,0.286,0.0,0,0,storeaw01,2007-2008,NBA
Damon Stoudamire,PG,34,TOT,60,1037,0.356,17.6,0.558,0.151,0.071,0.107,0.228,0.442,0.372,0.392,0.5,0.306,0.351,0.336,0.186,0.86,0.0,0,0.188,0.464,1,0,stoudda01,2007-2008,NBA
Damon Stoudamire,PG,34,MEM,29,624,0.397,17.6,0.515,0.18,0.041,0.098,0.196,0.485,0.41,0.429,0.5,0.368,0.395,0.383,0.146,0.889,0.0,0,0.106,0.6,0,0,stoudda01,2007-2008,NBA
Damon Stoudamire,PG,34,SAS,31,413,0.301,17.6,0.615,0.112,0.112,0.119,0.273,0.385,0.33,0.313,0.5,0.235,0.308,0.255,0.241,0.786,0.0,0,0.327,0.389,1,0,stoudda01,2007-2008,NBA
Salim Stoudamire,PG,25,ATL,35,402,0.361,20.3,0.528,0.1,0.033,0.056,0.339,0.472,0.379,0.5,0.333,0.2,0.377,0.341,0.611,0.828,0.0,0,0.118,0.4,1,0,stoudsa01,2007-2008,NBA
Amar'e Stoudemire,C,25,PHO,79,2677,0.59,7.0,0.974,0.453,0.229,0.123,0.169,0.026,0.601,0.734,0.458,0.53,0.488,0.161,0.701,0.4,0.182,211,0.29,0.333,1,0,stoudam01,2007-2008,NBA
D.J. Strawberry,SG,22,PHO,33,270,0.315,13.1,0.728,0.337,0.076,0.011,0.304,0.272,0.343,0.387,0.143,0.0,0.357,0.24,0.522,0.833,0.022,1,0.32,0.125,0,0,strawdj01,2007-2008,NBA
Rodney Stuckey,PG,21,DET,57,1081,0.401,9.4,0.958,0.453,0.086,0.094,0.325,0.042,0.41,0.474,0.242,0.389,0.371,0.188,0.313,0.333,0.024,9,0.125,0.0,1,0,stuckro01,2007-2008,NBA
Robert Swift,C,22,SEA,8,98,0.353,4.7,1.0,0.529,0.176,0.294,0.0,0.0,0.353,0.333,0.0,0.6,,,0.667,,0.0,0,,,0,0,swiftro01,2007-2008,NBA
Stromile Swift,PF,28,TOT,56,844,0.509,6.3,0.992,0.517,0.181,0.125,0.17,0.008,0.513,0.635,0.5,0.333,0.289,0.0,0.719,,0.208,48,0.0,,1,0,swiftst01,2007-2008,NBA
Stromile Swift,PF,28,MEM,35,549,0.525,5.7,0.989,0.531,0.215,0.13,0.113,0.011,0.531,0.67,0.5,0.261,0.25,0.0,0.688,,0.181,29,0.0,,1,0,swiftst01,2007-2008,NBA
Stromile Swift,PF,28,NJN,21,295,0.477,7.5,1.0,0.489,0.114,0.114,0.284,0.0,0.477,0.558,0.5,0.5,0.32,,0.786,,0.261,19,,,0,0,swiftst01,2007-2008,NBA
Wally Szczerbiak,SF,30,TOT,75,1736,0.431,17.0,0.698,0.116,0.094,0.129,0.359,0.302,0.438,0.607,0.412,0.452,0.386,0.413,0.661,0.944,0.006,4,0.239,0.462,0,0,szczewa02,2007-2008,NBA
