Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Precious Achiuwa,PF-C,24,TOT,52,1166,,,,45%,56%,0.4,-1.3,22,14,58,9,38,3,169,7,25,achiupr01,2023-2024,NBA
Precious Achiuwa,C,24,TOR,25,437,,,,3%,97%,-5.2,-2.3,12,8,23,5,18,1,105,2,13,achiupr01,2023-2024,NBA
Precious Achiuwa,PF,24,NYK,27,729,,,,70%,30%,3.7,-0.6,10,6,35,4,20,2,64,5,12,achiupr01,2023-2024,NBA
Bam Adebayo,C,26,MIA,48,1661,,,,,100%,0.3,-1.3,41,33,56,28,142,5,491,30,35,adebaba01,2023-2024,NBA
Ochai Agbaji,SG,23,TOT,58,1105,,18%,76%,6%,,-4.8,-3.2,17,10,42,8,16,2,134,6,24,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,UTA,51,1003,,12%,81%,6%,,-5.3,-3.9,14,8,37,6,12,2,119,5,21,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,TOR,7,102,5%,70%,23%,3%,,0.5,3.9,3,2,5,2,4,0,15,1,3,agbajoc01,2023-2024,NBA
Santi Aldama,PF,23,MEM,47,1171,,,7%,84%,9%,-6.0,0.8,29,12,41,4,29,3,247,11,23,aldamsa01,2023-2024,NBA
Nickeil Alexander-Walker,SG,25,MIN,59,1358,55%,43%,2%,,,7.9,1.0,36,11,64,4,14,23,377,3,20,alexani01,2023-2024,NBA
Grayson Allen,SG,28,PHO,52,1723,24%,73%,3%,,,4.6,4.2,43,13,54,5,46,14,385,12,20,allengr01,2023-2024,NBA
Jarrett Allen,C,25,CLE,53,1647,,,,,100%,7.9,6.3,49,20,65,19,86,14,333,17,49,allenja01,2023-2024,NBA
Jose Alvarado,PG,25,NOP,39,654,98%,2%,,,,12.0,9.9,16,8,16,1,15,10,173,1,14,alvarjo01,2023-2024,NBA
Kyle Anderson,PF,30,MIN,58,1276,,,71%,29%,,4.7,-4.8,46,18,39,2,46,5,558,6,14,anderky01,2023-2024,NBA
Giannis Antetokounmpo,PF,29,MIL,57,1989,,,,59%,41%,7.0,10.1,66,51,65,38,299,7,943,81,70,antetgi01,2023-2024,NBA
Thanasis Antetokounmpo,PF,31,MIL,25,122,,,11%,43%,46%,-7.2,-11.7,4,3,11,1,1,1,36,0,3,antetth01,2023-2024,NBA
Cole Anthony,PG,23,ORL,58,1337,100%,,,,,0.8,-0.4,52,32,69,6,73,10,438,13,23,anthoco01,2023-2024,NBA
OG Anunoby,SF,26,TOT,41,1400,,2%,77%,21%,1%,10.3,14.1,25,16,46,13,44,4,218,14,34,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,TOR,27,900,,2%,80%,16%,2%,2.0,7.6,17,11,26,10,24,4,169,9,20,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,NYK,14,500,,,69%,31%,,25.3,25.7,8,5,20,3,20,0,49,5,14,anunoog01,2023-2024,NBA
Ryan Arcidiacono,PG,29,NYK,20,45,,65%,36%,,,7.6,3.5,2,0,3,0,0,2,11,0,0,arcidry01,2023-2024,NBA
Deni Avdija,SF,23,WAS,55,1548,,,56%,41%,4%,-8.0,4.4,63,28,69,12,95,9,481,31,46,avdijde01,2023-2024,NBA
Deandre Ayton,C,25,POR,40,1263,,,,,100%,-8.3,2.0,20,28,59,12,25,2,169,3,28,aytonde01,2023-2024,NBA
Udoka Azubuike,C,24,PHO,14,107,,,,,100%,-14.5,-18.2,0,2,12,2,5,1,6,1,3,azubuud01,2023-2024,NBA
Ibou Badji,C,21,POR,17,199,,,,,100%,-20.0,-11.4,1,7,25,4,4,0,28,0,3,badjiib01,2023-2024,NBA
Marvin Bagley III,C,24,TOT,41,847,,,,1%,99%,-8.0,1.3,14,10,38,18,58,8,115,13,30,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,DET,26,478,,,,1%,99%,-7.9,0.7,10,5,22,10,30,6,65,6,14,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,WAS,15,369,,,,,100%,-8.2,2.1,4,5,16,8,28,2,50,7,16,baglema01,2023-2024,NBA
Amari Bailey,PG,19,CHO,3,15,100%,,,,,3.6,14.4,1,0,0,0,0,0,2,0,0,baileam01,2023-2024,NBA
Patrick Baldwin Jr.,SF,21,WAS,20,152,,,6%,47%,47%,13.5,24.9,2,2,13,2,7,0,20,2,3,baldwpa01,2023-2024,NBA
LaMelo Ball,PG,22,CHO,22,711,69%,29%,1%,,,-9.2,2.0,37,22,26,11,40,5,396,7,14,ballla01,2023-2024,NBA
Mo Bamba,C,25,PHI,36,389,,,,,100%,-1.5,-5.5,6,4,29,12,14,1,63,4,11,bambamo01,2023-2024,NBA
Paolo Banchero,PF,21,ORL,57,1986,,,,95%,5%,-1.7,-9.2,81,58,62,18,198,0,722,39,69,banchpa01,2023-2024,NBA
Desmond Bane,SG,25,MEM,37,1277,10%,48%,38%,3%,,-6.7,-0.5,42,25,50,18,53,10,487,11,50,banede01,2023-2024,NBA
Dalano Banton,PG,24,TOT,30,273,45%,50%,5%,,,-5.0,-8.3,9,4,14,4,21,1,69,7,4,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,BOS,24,171,38%,54%,8%,,,4.5,-6.2,6,1,11,3,10,1,46,2,3,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,POR,6,102,58%,42%,,,,-20.9,-11.9,3,3,3,1,11,0,23,5,1,bantoda01,2023-2024,NBA
Dominick Barlow,PF,20,SAS,23,307,,,3%,14%,84%,-6.7,2.0,2,0,23,3,15,1,62,2,5,barlodo01,2023-2024,NBA
Harrison Barnes,PF,31,SAC,58,1704,,,12%,88%,1%,-3.0,-7.6,18,13,43,4,55,10,162,13,17,barneha02,2023-2024,NBA
Scottie Barnes,SG,22,TOR,59,2079,,31%,33%,33%,2%,-3.3,-0.2,102,31,40,16,111,16,858,30,48,barnesc01,2023-2024,NBA
RJ Barrett,SG,23,TOT,48,1502,,10%,80%,10%,,-2.0,-3.5,41,26,58,10,123,7,364,20,71,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,NYK,26,766,,3%,96%,1%,,-0.3,-6.2,20,14,26,4,64,3,154,8,41,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,TOR,22,736,,18%,63%,19%,,-3.7,-0.6,21,12,32,6,59,4,210,12,30,barrerj01,2023-2024,NBA
Charles Bassey,C,23,SAS,19,205,,,,37%,63%,-10.5,-2.1,10,2,20,2,3,0,52,2,1,bassech01,2023-2024,NBA
Emoni Bates,SF,20,CLE,10,76,,21%,77%,2%,,-37.5,-44.0,1,0,4,0,1,0,17,0,1,batesem01,2023-2024,NBA
Keita Bates-Diop,SF,28,TOT,44,630,,7%,48%,44%,1%,-3.5,-7.8,4,7,22,0,19,0,87,8,15,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,PHO,39,597,,3%,50%,47%,1%,-3.4,-8.1,4,6,22,0,18,0,83,8,15,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,BRK,5,33,,80%,20%,,,-5.7,-2.6,0,1,0,0,1,0,4,0,0,bateske01,2023-2024,NBA
Nicolas Batum,PF,35,TOT,38,902,,,,89%,10%,6.5,4.6,18,3,32,1,6,2,177,1,0,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,LAC,3,54,,,,68%,32%,-1.9,-7.2,1,0,0,0,0,0,13,0,0,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,PHI,35,848,,,,91%,9%,7.0,5.4,17,3,32,1,6,2,164,1,0,batumni01,2023-2024,NBA
Darius Bazley,PF,23,PHI,3,10,,,,66%,34%,-5.9,-9.1,1,0,0,0,0,0,5,0,1,bazleda01,2023-2024,NBA
Bradley Beal,SG,30,PHO,30,979,2%,34%,59%,5%,,2.6,-0.7,37,17,42,10,42,8,325,10,22,bealbr01,2023-2024,NBA
Malik Beasley,SG,27,MIL,57,1685,7%,91%,3%,,,9.1,12.7,18,14,55,1,9,4,199,3,21,beaslma01,2023-2024,NBA
MarJon Beauchamp,SF,23,MIL,42,580,,21%,71%,9%,,-0.1,-5.2,11,10,27,1,14,1,70,1,14,beaucma01,2023-2024,NBA
Jules Bernard,SG,24,WAS,6,28,,87%,13%,,,11.0,21.2,2,0,1,0,0,2,13,0,1,bernaju01,2023-2024,NBA
Dāvis Bertāns,PF,31,TOT,20,149,,,7%,57%,36%,8.4,7.3,0,0,9,1,5,2,26,0,2,bertada01,2023-2024,NBA
Dāvis Bertāns,PF,31,OKC,15,91,,,11%,68%,21%,5.5,-3.4,0,0,6,1,5,1,22,0,1,bertada01,2023-2024,NBA
Dāvis Bertāns,PF,31,CHO,5,58,,,,41%,59%,12.9,24.1,0,0,3,0,0,1,4,0,1,bertada01,2023-2024,NBA
Patrick Beverley,PG,35,TOT,54,1027,100%,,,,,-1.0,-5.6,36,8,44,1,23,11,386,7,8,beverpa01,2023-2024,NBA
Patrick Beverley,PG,35,PHI,47,919,100%,,,,,0.3,-4.3,32,8,41,1,23,10,340,7,8,beverpa01,2023-2024,NBA
Patrick Beverley,PG,35,MIL,7,108,100%,,,,,-12.2,-16.8,4,0,3,0,0,1,46,0,0,beverpa01,2023-2024,NBA
Saddiq Bey,SF,24,ATL,57,1856,,1%,69%,30%,,-0.9,2.7,18,9,36,2,95,2,197,24,43,beysa01,2023-2024,NBA
Goga Bitadze,C,24,ORL,49,870,,,,,100%,2.7,2.4,15,5,47,11,30,1,171,8,15,bitadgo01,2023-2024,NBA
Onuralp Bitim,SG,24,CHI,3,33,,26%,61%,13%,,19.9,21.4,2,0,1,0,0,0,0,0,1,bitimon01,2023-2024,NBA
Bismack Biyombo,C,31,TOT,31,726,,,,59%,41%,-3.7,3.3,12,8,41,13,13,4,124,4,11,biyombi01,2023-2024,NBA
Bismack Biyombo,C,31,MEM,30,718,,,,60%,40%,-4.2,3.1,12,8,41,12,13,4,124,4,11,biyombi01,2023-2024,NBA
Bismack Biyombo,C,31,OKC,1,8,,,,,100%,32.7,24.1,0,0,0,1,0,0,0,0,0,biyombi01,2023-2024,NBA
Anthony Black,PG,20,ORL,54,1002,71%,27%,2%,,,-0.8,-2.9,36,5,61,1,28,14,201,7,13,blackan01,2023-2024,NBA
Leaky Black,SF,24,CHO,22,218,,,37%,63%,1%,-11.4,-0.8,2,1,8,2,4,2,45,0,5,blackle01,2023-2024,NBA
Bogdan Bogdanović,SG,31,ATL,56,1632,,57%,42%,1%,,2.8,11.0,39,17,68,6,47,6,375,12,33,bogdabo01,2023-2024,NBA
Bojan Bogdanović,PF-SF,34,TOT,34,1070,,,36%,63%,1%,-14.0,-9.6,43,21,37,3,49,5,186,11,31,bogdabo02,2023-2024,NBA
Bojan Bogdanović,PF,34,DET,28,921,,,40%,59%,1%,-13.5,-7.6,43,16,28,1,44,4,170,10,29,bogdabo02,2023-2024,NBA
Bojan Bogdanović,SF,34,NYK,6,149,,,12%,88%,1%,-16.6,-21.9,0,5,9,2,5,1,16,1,2,bogdabo02,2023-2024,NBA
Bol Bol,PF,24,PHO,20,208,,,2%,78%,20%,9.8,7.3,4,5,16,0,4,0,24,4,2,bolbo01,2023-2024,NBA
Marques Bolden,C,25,TOT,3,8,,,,,100%,110.7,116.1,0,0,1,0,0,0,0,0,0,boldema01,2023-2024,NBA
Marques Bolden,C,25,MIL,2,3,,,,,100%,145.2,141.4,0,0,1,0,0,0,0,0,0,boldema01,2023-2024,NBA
Marques Bolden,C,25,CHO,1,5,,,,,100%,90.0,100.9,0,0,0,0,0,0,0,0,0,boldema01,2023-2024,NBA
Devin Booker,PG,27,PHO,48,1711,87%,13%,,,,6.2,8.4,70,33,58,12,129,11,830,29,39,bookede01,2023-2024,NBA
Brandon Boston Jr.,SF,22,LAC,18,124,2%,37%,38%,19%,4%,-22.7,-29.1,0,4,11,1,3,1,12,0,4,bostobr01,2023-2024,NBA
Chris Boucher,PF,31,TOR,47,645,,,13%,57%,30%,2.9,7.9,5,7,42,4,46,11,43,11,14,bouchch01,2023-2024,NBA
James Bouknight,SG,23,CHO,14,81,,72%,28%,,,-10.5,0.2,2,0,3,0,1,0,14,0,2,bouknja01,2023-2024,NBA
Jamaree Bouyea,PG,24,POR,6,57,100%,,,,,-20.6,-11.4,4,2,1,1,0,1,21,0,2,bouyeja01,2023-2024,NBA
Malaki Branham,PG,20,SAS,54,1096,72%,28%,,,,-12.7,-6.8,43,14,37,0,18,12,275,8,26,branhma01,2023-2024,NBA
Christian Braun,SG,22,DEN,59,1129,1%,46%,51%,2%,,-3.3,-12.8,14,12,52,8,53,3,193,12,37,braunch01,2023-2024,NBA
Mikal Bridges,SF,27,BRK,58,2032,1%,25%,45%,27%,2%,-3.8,-2.3,60,50,42,3,102,16,526,25,41,bridgmi01,2023-2024,NBA
Miles Bridges,SF,25,CHO,47,1751,,10%,69%,21%,,-11.7,-2.8,48,35,51,5,74,9,381,28,51,bridgmi02,2023-2024,NBA
Oshae Brissett,SF,25,BOS,38,404,,13%,58%,29%,,8.9,-1.6,4,4,22,1,24,0,75,4,5,brissos01,2023-2024,NBA
Malcolm Brogdon,PG,31,POR,39,1121,61%,39%,,,,-3.6,9.9,34,17,32,4,50,8,517,12,29,brogdma01,2023-2024,NBA
Armoni Brooks,PG,25,BRK,10,104,72%,28%,,,,11.0,14.7,3,0,1,0,1,0,10,1,4,brookar01,2023-2024,NBA
Dillon Brooks,SF,28,HOU,49,1532,1%,21%,69%,10%,,-2.1,-4.3,29,24,91,7,56,15,195,10,22,brookdi01,2023-2024,NBA
Bruce Brown,SG-PG,27,TOT,51,1440,11%,82%,7%,,,-1.4,-1.7,24,22,62,4,50,1,341,14,29,brownbr01,2023-2024,NBA
Bruce Brown,SG,27,IND,33,981,2%,91%,7%,,,3.5,2.4,14,18,42,3,38,1,242,11,20,brownbr01,2023-2024,NBA
Bruce Brown,PG,27,TOR,18,459,31%,63%,7%,,,-11.9,-10.4,10,4,20,1,12,0,99,3,9,brownbr01,2023-2024,NBA
Charlie Brown Jr.,SG,26,NYK,7,36,,42%,53%,5%,,-14.6,-19.0,1,0,3,0,0,0,0,0,1,brownch02,2023-2024,NBA
Greg Brown III,PF,22,DAL,6,40,,,59%,35%,7%,-7.5,-8.7,2,1,3,1,4,0,8,1,1,browngr01,2023-2024,NBA
Jaylen Brown,SF,27,BOS,53,1773,,30%,69%,1%,,8.4,-5.4,48,48,59,22,118,6,486,34,53,brownja02,2023-2024,NBA
Kendall Brown,SG,20,IND,5,20,,36%,64%,,,-19.2,-21.3,0,0,2,0,3,0,4,0,0,brownke03,2023-2024,NBA
Kobe Brown,PF,24,LAC,32,279,,,,89%,11%,-8.7,-15.3,1,3,23,2,1,1,40,0,4,brownko01,2023-2024,NBA
Moses Brown,C,24,POR,9,82,,,,,100%,-20.2,-11.1,2,1,9,0,2,0,4,0,6,brownmo01,2023-2024,NBA
Troy Brown Jr.,SF,24,TOT,42,484,,31%,55%,14%,1%,-2.7,-8.7,13,4,20,2,6,2,100,0,5,browntr01,2023-2024,NBA
Troy Brown Jr.,SF,24,MIN,37,410,,36%,55%,8%,1%,0.5,-8.0,12,2,17,2,5,2,84,0,2,browntr01,2023-2024,NBA
Troy Brown Jr.,SF,24,DET,5,74,,,50%,50%,,-20.5,-12.4,1,2,3,0,1,0,16,0,3,browntr01,2023-2024,NBA
Jalen Brunson,PG,27,NYK,55,1981,100%,,,,,6.3,7.5,74,49,56,9,151,59,908,55,45,brunsja01,2023-2024,NBA
Thomas Bryant,C,26,MIA,25,259,,,,1%,99%,-6.5,-8.1,2,1,12,7,11,0,39,2,4,bryanth01,2023-2024,NBA
Kobe Bufkin,SG,20,ATL,7,56,78%,22%,,,,7.6,9.5,1,0,2,0,0,0,19,0,3,bufkiko01,2023-2024,NBA
Reggie Bullock,SF,32,HOU,24,218,11%,42%,42%,6%,,-5.9,-6.2,5,0,6,1,1,0,22,1,1,bullore01,2023-2024,NBA
Alec Burks,SG,32,TOT,50,1033,,56%,41%,2%,,-10.6,-4.5,24,11,35,3,56,15,180,7,13,burksal01,2023-2024,NBA
Alec Burks,SG,32,DET,43,901,,53%,44%,3%,,-9.9,-2.2,18,9,32,3,50,12,164,6,11,burksal01,2023-2024,NBA
Alec Burks,SG,32,NYK,7,132,,79%,21%,,,-15.1,-20.1,6,2,3,0,6,3,16,1,2,burksal01,2023-2024,NBA
Jared Butler,SG,23,WAS,21,163,84%,16%,,,,-10.5,-0.6,8,3,12,2,8,1,83,5,2,butleja02,2023-2024,NBA
Jimmy Butler,PF,34,MIA,39,1314,,,14%,86%,1%,3.8,5.5,36,23,20,5,139,5,478,29,43,butleji01,2023-2024,NBA
Jamal Cain,PF,24,MIA,16,225,,,28%,73%,,-5.5,-6.9,1,0,7,0,12,1,9,1,3,cainja01,2023-2024,NBA
Kentavious Caldwell-Pope,SG,30,DEN,54,1708,5%,87%,8%,,,12.4,20.2,36,11,59,2,30,17,297,5,12,caldwke01,2023-2024,NBA
Toumani Camara,PF,23,POR,56,1328,,,,84%,16%,-6.2,6.3,30,15,75,12,34,25,147,8,22,camarto01,2023-2024,NBA
Clint Capela,C,29,ATL,50,1270,,,,,100%,-3.6,-3.3,13,13,64,9,72,13,117,13,47,capelca01,2023-2024,NBA
Jevon Carter,PG,28,CHI,56,767,100%,,,,,-0.7,0.8,15,5,22,4,2,4,155,1,5,carteje01,2023-2024,NBA
Wendell Carter Jr.,C,24,ORL,33,861,,,,6%,94%,-0.1,-1.6,11,11,41,16,35,4,128,5,12,cartewe01,2023-2024,NBA
D.J. Carton,SG,23,TOR,1,4,100%,,,,,2.2,5.4,0,0,0,0,1,0,0,1,0,cartodj01,2023-2024,NBA
Alex Caruso,SG,29,CHI,50,1360,12%,84%,5%,,,1.6,5.5,52,13,57,1,25,29,324,4,15,carusal01,2023-2024,NBA
Colin Castleton,C,23,LAL,7,36,,,,,100%,-31.4,-31.2,0,0,4,1,1,0,6,0,0,castlco01,2023-2024,NBA
Malcolm Cazalon,SG,22,DET,1,3,,,,100%,,63.3,71.8,0,0,0,0,0,0,0,0,0,cazalma01,2023-2024,NBA
Julian Champagnie,SF,22,SAS,52,874,,7%,68%,25%,,-5.9,3.9,18,6,30,1,23,3,152,5,11,champju02,2023-2024,NBA
Justin Champagnie,SF,22,WAS,2,10,,44%,56%,,,8.6,18.7,1,0,0,0,0,0,0,0,0,champju01,2023-2024,NBA
Max Christie,SG,20,LAL,47,787,10%,78%,13%,,,-0.8,-0.3,22,5,30,4,18,1,126,1,17,chrisma02,2023-2024,NBA
Sidy Cissoko,SF,19,SAS,5,32,,,81%,19%,,21.1,30.0,0,1,1,0,2,0,0,0,1,cissosi01,2023-2024,NBA
Jordan Clarkson,SG,31,UTA,49,1481,,76%,19%,5%,,-4.9,-4.5,62,48,36,11,74,3,595,14,45,clarkjo01,2023-2024,NBA
Nic Claxton,C,24,BRK,48,1405,,,,,100%,-7.5,-8.7,15,15,55,17,48,7,215,12,25,claxtni01,2023-2024,NBA
Noah Clowney,PF,19,BRK,7,69,,,8%,59%,33%,-21.1,-18.4,1,1,3,1,1,0,16,0,2,clownno01,2023-2024,NBA
Amir Coffey,SF,26,LAC,45,834,,2%,73%,24%,1%,-0.5,-8.1,9,5,35,4,22,7,101,8,10,coffeam01,2023-2024,NBA
John Collins,PF,26,UTA,55,1527,,,21%,75%,5%,-7.5,-10.2,28,26,102,14,62,13,154,19,53,collijo01,2023-2024,NBA
Zach Collins,C,26,SAS,47,1108,,,,35%,65%,-13.8,-8.5,47,16,93,20,39,6,329,8,22,colliza01,2023-2024,NBA
Mike Conley,PG,36,MIN,54,1551,100%,,,,,8.7,3.0,45,8,36,2,20,23,789,4,11,conlemi01,2023-2024,NBA
Pat Connaughton,SF,31,MIL,53,1135,3%,42%,54%,1%,,-0.8,-8.0,22,8,42,3,10,8,260,4,6,connapa01,2023-2024,NBA
Bilal Coulibaly,SF,19,WAS,56,1494,1%,46%,52%,1%,,-12.0,-4.3,48,19,58,4,58,1,235,18,37,coulibi01,2023-2024,NBA
Ricky Council IV,SG,22,PHI,18,175,,24%,66%,10%,,-0.7,-4.2,1,0,5,1,26,0,17,8,3,councri01,2023-2024,NBA
Robert Covington,SF-PF,33,TOT,29,488,,7%,75%,19%,,11.7,9.1,2,4,22,3,12,2,57,2,7,covinro01,2023-2024,NBA
Robert Covington,PF,33,LAC,3,69,,,96%,4%,,32.8,28.4,0,0,3,0,1,1,19,0,0,covinro01,2023-2024,NBA
Robert Covington,SF,33,PHI,26,419,,8%,71%,21%,,8.3,5.9,2,4,19,3,11,1,38,2,7,covinro01,2023-2024,NBA
Torrey Craig,SF,33,CHI,33,694,,,24%,76%,,-6.8,-7.3,12,3,40,2,13,3,81,5,5,craigto01,2023-2024,NBA
Jae Crowder,PF,33,MIL,28,701,,1%,73%,26%,,-4.9,-11.9,7,3,21,3,6,5,112,1,3,crowdja01,2023-2024,NBA
Jalen Crutcher,PG,24,NOP,1,3,100%,,,,,50.0,45.7,0,0,0,0,0,0,0,0,0,crutcja01,2023-2024,NBA
Cade Cunningham,PG,22,DET,48,1629,60%,37%,3%,,,-9.3,-2.0,100,49,71,12,83,6,825,15,63,cunnica01,2023-2024,NBA
Seth Curry,SG,33,TOT,42,576,32%,55%,12%,,,4.8,7.1,9,3,14,3,12,6,100,6,7,curryse01,2023-2024,NBA
Seth Curry,SG,33,DAL,36,457,40%,52%,9%,,,7.3,7.3,8,2,13,2,8,4,72,5,5,curryse01,2023-2024,NBA
Seth Curry,SG,33,CHO,6,119,5%,69%,26%,,,-4.6,6.4,1,1,1,1,4,2,28,1,2,curryse01,2023-2024,NBA
Stephen Curry,PG,35,GSW,54,1798,76%,24%,,,,0.5,-4.6,88,47,51,14,96,12,633,31,36,curryst01,2023-2024,NBA
Dyson Daniels,PG,20,NOP,52,1139,47%,48%,5%,,,5.8,2.4,28,15,43,3,22,4,317,2,11,daniedy01,2023-2024,NBA
Anthony Davis,C,30,LAL,56,1998,,,,3%,97%,0.1,2.3,44,37,87,18,159,4,473,42,65,davisan02,2023-2024,NBA
Johnny Davis,SG,21,WAS,27,242,8%,70%,23%,,,-10.1,-0.2,1,4,11,2,3,2,22,1,6,davisjo06,2023-2024,NBA
JD Davison,SG,21,BOS,2,6,,100%,,,,8.3,-2.0,0,0,0,0,1,0,0,0,0,davisjd01,2023-2024,NBA
Dexter Dennis,SG,24,DAL,4,30,,48%,52%,,,-11.2,-12.5,3,0,1,0,3,0,9,3,0,dennide01,2023-2024,NBA
DeMar DeRozan,SF,34,CHI,57,2160,,3%,59%,39%,,-2.0,-2.8,49,24,70,7,189,12,745,45,52,derozde01,2023-2024,NBA
Moussa Diabaté,C,22,LAC,10,58,,,,,100%,2.9,-2.2,1,0,2,0,4,1,11,0,3,diabamo01,2023-2024,NBA
Mamadi Diakite,PF,27,SAS,3,16,,,,100%,,16.1,24.8,0,0,1,0,3,0,5,0,0,diakima01,2023-2024,NBA
Hamidou Diallo,SG,25,WAS,2,5,,100%,,,,34.4,44.5,1,0,1,0,0,0,2,0,0,diallha01,2023-2024,NBA
Gradey Dick,SG,20,TOR,38,600,2%,42%,51%,5%,,-9.3,-7.7,12,6,30,2,10,8,104,2,11,dickgr01,2023-2024,NBA
Ousmane Dieng,PF,20,OKC,29,326,,,9%,72%,19%,2.2,-7.4,8,8,12,0,8,1,78,2,3,diengou01,2023-2024,NBA
Spencer Dinwiddie,PG,30,TOT,54,1619,85%,15%,,,,-0.4,4.1,44,10,47,10,79,6,776,20,17,dinwisp01,2023-2024,NBA
Spencer Dinwiddie,PG,30,BRK,48,1474,89%,11%,,,,-1.6,3.2,40,8,43,9,77,5,723,18,16,dinwisp01,2023-2024,NBA
Spencer Dinwiddie,PG,30,LAL,6,145,45%,56%,,,,11.4,12.6,4,2,4,1,2,1,53,2,1,dinwisp01,2023-2024,NBA
Donte DiVincenzo,SG,27,NYK,58,1482,1%,87%,12%,,,2.0,-4.5,37,16,51,8,23,15,332,4,22,divindo01,2023-2024,NBA
Luka Dončić,PG,24,DAL,51,1908,79%,21%,,,,3.1,6.1,142,42,57,4,218,8,1193,62,35,doncilu01,2023-2024,NBA
Luguentz Dort,SF,24,OKC,56,1588,,5%,70%,24%,,9.5,1.7,16,17,76,10,49,37,181,8,26,dortlu01,2023-2024,NBA
Ayo Dosunmu,SG,24,CHI,57,1515,8%,58%,33%,1%,,-2.2,-2.0,32,20,54,5,32,6,346,6,39,dosunay01,2023-2024,NBA
Andre Drummond,C,30,CHI,59,1015,,,,,100%,-0.1,1.8,17,13,38,21,70,4,70,11,35,drumman01,2023-2024,NBA
Chris Duarte,SF,26,SAC,41,550,,38%,60%,2%,,-1.5,-1.8,10,3,30,2,12,14,82,2,9,duartch01,2023-2024,NBA
Kris Dunn,PG,29,UTA,51,925,70%,25%,6%,,,3.2,8.9,41,13,46,6,11,3,504,1,14,dunnkr01,2023-2024,NBA
Kevin Durant,PF,35,PHO,51,1892,,,4%,89%,7%,5.5,7.8,80,60,46,12,138,8,679,36,30,duranke01,2023-2024,NBA
Jalen Duren,C,20,DET,43,1298,,,,,100%,-7.1,2.6,32,22,74,28,60,1,254,24,34,durenja01,2023-2024,NBA
Tari Eason,PF,22,HOU,22,480,,1%,40%,59%,,10.7,13.2,9,3,31,2,16,2,65,5,17,easonta01,2023-2024,NBA
Anthony Edwards,SG,22,MIN,56,1967,4%,77%,19%,,,10.3,9.5,80,68,47,13,180,1,729,52,45,edwaran01,2023-2024,NBA
Kessler Edwards,SF,23,SAC,39,189,,,43%,54%,3%,-3.2,-3.3,0,0,12,0,3,4,23,0,4,edwarke02,2023-2024,NBA
Keon Ellis,SG,24,SAC,34,387,29%,58%,13%,,,0.8,1.0,10,5,29,1,5,1,99,0,3,elliske01,2023-2024,NBA
Joel Embiid,C,29,PHI,34,1157,,,,,100%,9.4,10.7,48,47,56,24,174,1,485,33,48,embiijo01,2023-2024,NBA
Drew Eubanks,C,26,PHO,52,826,,,,,100%,-4.9,-11.2,19,9,44,16,29,3,118,5,17,eubandr01,2023-2024,NBA
Tosan Evbuomwan,SF,22,TOT,6,90,,11%,62%,27%,,-18.6,-12.0,1,0,4,0,0,2,16,0,1,evbuoto01,2023-2024,NBA
Tosan Evbuomwan,SF,22,MEM,4,74,,13%,75%,11%,,-17.8,-11.7,1,0,4,0,0,1,16,0,1,evbuoto01,2023-2024,NBA
Tosan Evbuomwan,SF,22,DET,2,16,,,,100%,,-22.1,-13.7,0,0,0,0,0,1,0,0,0,evbuoto01,2023-2024,NBA
Dante Exum,PG,28,DAL,33,648,100%,,,,,8.4,9.5,10,11,27,2,23,12,235,4,13,exumda01,2023-2024,NBA
Bruno Fernando,C,25,ATL,21,210,,,,,100%,3.2,5.4,3,3,19,4,17,0,30,3,7,fernabr01,2023-2024,NBA
Dorian Finney-Smith,PF,30,BRK,49,1356,,1%,39%,39%,20%,-2.1,2.1,20,9,60,6,15,1,172,2,14,finnedo01,2023-2024,NBA
Adam Flagler,SG,24,OKC,1,6,100%,,,,,8.3,-0.4,0,0,0,0,0,0,3,0,0,flaglad01,2023-2024,NBA
Malachi Flynn,PG,25,TOT,51,595,90%,10%,,,,-7.7,-5.3,21,11,18,5,15,3,214,3,11,flynnma01,2023-2024,NBA
Malachi Flynn,PG,25,TOR,31,474,88%,12%,,,,-7.2,-4.8,16,10,16,4,8,3,179,2,6,flynnma01,2023-2024,NBA
Malachi Flynn,PG,25,NYK,14,60,100%,,,,,-3.4,-7.7,1,1,1,0,5,0,13,1,3,flynnma01,2023-2024,NBA
