Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Ish Smith,PG,31,WAS,68,1787,96%,5%,,,,-3.5,2.2,62,20,71,3,33,12.0,828,10,27,smithis01,2019-2020,NBA
J.R. Smith,SG,34,LAL,6,79,,,98%,2%,,-16.4,-22.7,3,0,2,1,1,0.0,8,0,0,smithjr01,2019-2020,NBA
Zhaire Smith,SF,20,PHI,7,32,,,44%,55%,1%,-13.1,-15.6,1,0,4,0,1,0.0,6,0,1,smithzh01,2019-2020,NBA
Tony Snell,SF,28,DET,59,1641,,25%,69%,6%,,-6.4,-4.5,19,8,50,4,8,6.0,301,2,9,snellto01,2019-2020,NBA
Omari Spellman,C,22,GSW,49,886,,,,15%,85%,-9.4,-0.9,31,9,33,6,43,2.0,107,12,17,spellom01,2019-2020,NBA
Max Strus,SF,23,CHI,2,6,,,21%,79%,,93.3,96.9,0,0,0,0,1,0.0,0,1,0,strusma01,2019-2020,NBA
Edmond Sumner,SG,24,IND,31,447,1%,98%,1%,,,-1.9,-4.9,9,7,17,1,15,5.0,131,2,12,sumneed01,2019-2020,NBA
Caleb Swanigan,PF-C,22,TOT,27,288,,,,9%,91%,-6.1,-5.3,20,5,26,8,3,4.0,76,1,2,swanica01,2019-2020,NBA
Caleb Swanigan,C,22,SAC,7,23,,,,17%,83%,-31.0,-29.1,5,0,4,1,0,0.0,6,0,0,swanica01,2019-2020,NBA
Caleb Swanigan,PF,22,POR,20,265,,,,8%,92%,-3.9,-3.2,15,5,22,7,3,4.0,70,1,2,swanica01,2019-2020,NBA
Jayson Tatum,PF,21,BOS,66,2265,,,,90%,10%,10.4,11.1,55,52,47,27,136,6.0,487,24,62,tatumja01,2019-2020,NBA
Jeff Teague,PG,31,TOT,59,1464,72%,28%,,,,-6.9,-1.2,65,31,54,10,83,11.0,755,18,38,teaguje01,2019-2020,NBA
Jeff Teague,PG,31,MIN,34,945,90%,10%,,,,-4.2,0.6,43,22,34,4,58,7.0,515,10,26,teaguje01,2019-2020,NBA
Jeff Teague,PG,31,ATL,25,519,39%,60%,1%,,,-11.7,-4.4,22,9,20,6,25,4.0,240,8,12,teaguje01,2019-2020,NBA
Garrett Temple,SG,33,BRK,62,1730,30%,65%,5%,,,-1.6,-1.9,35,15,53,7,30,11.0,371,10,26,templga01,2019-2020,NBA
