Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bob Cousy,cousybo01,195210310INO,BOS,game,,,6,15,.400,,,,10,11,.909,,,,,,,,2,22,
Ed Macauley,macaued01,195210310INO,BOS,game,,,6,15,.400,,,,5,5,1.000,,,,,,,,3,17,
Bob Harris,harribo01,195210310INO,BOS,game,,,5,7,.714,,,,3,5,.600,,,,,,,,5,13,
Bob Brannum,brannbo01,195210310INO,BOS,game,,,3,,,,,,5,6,.833,,,,,,,,1,11,
Kenny Rollins,rollike01,195210310INO,BOS,game,,,3,,,,,,0,0,,,,,,,,,2,6,
Chuck Cooper,coopech01,195210310INO,BOS,game,,,1,,,,,,3,3,1.000,,,,,,,,5,5,
Bob Donham,donhabo01,195210310INO,BOS,game,,,2,,,,,,1,5,.200,,,,,,,,2,5,
Bill Sharman,sharmbi01,195210310INO,BOS,game,,,1,,,,,,1,1,1.000,,,,,,,,1,3,
John Mahnken,mahnkjo01,195210310INO,BOS,game,,,0,,,,,,1,1,1.000,,,,,,,,2,1,
Kleggie Hermsen,hermskl01,195210310INO,BOS,game,,,0,,,,,,0,0,,,,,0,,,,3,0,
Joe Graboski,grabojo01,195210310INO,INO,game,,48:00,4,,,,,,7,10,.700,,,,,,,,4,15,
Bob Lavoy,lavoybo01,195210310INO,INO,game,,,7,,,,,,6,8,.750,,,,,,,,4,20,
Paul Walther,walthpa01,195210310INO,INO,game,,,5,,,,,,1,1,1.000,,,,,,,,6,11,
Bill Tosheff,toshebi01,195210310INO,INO,game,,,2,2,1.000,,,,2,4,.500,,,,,,,,4,6,
Don Hanrahan,hanrado01,195210310INO,INO,game,,,2,,,,,,1,1,1.000,,,,,,,,0,5,
Leo Barnhorst,barnhle01,195210310INO,INO,game,,,1,,,,,,2,3,.667,,,,,,,,5,4,
Mel Payton,paytome01,195210310INO,INO,game,,,2,,,,,,0,0,,,,,,,,,3,4,
Ralph O'Brien,obriera01,195210310INO,INO,game,,,1,9,.111,,,,1,1,1.000,,,,,,,,2,3,
Bob Naber,naberbo01,195210310INO,INO,game,,,0,,,,,,0,0,,,,,,,,,2,0,
