Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
198510250ATL,WSB,game,True,Jeff Ruland,rulanje01,41:00,8,15,0.533,0,0,,3,4,0.75,6,8,14,9,1,2,5,3,19,,
198510250ATL,WSB,game,True,Cliff Robinson,robincl01,36:00,9,14,0.643,0,0,,4,6,0.667,1,7,8,2,3,1,5,1,22,,
198510250ATL,WSB,game,True,Gus Williams,willigu01,30:00,8,14,0.571,0,2,0.0,5,5,1.0,0,0,0,4,2,0,1,0,21,,
198510250ATL,WSB,game,True,Jeff Malone,malonje01,30:00,8,15,0.533,0,0,,2,3,0.667,0,2,2,1,0,0,2,2,18,,
198510250ATL,WSB,game,True,Charles Jones,jonesch01,25:00,1,4,0.25,0,0,,2,2,1.0,2,6,8,2,0,4,1,2,4,,
198510250ATL,WSB,game,False,Dan Roundfield,roundda01,26:00,0,5,0.0,0,0,,2,4,0.5,2,4,6,1,1,0,2,4,2,,
198510250ATL,WSB,game,False,Perry Moss,mosspe01,20:00,3,4,0.75,0,0,,1,1,1.0,0,0,0,1,2,0,1,2,7,,
198510250ATL,WSB,game,False,Dudley Bradley,bradldu01,15:00,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,,
198510250ATL,WSB,game,False,Darren Daye,dayeda01,11:00,2,4,0.5,0,0,,1,1,1.0,0,2,2,0,1,0,0,2,5,,
198510250ATL,WSB,game,False,Tom McMillen,mcmilto01,3:00,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,,
198510250ATL,WSB,game,False,Manute Bol,bolma01,3:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,,
198510250ATL,ATL,game,True,Dominique Wilkins,wilkido01,42:00,15,29,0.517,0,2,0.0,2,5,0.4,5,1,6,4,3,0,5,2,32,,
198510250ATL,ATL,game,True,Tree Rollins,rollitr01,34:00,4,8,0.5,0,0,,1,2,0.5,1,8,9,0,0,3,1,2,9,,
198510250ATL,ATL,game,True,Cliff Levingston,levincl01,31:00,3,8,0.375,0,0,,2,4,0.5,2,4,6,4,1,2,2,4,8,,
198510250ATL,ATL,game,True,Spud Webb,webbsp01,29:00,5,7,0.714,0,0,,2,2,1.0,0,3,3,10,1,0,3,4,12,,
198510250ATL,ATL,game,True,Kevin Willis,willike02,22:00,6,19,0.316,0,0,,1,3,0.333,3,5,8,0,0,0,1,3,13,,
198510250ATL,ATL,game,False,Randy Wittman,wittmra01,24:00,3,6,0.5,0,1,0.0,0,0,,2,1,3,3,0,0,0,0,6,,
198510250ATL,ATL,game,False,Scott Hastings,hastisc01,23:00,2,7,0.286,0,0,,0,0,,2,3,5,1,2,0,1,0,4,,
198510250ATL,ATL,game,False,Lorenzo Charles,charllo01,10:00,2,3,0.667,0,0,,0,0,,0,1,1,0,0,0,0,0,4,,
