Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
194711120WSC,BLB,game,,Kleggie Hermsen,hermskl01,,6,,,,,,6,7.0,0.857,,,,,,,,,18,,
194711120WSC,BLB,game,,Mike Bloom,bloommi01,,5,,,,,,1,2.0,0.5,,,,,,,,,11,,
194711120WSC,BLB,game,,Buddy Jeannette,jeannbu01,,1,,,,,,5,7.0,0.714,,,,,,,,,7,,
194711120WSC,BLB,game,,Paul Hoffman,hoffmpa01,,3,,,,,,0,1.0,0.0,,,,,,,,,6,,
194711120WSC,BLB,game,,Dick Schulz,schuldi01,,2,,,,,,1,1.0,1.0,,,,,,,,,5,,
194711120WSC,BLB,game,,Chick Reiser,reisech01,,1,,,,,,2,2.0,1.0,,,,,,,,,4,,
194711120WSC,BLB,game,,Herm Fuetsch,fuetshe01,,1,,,,,,1,3.0,0.333,,,,,,,,,3,,
194711120WSC,BLB,game,,Elmer Gainer,gaineel01,,0,,,,,,1,1.0,1.0,,,,,,,,,1,,
194711120WSC,BLB,game,,Carl Meinhold,meinhca01,,0,,,,,,0,0.0,,,,,,,,,,0,,
194711120WSC,WSC,game,,Fred Scolari,scolafr01,,7,,,,,,3,8.0,0.375,,,,,,,,,17,,
194711120WSC,WSC,game,,Bob Feerick,feeribo01,,3,,,,,,5,6.0,0.833,,,,,,,,,11,,
194711120WSC,WSC,game,,Bones McKinney,mckinbo01,,5,,,,,,1,1.0,1.0,,,,,,,,,11,,
194711120WSC,WSC,game,,Irv Torgoff,torgoir01,,4,,,,,,1,1.0,1.0,,,,,,,,,9,,
194711120WSC,WSC,game,,Johnny Norlander,norlajo01,,3,,,,,,0,0.0,,,,,,,,,,6,,
194711120WSC,WSC,game,,John Mahnken,mahnkjo01,,2,,,,,,1,2.0,0.5,,,,,,,,,5,,
194711120WSC,WSC,game,,Irv Rothenberg,rotheir01,,1,,,,,,0,0.0,,,,,,,,,,2,,
194711120WSC,WSC,game,,Jack Tingle,tinglja01,,1,,,,,,0,0.0,,,,,,,,,,2,,
194711120WSC,WSC,game,,Dick O'Keefe,okeefdi01,,0,,,,,,0,1.0,0.0,,,,,,,,,0,,
194711130PHW,PRO,game,,Ernie Calverley,calveer01,,6,,,,,,1,1.0,1.0,,,,9.0,,,,6.0,13,,
194711130PHW,PRO,game,,George Mearns,mearnge01,,4,,,,,,4,7.0,0.571,,,,,,,,5.0,12,,
194711130PHW,PRO,game,,Earl Shannon,shannea01,,6,,,,,,0,1.0,0.0,,,,,,,,2.0,12,,
194711130PHW,PRO,game,,Hank Beenders,beendha01,,4,,,,,,2,4.0,0.5,,,,,,,,5.0,10,,
194711130PHW,PRO,game,,George Nostrand,nostrge01,,4,,,,,,0,3.0,0.0,,,,,,,,2.0,8,,
194711130PHW,PRO,game,,Ray Wertis,wertira01,,3,,,,,,1,3.0,0.333,,,,,,,,1.0,7,,
