Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
199411040LAC,POR,game,True,Clifford Robinson,robincl02,31:00,4,11,0.364,2,4,0.5,12,12,1.0,2,4,6,3,1,2,3,3,22,,
199411040LAC,POR,game,True,Rod Strickland,stricro02,29:00,5,15,0.333,1,3,0.333,6,8,0.75,1,3,4,7,2,0,2,0,17,,
199411040LAC,POR,game,True,Buck Williams,willibu01,28:00,2,4,0.5,0,0,,1,4,0.25,7,7,14,0,2,3,1,3,5,,
199411040LAC,POR,game,True,Clyde Drexler,drexlcl01,27:00,8,15,0.533,2,5,0.4,8,9,0.889,1,7,8,4,0,0,1,2,26,,
199411040LAC,POR,game,True,Chris Dudley,dudlech02,22:00,2,7,0.286,0,0,,2,4,0.5,3,6,9,0,0,2,1,5,6,,
199411040LAC,POR,game,False,Mark Bryant,bryanma01,22:00,2,5,0.4,0,0,,2,2,1.0,0,3,3,1,2,1,2,3,6,,
199411040LAC,POR,game,False,James Robinson,robinja02,19:00,2,7,0.286,1,2,0.5,3,4,0.75,2,2,4,5,0,0,4,3,8,,
199411040LAC,POR,game,False,James Edwards,edwarja01,18:00,1,3,0.333,0,0,,2,2,1.0,1,2,3,0,0,2,0,3,4,,
199411040LAC,POR,game,False,Tracy Murray,murratr01,17:00,5,6,0.833,1,1,1.0,3,5,0.6,0,1,1,0,0,0,1,4,14,,
199411040LAC,POR,game,False,Jerome Kersey,kerseje01,15:00,2,5,0.4,0,0,,2,2,1.0,0,2,2,2,1,0,1,3,6,,
199411040LAC,POR,game,False,Harvey Grant,grantha01,8:00,2,3,0.667,1,1,1.0,0,0,,0,0,0,2,0,0,0,1,5,,
199411040LAC,POR,game,False,Aaron McKie,mckieaa01,4:00,0,3,0.0,0,1,0.0,2,2,1.0,1,0,1,0,0,0,1,2,2,,
199411040LAC,LAC,game,True,Loy Vaught,vaughlo01,30:00,6,9,0.667,0,0,,4,4,1.0,2,3,5,1,1,1,1,4,16,,
199411040LAC,LAC,game,True,Terry Dehere,deherte01,28:00,5,12,0.417,1,2,0.5,8,8,1.0,0,1,1,6,1,0,4,3,19,,
199411040LAC,LAC,game,True,Elmore Spencer,spencel01,28:00,4,11,0.364,0,0,,3,6,0.5,2,2,4,2,0,3,3,3,11,,
199411040LAC,LAC,game,True,Pooh Richardson,richapo01,27:00,4,6,0.667,1,2,0.5,0,0,,0,2,2,5,0,0,2,5,9,,
199411040LAC,LAC,game,True,Tony Massenburg,masseto01,26:00,5,11,0.455,0,0,,3,4,0.75,5,7,12,0,0,3,2,4,13,,
199411040LAC,LAC,game,False,Matt Fish,fishma01,20:00,4,6,0.667,0,0,,2,3,0.667,0,4,4,0,2,0,0,4,10,,
