Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196610150CIN,DET,game,,Ray Scott,scottra01,,8,20.0,0.4,,,,10,14,0.714,,,8.0,2.0,,,,3.0,26,,
196610150CIN,DET,game,,Eddie Miles,milesed01,,9,15.0,0.6,,,,2,2,1.0,,,6.0,2.0,,,,4.0,20,,
196610150CIN,DET,game,,Dave DeBusschere,debusda01,,7,17.0,0.412,,,,3,5,0.6,,,12.0,1.0,,,,4.0,17,,
196610150CIN,DET,game,,Chico Vaughn,vaughch01,,5,8.0,0.625,,,,0,0,,,,1.0,2.0,,,,4.0,10,,
196610150CIN,DET,game,,Ron Reed,reedro01,,4,7.0,0.571,,,,1,1,1.0,,,3.0,2.0,,,,1.0,9,,
196610150CIN,DET,game,,Joe Strawder,strawjo01,,3,5.0,0.6,,,,3,4,0.75,,,5.0,0.0,,,,4.0,9,,
196610150CIN,DET,game,,Tom Van Arsdale,vanarto01,,2,8.0,0.25,,,,2,2,1.0,,,5.0,3.0,,,,3.0,6,,
196610150CIN,DET,game,,Reggie Harding,hardire01,,1,6.0,0.167,,,,0,1,0.0,,,6.0,2.0,,,,1.0,2,,
196610150CIN,DET,game,,Dave Bing,bingda01,,0,6.0,0.0,,,,0,0,,,,0.0,2.0,,,,3.0,0,,
196610150CIN,CIN,game,,Oscar Robertson,roberos01,48:00,14,29.0,0.483,,,,9,10,0.9,,,10.0,10.0,,,,3.0,37,,
196610150CIN,CIN,game,,Adrian Smith,smithad01,,6,18.0,0.333,,,,10,10,1.0,,,3.0,2.0,,,,3.0,22,,
196610150CIN,CIN,game,,Happy Hairston,hairsha01,,4,8.0,0.5,,,,2,2,1.0,,,7.0,0.0,,,,5.0,10,,
196610150CIN,CIN,game,,Jerry Lucas,lucasje01,,5,13.0,0.385,,,,0,0,,,,15.0,2.0,,,,2.0,10,,
196610150CIN,CIN,game,,Walt Wesley,weslewa01,,4,7.0,0.571,,,,1,1,1.0,,,8.0,0.0,,,,3.0,9,,
