Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darrell Griffith,griffda01,198410260SEA,UTA,game,True,42:00,.495,.421,.158,.263,0.0,8.8,4.1,0.0,2.2,0.0,12.4,22.6,90,102,-2.7
Rickey Green,greenri01,198410260SEA,UTA,game,True,34:00,.779,.625,.000,1.375,3.2,7.2,5.1,20.2,4.0,0.0,28.0,20.5,118,98,5.9
Thurl Bailey,baileth01,198410260SEA,UTA,game,True,33:00,.311,.250,.000,.167,0.0,11.2,5.3,6.2,2.7,0.0,18.9,18.8,56,99,-7.7
Mark Eaton,eatonma01,198410260SEA,UTA,game,True,30:00,.539,.000,.000,3.000,7.3,16.4,11.6,5.7,0.0,14.9,39.3,10.0,82,96,1.5
John Drew,drewjo01,198410260SEA,UTA,game,True,19:00,.213,.100,.000,.400,5.7,38.9,21.3,0.0,0.0,2.9,29.8,34.5,36,92,-23.2
Jeff Wilkins,wilkije01,198410260SEA,UTA,game,False,23:00,.456,.438,.000,.375,14.2,0.0,7.5,15.6,2.0,0.0,0.0,31.7,102,106,2.9
John Stockton,stockjo01,198410260SEA,UTA,game,False,17:00,.694,.500,.500,1.000,0.0,14.5,6.8,56.1,5.3,0.0,41.0,11.2,103,92,5.4
Rich Kelley,kelleri01,198410260SEA,UTA,game,False,15:00,.962,1.000,.000,6.000,7.3,0.0,3.9,0.0,15.1,0.0,0.0,9.5,206,77,20.9
J.J. Anderson,anderjj01,198410260SEA,UTA,game,False,14:00,.105,.000,.000,1.333,7.8,17.6,12.4,0.0,0.0,0.0,38.7,21.7,21,102,-25.2
Bob Hansen,hansebo01,198410260SEA,UTA,game,False,8:00,.727,.667,.000,.333,0.0,0.0,0.0,37.5,0.0,0.0,0.0,16.8,154,110,9.5
Billy Paultz,paultbi01,198410260SEA,UTA,game,False,5:00,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,14.7,54,110,-16.8
Danny Vranes,vraneda01,198410260SEA,SEA,game,True,39:00,.746,.692,.000,.538,9.5,8.4,8.9,14.8,7.0,1.7,27.2,21.4,111,81,10.8
Jack Sikma,sikmaja01,198410260SEA,SEA,game,True,35:00,.445,.286,.000,.643,14.1,40.5,28.1,22.5,0.0,1.9,10.0,21.6,112,86,3.2
Gerald Henderson,hendege01,198410260SEA,SEA,game,True,30:00,.000,.000,.000,.000,0.0,3.6,1.9,22.2,3.0,0.0,22.2,11.3,31,91,-11.8
Al Wood,woodal01,198410260SEA,SEA,game,True,28:00,.626,.600,.000,.267,17.6,11.7,14.5,25.0,3.2,0.0,19.3,28.0,110,88,7.4
Tom Chambers,chambto01,198410260SEA,SEA,game,True,26:00,.381,.357,.071,.071,14.2,16.8,15.6,41.4,1.7,0.0,21.7,26.8,84,90,-2.3
Scooter McCray,mccrasc01,198410260SEA,SEA,game,False,23:00,.500,.500,.000,.000,0.0,19.0,10.1,0.0,0.0,5.8,50.0,6.6,45,89,-5.2
Jon Sundvold,sundvjo01,198410260SEA,SEA,game,False,22:00,.515,.333,.000,.667,5.6,5.0,5.3,14.8,0.0,0.0,7.9,21.7,123,96,-3.5
Frank Brickowski,brickfr01,198410260SEA,SEA,game,False,14:00,.881,.833,.000,1.167,8.8,23.4,16.5,36.4,0.0,0.0,9.9,27.2,164,92,22.8
Ricky Sobers,soberri01,198410260SEA,SEA,game,False,14:00,.000,.000,.000,.000,0.0,7.8,4.1,19.0,3.2,0.0,0.0,13.5,27,89,-11.5
Cory Blackwell,blackco01,198410260SEA,SEA,game,False,4:00,.000,.000,.000,.000,30.8,27.3,28.9,0.0,0.0,0.0,33.3,28.4,16,91,-29.8
Tim McCormick,mccorti01,198410260SEA,SEA,game,False,3:00,,,,,0.0,36.4,19.3,0.0,0.0,0.0,100.0,25.2,0,87,-49.0
Danny Young,youngda01,198410260SEA,SEA,game,False,2:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,96,-20.8
Ron Anderson,anderro01,198410260PHI,CLE,game,True,40:00,.752,.714,.000,.643,5.0,8.0,6.5,22.2,1.2,0.0,18.2,22.2,128,116,8.8
Melvin Turpin,turpime01,198410260PHI,CLE,game,True,39:00,.395,.375,.000,.063,12.8,13.7,13.2,7.8,0.0,1.4,5.7,18.1,100,116,-3.2
John Bagley,baglejo01,198410260PHI,CLE,game,True,31:00,.539,.500,.000,.625,0.0,6.9,3.3,37.8,1.6,0.0,22.7,17.2,102,116,-1.1
Jeff Cook,cookje01,198410260PHI,CLE,game,True,30:00,.505,.455,.000,.182,13.3,10.7,12.0,15.5,0.0,0.0,14.4,18.7,108,117,-1.7
World B. Free,freewo01,198410260PHI,CLE,game,True,19:00,.375,.375,.000,.000,5.3,16.8,10.9,8.0,2.6,0.0,0.0,17.0,97,110,-1.0
Johnny Davis,davisjo01,198410260PHI,CLE,game,False,31:00,.428,.286,.071,.571,6.5,3.4,5.0,14.2,1.6,0.0,10.2,25.5,99,117,-2.4
Phil Hubbard,hubbaph01,198410260PHI,CLE,game,False,19:00,.564,.500,.000,.500,15.8,28.1,21.7,17.5,0.0,2.9,17.0,25.0,110,109,3.5
Ben Poquette,poquebe01,198410260PHI,CLE,game,False,16:00,.500,.500,.000,.000,6.3,13.3,9.7,10.0,0.0,0.0,25.0,20.2,82,116,-10.0
