Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Robert Parish,parisro01,198210290CLE,BOS,game,True,31:00,9,12,.750,0,0,,4,4,1.000,1,11,12,1,0,2,3,6,22,
Tiny Archibald,architi01,198210290CLE,BOS,game,True,31:00,5,10,.500,0,0,,4,4,1.000,0,0,0,6,0,0,1,1,14,
Larry Bird,birdla01,198210290CLE,BOS,game,True,27:00,7,13,.538,0,0,,1,2,.500,1,7,8,3,3,1,0,5,15,
Danny Ainge,aingeda01,198210290CLE,BOS,game,True,26:00,7,9,.778,0,0,,0,2,.000,1,1,2,2,2,0,2,3,14,
Cedric Maxwell,maxwece01,198210290CLE,BOS,game,True,24:00,3,4,.750,0,0,,1,2,.500,1,4,5,3,1,0,0,1,7,
Quinn Buckner,bucknqu01,198210290CLE,BOS,game,False,24:00,5,8,.625,0,0,,1,2,.500,2,3,5,4,2,0,2,3,11,
Kevin McHale,mchalke01,198210290CLE,BOS,game,False,24:00,4,11,.364,0,0,,2,2,1.000,2,0,2,1,1,0,0,5,10,
Rick Robey,robeyri01,198210290CLE,BOS,game,False,16:00,0,2,.000,0,0,,0,0,,1,3,4,2,0,1,1,5,0,
Gerald Henderson,hendege01,198210290CLE,BOS,game,False,15:00,3,9,.333,0,0,,0,0,,1,0,1,1,0,0,4,3,6,
M.L. Carr,carrml01,198210290CLE,BOS,game,False,12:00,1,6,.167,0,0,,0,0,,0,0,0,1,0,1,1,1,2,
Charles Bradley,bradlch01,198210290CLE,BOS,game,False,9:00,1,4,.250,0,0,,1,4,.250,1,1,2,1,0,0,1,2,3,
Darren Tillis,tillida01,198210290CLE,BOS,game,False,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Ron Brewer,brewero01,198210290CLE,CLE,game,True,43:00,3,10,.300,0,0,,8,8,1.000,0,1,1,2,3,0,0,0,14,
Cliff Robinson,robincl01,198210290CLE,CLE,game,True,41:00,4,15,.267,0,0,,11,14,.786,5,8,13,4,2,1,4,3,19,
James Edwards,edwarja01,198210290CLE,CLE,game,True,34:00,6,16,.375,0,0,,13,18,.722,6,10,16,2,0,1,0,5,25,
Geoff Huston,hustoge01,198210290CLE,CLE,game,True,32:00,1,3,.333,0,0,,0,2,.000,0,0,0,6,0,0,2,3,2,
Scott Wedman,wedmasc01,198210290CLE,CLE,game,True,28:00,5,13,.385,0,0,,0,0,,4,4,8,0,0,0,1,5,10,
John Bagley,baglejo01,198210290CLE,CLE,game,False,22:00,2,7,.286,0,0,,5,6,.833,0,1,1,1,1,0,2,1,9,
Phil Hubbard,hubbaph01,198210290CLE,CLE,game,False,14:00,1,6,.167,0,1,.000,4,4,1.000,0,2,2,0,2,0,0,1,6,
Steve Hayes,hayesst01,198210290CLE,CLE,game,False,14:00,2,2,1.000,0,0,,1,2,.500,0,1,1,0,0,0,1,1,5,
Bruce Flowers,flowebr01,198210290CLE,CLE,game,False,6:00,0,1,.000,0,0,,2,2,1.000,1,2,3,1,0,0,2,1,2,
