Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,TS%,eFG%,3PAr%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Reason
198610310BOS,WSB,game,True,Moses Malone,malonmo01,39:00,0.629,0.462,,0.923,17.2,11.5,15.0,8.3,1.3,4.6,14.1,21.3,130,124,6.4,
198610310BOS,WSB,game,True,Terry Catledge,catlete01,30:00,0.409,0.412,,0.176,9.6,20.0,13.7,12.4,1.6,0.0,9.8,26.5,92,123,-5.4,
198610310BOS,WSB,game,True,John Williams,willijo02,29:00,0.33,0.182,,0.545,19.9,5.2,14.1,14.7,3.4,0.0,12.8,21.1,92,123,-3.4,
198610310BOS,WSB,game,True,Frank Johnson,johnsfr01,26:00,0.539,0.5,,0.625,3.7,5.8,4.5,12.5,3.8,0.0,8.9,16.8,116,122,0.4,
198610310BOS,WSB,game,True,Anthony Jones,jonesan01,19:00,0.4,0.4,,0.0,0.0,0.0,0.0,23.7,5.2,0.0,28.6,14.4,76,121,-4.3,
198610310BOS,WSB,game,False,Jeff Malone,malonje01,26:00,0.576,0.538,,0.308,0.0,0.0,0.0,15.3,1.9,0.0,0.0,22.2,134,128,4.9,
198610310BOS,WSB,game,False,Darwin Cook,cookda01,25:00,0.556,0.556,,0.0,3.8,12.0,7.0,21.0,0.0,0.0,35.7,21.9,79,129,-9.5,
198610310BOS,WSB,game,False,Dan Roundfield,roundda01,23:00,0.518,0.4,,0.8,0.0,26.1,10.2,0.0,2.1,0.0,12.9,13.2,103,121,-4.6,
198610310BOS,WSB,game,False,Manute Bol,bolma01,14:00,0.773,0.667,,0.667,13.7,21.4,16.7,0.0,0.0,12.9,60.7,27.6,61,119,-9.1,
198610310BOS,WSB,game,False,Charles Jones,jonesch01,6:00,0.0,0.0,,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,6.5,52,132,-3.7,
198610310BOS,WSB,game,False,Jay Murphy,murphja01,3:00,,,,,0.0,50.0,19.5,0.0,0.0,0.0,,0.0,0,119,-3.3,
198610310BOS,BOS,game,True,Dennis Johnson,johnsde01,44:00,0.825,0.786,,0.286,0.0,6.5,4.0,21.8,2.2,0.0,30.8,22.0,116,104,4.1,
198610310BOS,BOS,game,True,Larry Bird,birdla01,40:00,0.546,0.417,,0.5,11.3,12.0,11.7,28.0,0.0,2.9,8.3,25.4,136,105,7.2,
198610310BOS,BOS,game,True,Robert Parish,parisro01,40:00,0.563,0.5,,0.25,18.8,14.4,16.1,9.6,1.2,4.3,10.1,21.0,128,100,2.9,
