Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
197210120UTS,DNR,game,True,Julius Keye,keyeju01,41:00,2,4.0,0.5,0,,,3,9,0.333,,,9.0,0.0,,,2.0,,7,,
197210120UTS,DNR,game,True,Dave Robisch,robisda01,37:00,3,8.0,0.375,0,,,2,5,0.4,,,10.0,1.0,,,2.0,,8,,
197210120UTS,DNR,game,True,Ralph Simpson,simpsra01,36:00,12,28.0,0.429,0,,,3,4,0.75,,,4.0,2.0,,,4.0,,27,,
197210120UTS,DNR,game,True,Byron Beck,beckby01,35:00,6,13.0,0.462,0,,,3,3,1.0,,,10.0,3.0,,,2.0,,15,,
197210120UTS,DNR,game,True,Al Smith,smithal01,17:00,3,7.0,0.429,0,,,1,2,0.5,,,2.0,4.0,,,2.0,,7,,
197210120UTS,DNR,game,False,Warren Jabali,jabalwa01,32:00,6,18.0,0.333,0,,,9,9,1.0,,,5.0,2.0,,,3.0,,21,,
197210120UTS,DNR,game,False,Willie Long,longwi01,22:00,3,9.0,0.333,0,,,4,5,0.8,,,9.0,0.0,,,1.0,,10,,
197210120UTS,DNR,game,False,Claude Terry,terrycl01,13:00,2,4.0,0.5,0,,,0,0,,,,2.0,1.0,,,1.0,,4,,
197210120UTS,DNR,game,False,Frank Card,cardfr01,7:00,2,2.0,1.0,0,,,1,3,0.333,,,2.0,0.0,,,2.0,,5,,
197210120UTS,UTS,game,True,Willie Wise,wisewi01,43:00,8,24.0,0.333,0,,,7,8,0.875,,,9.0,6.0,,,2.0,,23,,
197210120UTS,UTS,game,True,Jimmy Jones,jonesji01,38:00,10,16.0,0.625,0,,,6,7,0.857,,,6.0,6.0,,,3.0,,26,,
197210120UTS,UTS,game,True,Cincy Powell,powelci01,38:00,3,8.0,0.375,0,,,1,1,1.0,,,9.0,2.0,,,0.0,,7,,
