Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196910170NYA,LAS,game,,Larry Miller,millela01,,5.0,,,1.0,,,8.0,9.0,0.889,,,,,,,,,19,,
196910170NYA,LAS,game,,Warren Davis,daviswa02,,7.0,,,0.0,,,3.0,5.0,0.6,,,,,,,,,17,,
196910170NYA,LAS,game,,Mack Calvin,calvima01,,5.0,,,0.0,,,6.0,10.0,0.6,,,,,,,,,16,,
196910170NYA,LAS,game,,Bob Warlick,warlibo01,,7.0,,,0.0,,,2.0,4.0,0.5,,,,,,,,,16,,
196910170NYA,LAS,game,,Bob Warren,warrebo01,,4.0,,,1.0,,,5.0,8.0,0.625,,,,,,,,,14,,
196910170NYA,LAS,game,,Bill McGill,mcgilbi01,,2.0,,,0.0,,,5.0,6.0,0.833,,,,,,,,,9,,
196910170NYA,LAS,game,,Willie Wise,wisewi01,,2.0,,,0.0,,,5.0,7.0,0.714,,,,,,,,,9,,
196910170NYA,LAS,game,,George Stone,stonege01,,4.0,,,0.0,,,0.0,0.0,,,,,,,,,,8,,
196910170NYA,LAS,game,,George Lehmann,lehmage01,,0.0,,,0.0,,,1.0,2.0,0.5,,,,,,,,,1,,
196910170NYA,LAS,game,,Simmie Hill,hillsi01,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,0,,
196910170NYA,NYA,game,,Steve Chubin,chubist01,,6.0,,,1.0,,,11.0,12.0,0.917,,,,,,,,,24,,
196910170NYA,NYA,game,,Walt Simon,simonwa01,,6.0,,,0.0,,,8.0,10.0,0.8,,,,,,,,,20,,
196910170NYA,NYA,game,,Bill Melchionni,melchbi01,,8.0,,,0.0,,,3.0,3.0,1.0,,,,,,,,,19,,
196910170NYA,NYA,game,,Les Hunter,huntele01,,3.0,,,0.0,,,4.0,6.0,0.667,,,,,,,,,10,,
196910170NYA,NYA,game,,Levern Tart,tartle01,,3.0,,,0.0,,,2.0,2.0,1.0,,,,,,,,,8,,
196910170NYA,NYA,game,,Bob McIntyre,mcintbo01,,3.0,,,0.0,,,0.0,0.0,,,,,,,,,,6,,
196910170NYA,NYA,game,,Billy Evans,evansbi01,,1.0,,,0.0,,,2.0,2.0,1.0,,,,,,,,,4,,
196910170NYA,NYA,game,,Jack Gillespie,gilleja01,,0.0,,,0.0,,,2.0,2.0,1.0,,,,,,,,,2,,
196910170NYA,NYA,game,,Dennis Grey,greyde01,,1.0,,,0.0,,,0.0,1.0,0.0,,,,,,,,,2,,
