Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mark Aguirre,aguirma01,198110300UTA,DAL,game,True,39:00,7,21,.333,0,2,.000,5,9,.556,,,11,4,,0,4,2,19,
Brad Davis,davisbr01,198110300UTA,DAL,game,True,37:00,5,8,.625,1,2,.500,4,5,.800,,,3,8,,0,5,6,15,
Ollie Mack,mackol01,198110300UTA,DAL,game,True,32:00,5,13,.385,0,0,,0,0,,,,7,2,,1,2,2,10,
Tom LaGarde,lagarto01,198110300UTA,DAL,game,True,26:00,3,7,.429,0,0,,3,4,.750,,,4,1,,0,2,3,9,
Scott Lloyd,lloydsc01,198110300UTA,DAL,game,True,18:00,3,6,.500,0,0,,1,2,.500,,,4,1,,0,0,6,7,
Rolando Blackman,blackro01,198110300UTA,DAL,game,False,24:00,1,7,.143,0,0,,0,2,.000,,,2,0,,0,0,0,2,
Wayne Cooper,coopewa01,198110300UTA,DAL,game,False,16:00,5,9,.556,0,0,,1,2,.500,,,10,0,,1,1,2,11,
Allan Bristow,bristal01,198110300UTA,DAL,game,False,16:00,3,3,1.000,0,0,,2,2,1.000,,,3,0,,0,1,5,8,
Jay Vincent,vinceja01,198110300UTA,DAL,game,False,15:00,1,4,.250,0,0,,0,0,,,,2,0,,0,3,4,2,
Jim Spanarkel,spanaji01,198110300UTA,DAL,game,False,14:00,1,6,.167,0,0,,2,2,1.000,,,4,0,,0,1,3,4,
Elston Turner,turneel01,198110300UTA,DAL,game,False,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,
Adrian Dantley,dantlad01,198110300UTA,UTA,game,True,47:00,14,29,.483,0,0,,11,16,.688,,,9,2,,0,5,3,39,
Darrell Griffith,griffda01,198110300UTA,UTA,game,True,31:00,7,18,.389,0,0,,2,4,.500,,,2,4,,1,2,1,16,
Rickey Green,greenri01,198110300UTA,UTA,game,True,29:00,5,8,.625,0,0,,6,7,.857,,,3,4,,0,1,1,16,
Jeff Wilkins,wilkije01,198110300UTA,UTA,game,True,28:00,4,9,.444,0,0,,0,0,,,,13,4,,1,1,3,8,
Ben Poquette,poquebe01,198110300UTA,UTA,game,True,23:00,1,1,1.000,0,0,,3,4,.750,,,1,0,,0,1,6,5,
John Duren,durenjo01,198110300UTA,UTA,game,False,26:00,2,2,1.000,0,0,,0,0,,,,1,3,,0,1,1,4,
Carl Nicks,nicksca01,198110300UTA,UTA,game,False,16:00,5,6,.833,0,0,,1,4,.250,,,4,1,,0,0,2,11,
Bobby Cattage,cattabo01,198110300UTA,UTA,game,False,12:00,0,2,.000,0,0,,0,0,,,,3,0,,0,0,1,0,
Danny Schayes,schayda01,198110300UTA,UTA,game,False,10:00,1,2,.500,0,0,,0,2,.000,,,2,0,,0,0,2,2,
Howard Wood,woodho01,198110300UTA,UTA,game,False,10:00,0,1,.000,0,0,,0,2,.000,,,3,0,,0,0,1,0,
James Hardy,hardyja01,198110300UTA,UTA,game,False,8:00,2,4,.500,0,0,,0,0,,,,3,0,,0,1,6,4,
