Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196910140NYK,SEA,game,,Bob Rule,rulebo01,44:00,11,30.0,0.367,,,,5,7,0.714,,,15.0,0.0,,,,1.0,27,,
196910140NYK,SEA,game,,Art Harris,harriar01,36:00,4,17.0,0.235,,,,1,1,1.0,,,2.0,0.0,,,,2.0,9,,
196910140NYK,SEA,game,,Lenny Wilkens,wilkele01,30:00,3,11.0,0.273,,,,4,7,0.571,,,5.0,5.0,,,,3.0,10,,
196910140NYK,SEA,game,,Tom Meschery,meschto01,30:00,0,6.0,0.0,,,,2,3,0.667,,,9.0,0.0,,,,2.0,2,,
196910140NYK,SEA,game,,John Tresvant,tresvjo01,24:00,4,7.0,0.571,,,,10,12,0.833,,,6.0,0.0,,,,2.0,18,,
196910140NYK,SEA,game,,Bob Boozer,boozebo01,24:00,3,8.0,0.375,,,,4,4,1.0,,,10.0,1.0,,,,1.0,10,,
196910140NYK,SEA,game,,Lucius Allen,allenlu01,18:00,3,5.0,0.6,,,,0,0,,,,1.0,2.0,,,,4.0,6,,
196910140NYK,SEA,game,,Erwin Mueller,mueller01,12:00,1,5.0,0.2,,,,0,2,0.0,,,2.0,2.0,,,,0.0,2,,
196910140NYK,SEA,game,,Lee Winfield,winfile01,7:00,3,3.0,1.0,,,,2,2,1.0,,,3.0,2.0,,,,1.0,8,,
196910140NYK,SEA,game,,Barry Clemens,clemeba01,7:00,2,2.0,1.0,,,,2,2,1.0,,,2.0,0.0,,,,4.0,6,,
196910140NYK,SEA,game,,Rod Thorn,thornro01,5:00,1,2.0,0.5,,,,1,2,0.5,,,1.0,0.0,,,,1.0,3,,
196910140NYK,SEA,game,,Dorie Murrey,murredo01,3:00,0,0.0,,,,,0,0,,,,1.0,0.0,,,,0.0,0,,
196910140NYK,NYK,game,,Dave DeBusschere,debusda01,34:00,6,16.0,0.375,,,,1,3,0.333,,,14.0,4.0,,,,2.0,13,,
196910140NYK,NYK,game,,Walt Frazier,fraziwa01,33:00,5,13.0,0.385,,,,6,9,0.667,,,7.0,12.0,,,,1.0,16,,
196910140NYK,NYK,game,,Willis Reed,reedwi01,32:00,14,22.0,0.636,,,,0,0,,,,15.0,2.0,,,,3.0,28,,
196910140NYK,NYK,game,,Dick Barnett,barnedi01,27:00,10,17.0,0.588,,,,2,4,0.5,,,3.0,4.0,,,,2.0,22,,
196910140NYK,NYK,game,,Bill Bradley,bradlbi01,27:00,5,9.0,0.556,,,,2,2,1.0,,,3.0,2.0,,,,4.0,12,,
196910140NYK,NYK,game,,Mike Riordan,riordmi01,23:00,5,9.0,0.556,,,,2,2,1.0,,,2.0,5.0,,,,4.0,12,,
196910140NYK,NYK,game,,Cazzie Russell,russeca01,14:00,4,10.0,0.4,,,,0,0,,,,4.0,1.0,,,,4.0,8,,
196910140NYK,NYK,game,,Dave Stallworth,stallda01,14:00,4,7.0,0.571,,,,0,0,,,,6.0,2.0,,,,1.0,8,,
196910140NYK,NYK,game,,John Warren,warrejo01,13:00,1,6.0,0.167,,,,2,2,1.0,,,2.0,2.0,,,,3.0,4,,
196910140NYK,NYK,game,,Nate Bowman,bowmana01,9:00,0,3.0,0.0,,,,0,0,,,,2.0,0.0,,,,3.0,0,,
196910140NYK,NYK,game,,Don May,maydo01,7:00,0,1.0,0.0,,,,3,3,1.0,,,1.0,1.0,,,,1.0,3,,
196910140NYK,NYK,game,,Bill Hosket,hoskebi01,7:00,0,1.0,0.0,,,,0,0,,,,1.0,1.0,,,,1.0,0,,
196910150CIN,NYK,game,,Walt Frazier,fraziwa01,,7,14.0,0.5,,,,8,10,0.8,,,3.0,7.0,,,,4.0,22,,
196910150CIN,NYK,game,,Willis Reed,reedwi01,,6,16.0,0.375,,,,10,12,0.833,,,20.0,1.0,,,,4.0,22,,
196910150CIN,NYK,game,,Dave DeBusschere,debusda01,,7,17.0,0.412,,,,1,3,0.333,,,13.0,,,,,2.0,15,,
196910150CIN,NYK,game,,Cazzie Russell,russeca01,,4,10.0,0.4,,,,7,7,1.0,,,0.0,,,,,1.0,15,,
196910150CIN,NYK,game,,Dick Barnett,barnedi01,,5,7.0,0.714,,,,0,0,,,,4.0,,,,,4.0,10,,
196910150CIN,NYK,game,,Bill Bradley,bradlbi01,,2,9.0,0.222,,,,1,1,1.0,,,6.0,,,,,3.0,5,,
196910150CIN,NYK,game,,Mike Riordan,riordmi01,,1,4.0,0.25,,,,1,1,1.0,,,2.0,,,,,3.0,3,,
196910150CIN,NYK,game,,Dave Stallworth,stallda01,,1,1.0,1.0,,,,0,0,,,,1.0,,,,,2.0,2,,
196910150CIN,NYK,game,,Nate Bowman,bowmana01,,0,0.0,,,,,0,0,,,,1.0,,,,,0.0,0,,
196910150CIN,CIN,game,,Oscar Robertson,roberos01,48:00,8,26.0,0.308,,,,2,2,1.0,,,7.0,7.0,,,,3.0,18,,
196910150CIN,CIN,game,,Jerry Lucas,lucasje01,30:00,6,10.0,0.6,,,,1,1,1.0,,,15.0,,,,,0.0,13,,
196910150CIN,CIN,game,,Norm Van Lier,vanlino01,22:00,4,8.0,0.5,,,,6,6,1.0,,,2.0,,,,,1.0,14,,
196910150CIN,CIN,game,,Tom Van Arsdale,vanarto01,,6,16.0,0.375,,,,8,9,0.889,,,6.0,2.0,,,,4.0,20,,
196910150CIN,CIN,game,,Luther Rackley,rackllu01,,4,11.0,0.364,,,,0,0,,,,8.0,,,,,5.0,8,,
196910150CIN,CIN,game,,Fred Foster,fostefr01,,1,6.0,0.167,,,,2,2,1.0,,,1.0,,,,,1.0,4,,
196910150CIN,CIN,game,,Herm Gilliam,gillihe01,,2,6.0,0.333,,,,0,0,,,,3.0,,,,,6.0,4,,
196910150CIN,CIN,game,,Johnny Green,greenjo01,,1,3.0,0.333,,,,1,2,0.5,,,7.0,,,,,2.0,3,,
196910150CIN,CIN,game,,Adrian Smith,smithad01,,1,5.0,0.2,,,,1,1,1.0,,,0.0,,,,,1.0,3,,
196910150CIN,CIN,game,,Connie Dierking,dierkco01,,1,7.0,0.143,,,,0,0,,,,3.0,,,,,3.0,2,,
196910150ATL,SEA,game,,Bob Rule,rulebo01,44:00,10,21.0,0.476,,,,8,13,0.615,,,9.0,4.0,,,,5.0,28,,
