Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Joe Fulks,fulksjo01,194811110PHW,PHW,game,,,2,14,.143,,,,6,7,.857,,,,2,,,,6,10,
Phil Farbman,farbmph01,194811110PHW,PHW,game,,,2,2,1.000,,,,3,3,1.000,,,,0,,,,2,7,
George Senesky,senesge01,194811110PHW,PHW,game,,,2,11,.182,,,,3,3,1.000,,,,1,,,,1,7,
Jerry Fleishman,fleisje01,194811110PHW,PHW,game,,,2,5,.400,,,,1,1,1.000,,,,0,,,,3,5,
Bob O'Brien,obriebo01,194811110PHW,PHW,game,,,1,2,.500,,,,1,4,.250,,,,0,,,,1,3,
Gale Bishop,bishoga01,194811110PHW,PHW,game,,,0,2,.000,,,,2,2,1.000,,,,0,,,,5,2,
Roy Pugh,pughro01,194811110PHW,PHW,game,,,0,2,.000,,,,0,0,,,,,0,,,,2,0,
Bones McKinney,mckinbo01,194811110BLB,WSC,game,,,5,,,,,,5,7,.714,,,,,,,,,15,
Fred Scolari,scolafr01,194811110BLB,WSC,game,,,4,,,,,,6,7,.857,,,,,,,,,14,
Bob Feerick,feeribo01,194811110BLB,WSC,game,,,3,,,,,,7,7,1.000,,,,,,,,,13,
Kleggie Hermsen,hermskl01,194811110BLB,WSC,game,,,2,,,,,,7,9,.778,,,,,,,,,11,
Johnny Norlander,norlajo01,194811110BLB,WSC,game,,,4,,,,,,3,4,.750,,,,,,,,,11,
Dick O'Keefe,okeefdi01,194811110BLB,WSC,game,,,1,,,,,,1,2,.500,,,,,,,,,3,
Sonny Hertzberg,hertzso01,194811110BLB,WSC,game,,,0,,,,,,1,1,1.000,,,,,,,,,1,
Leo Katkaveck,katkale01,194811110BLB,WSC,game,,,0,,,,,,1,2,.500,,,,,,,,,1,
Matt Zunic,zunicma01,194811110BLB,WSC,game,,,0,,,,,,1,1,1.000,,,,,,,,,1,
Walt Budko,budkowa01,194811110BLB,BLB,game,,,5,,,,,,5,6,.833,,,,,,,,,15,
Connie Simmons,simmoco01,194811110BLB,BLB,game,,,3,,,,,,5,6,.833,,,,,,,,,11,
Buddy Jeannette,jeannbu01,194811110BLB,BLB,game,,,1,,,,,,8,10,.800,,,,,,,,,10,
Stan Stutz,stutzst01,194811110BLB,BLB,game,,,3,,,,,,3,5,.600,,,,,,,,,9,
John Mahnken,mahnkjo01,194811110BLB,BLB,game,,,2,,,,,,2,3,.667,,,,,,,,,6,
Chick Reiser,reisech01,194811110BLB,BLB,game,,,3,,,,,,0,1,.000,,,,,,,,,6,
Dan Kraus,krausda01,194811110BLB,BLB,game,,,1,,,,,,2,3,.667,,,,,,,,,4,
Herb Krautblatt,krauthe01,194811110BLB,BLB,game,,,1,,,,,,2,4,.500,,,,,,,,,4,
Leo Mogus,mogusle01,194811110BLB,BLB,game,,,1,,,,,,1,1,1.000,,,,,,,,,3,
Leo Klier,klierle01,194811110PRO,FTW,game,,,7,,,,,,2,2,1.000,,,,,,,,,16,
Bob Tough,toughbo01,194811110PRO,FTW,game,,,6,,,,,,3,5,.600,,,,,,,,,15,
Curly Armstrong,armstcu01,194811110PRO,FTW,game,,,5,,,,,,1,2,.500,,,,,,,,,11,
Ralph Hamilton,hamilra01,194811110PRO,FTW,game,,,5,,,,,,0,1,.000,,,,,,,,,10,
Richie Niemiera,niemiri01,194811110PRO,FTW,game,,,3,,,,,,2,3,.667,,,,,,,,,8,
Bob Kinney,kinnebo01,194811110PRO,FTW,game,,,3,,,,,,0,0,,,,,,,,,,6,
Jake Pelkington,pelkija01,194811110PRO,FTW,game,,,2,,,,,,2,3,.667,,,,,,,,,6,
Blackie Towery,towerbl01,194811110PRO,FTW,game,,,2,,,,,,2,2,1.000,,,,,,,,,6,
Dick Triptow,triptdi01,194811110PRO,FTW,game,,,1,,,,,,4,5,.800,,,,,,,,,6,
Jack Smiley,smileja01,194811110PRO,FTW,game,,,0,,,,,,2,4,.500,,,,,,,,,2,
Walt Kirk,kirkwa01,194811110PRO,FTW,game,,,0,,,,,,1,1,1.000,,,,,,,,,1,
Kenny Sailors,sailoke01,194811110PRO,PRO,game,,,5,,,,,,16,17,.941,,,,7,,,,6,26,
