Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196810180INA,OAK,game,True,Rick Barry,barryri01,,15,27.0,0.556,0,,,6,6,1.0,,,9.0,8.0,,,,4.0,36,,
196810180INA,OAK,game,True,Warren Jabali,jabalwa01,,6,11.0,0.545,0,,,3,3,1.0,,,3.0,4.0,,,,5.0,15,,
196810180INA,OAK,game,True,Doug Moe,moedo01,,4,10.0,0.4,0,,,5,5,1.0,,,8.0,5.0,,,,3.0,13,,
196810180INA,OAK,game,True,Larry Brown,brownla01,,3,7.0,0.429,1,,,3,4,0.75,,,2.0,9.0,,,,5.0,10,,
196810180INA,OAK,game,True,Ira Harge,hargeir01,,4,5.0,0.8,0,,,2,2,1.0,,,8.0,0.0,,,,4.0,10,,
196810180INA,OAK,game,False,Jim Eakins,eakinji01,,10,16.0,0.625,0,,,4,7,0.571,,,13.0,2.0,,,,4.0,24,,
196810180INA,OAK,game,False,Gary Bradds,braddga01,,9,11.0,0.818,0,,,0,1,0.0,,,8.0,1.0,,,,3.0,18,,
196810180INA,OAK,game,False,Henry Logan,loganhe01,,4,6.0,0.667,0,,,2,3,0.667,,,5.0,2.0,,,,4.0,10,,
196810180INA,OAK,game,False,Russ Critchfield,critcru01,,4,10.0,0.4,0,,,0,0,,,,0.0,1.0,,,,2.0,8,,
196810180INA,INA,game,True,Bob Netolicky,netolbo01,,13,19.0,0.684,0,,,5,11,0.455,,,14.0,1.0,,,,2.0,31,,
196810180INA,INA,game,True,Mel Daniels,danieme01,,10,24.0,0.417,0,,,4,7,0.571,,,17.0,2.0,,,,4.0,24,,
196810180INA,INA,game,True,Jimmy Rayl,raylji01,,6,12.0,0.5,5,,,4,5,0.8,,,3.0,3.0,,,,6.0,21,,
196810180INA,INA,game,True,Roger Brown,brownro01,,4,12.0,0.333,0,,,7,8,0.875,,,2.0,6.0,,,,6.0,15,,
196810180INA,INA,game,True,Freddie Lewis,lewisfr02,,3,13.0,0.231,0,,,8,9,0.889,,,5.0,3.0,,,,3.0,14,,
196810180INA,INA,game,False,Jerry Harkness,harknje01,,0,5.0,0.0,0,,,7,11,0.636,,,5.0,2.0,,,,4.0,7,,
196810180INA,INA,game,False,George Peeples,peeplge01,,2,8.0,0.25,0,,,3,4,0.75,,,9.0,2.0,,,,1.0,7,,
196810180INA,INA,game,False,Mike Lewis,lewismi01,,3,5.0,0.6,0,,,0,0,,,,4.0,1.0,,,,1.0,6,,
196810180INA,INA,game,False,Bobby Hooper,hoopebo01,,2,7.0,0.286,1,,,0,0,,,,0.0,0.0,,,,0.0,5,,
196810180INA,INA,game,False,Phil Wagner,wagneph01,,1,2.0,0.5,0,,,1,1,1.0,,,1.0,0.0,,,,1.0,3,,
