Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196410160PHI,DET,game,,Don Kojis,kojisdo01,,7,13.0,0.538,,,,6,8,0.75,,,9.0,3.0,,,,4.0,20,,
196410160PHI,DET,game,,Dave DeBusschere,debusda01,,6,12.0,0.5,,,,3,4,0.75,,,8.0,1.0,,,,2.0,15,,
196410160PHI,DET,game,,Ray Scott,scottra01,,6,15.0,0.4,,,,3,4,0.75,,,14.0,3.0,,,,4.0,15,,
196410160PHI,DET,game,,Rod Thorn,thornro01,,5,16.0,0.313,,,,5,7,0.714,,,6.0,5.0,,,,4.0,15,,
196410160PHI,DET,game,,Donnie Butcher,butchdo01,,3,9.0,0.333,,,,7,11,0.636,,,7.0,4.0,,,,5.0,13,,
196410160PHI,DET,game,,Reggie Harding,hardire01,,6,14.0,0.429,,,,1,1,1.0,,,11.0,2.0,,,,4.0,13,,
196410160PHI,DET,game,,Hub Reed,reedhu01,,5,6.0,0.833,,,,0,1,0.0,,,3.0,0.0,,,,2.0,10,,
196410160PHI,DET,game,,Bob Duffy,duffybo02,,2,3.0,0.667,,,,2,2,1.0,,,1.0,3.0,,,,3.0,6,,
196410160PHI,DET,game,,Terry Dischinger,dischte01,,0,5.0,0.0,,,,4,5,0.8,,,4.0,3.0,,,,1.0,4,,
196410160PHI,DET,game,,Eddie Miles,milesed01,,1,4.0,0.25,,,,0,0,,,,2.0,2.0,,,,2.0,2,,
196410160PHI,PHI,game,,Hal Greer,greerha01,,11,25.0,0.44,,,,10,13,0.769,,,3.0,6.0,,,,3.0,32,,
196410160PHI,PHI,game,,Paul Neumann,neumapa01,,5,13.0,0.385,,,,10,10,1.0,,,1.0,5.0,,,,4.0,20,,
196410160PHI,PHI,game,,Larry Costello,costela01,,6,12.0,0.5,,,,3,3,1.0,,,1.0,3.0,,,,2.0,15,,
196410160PHI,PHI,game,,Chet Walker,walkech01,,6,16.0,0.375,,,,3,3,1.0,,,13.0,2.0,,,,4.0,15,,
196410160PHI,PHI,game,,Jerry Greenspan,greenje01,,4,6.0,0.667,,,,4,4,1.0,,,6.0,0.0,,,,5.0,12,,
196410160PHI,PHI,game,,Red Kerr,kerrre01,,3,11.0,0.273,,,,5,6,0.833,,,14.0,2.0,,,,2.0,11,,
196410160PHI,PHI,game,,Connie Dierking,dierkco01,,4,6.0,0.667,,,,1,1,1.0,,,5.0,1.0,,,,4.0,9,,
196410160PHI,PHI,game,,Dave Gambee,gambeda01,,1,7.0,0.143,,,,3,4,0.75,,,7.0,3.0,,,,5.0,5,,
196410160PHI,PHI,game,,Ben Warley,warlebe01,,1,3.0,0.333,,,,3,4,0.75,,,7.0,3.0,,,,6.0,5,,
196410160PHI,PHI,game,,Larry Jones,jonesla01,,0,2.0,0.0,,,,1,1,1.0,,,0.0,2.0,,,,1.0,1,,
196410160PHI,PHI,game,,Al Bianchi,biancal01,,0,1.0,0.0,,,,0,0,,,,0.0,0.0,,,,0.0,0,,
196410170BAL,SFW,game,,Nate Thurmond,thurmna01,48:00,12,22.0,0.545,,,,4,8,0.5,,,20.0,0.0,,,,5.0,28,,
