Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196810150NYK,CHI,game,,Jerry Sloan,sloanje01,48:00,1,5.0,0.2,,,,7,8,0.875,,,3.0,6.0,,,,5.0,9,,
196810150NYK,CHI,game,,Flynn Robinson,robinfl01,42:00,13,26.0,0.5,,,,6,7,0.857,,,4.0,5.0,,,,4.0,32,,
196810150NYK,CHI,game,,Bob Boozer,boozebo01,35:00,5,15.0,0.333,,,,7,8,0.875,,,10.0,0.0,,,,3.0,17,,
196810150NYK,CHI,game,,Tom Boerwinkle,boerwto01,32:00,4,9.0,0.444,,,,1,2,0.5,,,12.0,1.0,,,,4.0,9,,
196810150NYK,CHI,game,,Jim Washington,washiji01,31:00,6,12.0,0.5,,,,4,5,0.8,,,6.0,0.0,,,,2.0,16,,
196810150NYK,CHI,game,,Barry Clemens,clemeba01,19:00,4,6.0,0.667,,,,1,1,1.0,,,3.0,2.0,,,,2.0,9,,
196810150NYK,CHI,game,,Dave Newmark,newmada01,16:00,2,6.0,0.333,,,,1,5,0.2,,,7.0,1.0,,,,0.0,5,,
196810150NYK,CHI,game,,Erwin Mueller,mueller01,11:00,1,2.0,0.5,,,,1,1,1.0,,,1.0,1.0,,,,2.0,3,,
196810150NYK,CHI,game,,Loy Petersen,peterlo01,6:00,0,0.0,,,,,0,0,,,,0.0,0.0,,,,0.0,0,,
196810150NYK,NYK,game,,Cazzie Russell,russeca01,38:00,13,24.0,0.542,,,,3,4,0.75,,,9.0,2.0,,,,2.0,29,,
196810150NYK,NYK,game,,Phil Jackson,jacksph01,36:00,4,7.0,0.571,,,,2,5,0.4,,,8.0,0.0,,,,6.0,10,,
196810150NYK,NYK,game,,Willis Reed,reedwi01,35:00,5,11.0,0.455,,,,0,0,,,,4.0,2.0,,,,6.0,10,,
