Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
195810190SYR,DET,game,,Gene Shue,shuege01,39:00,7,18.0,0.389,,,,4,5,0.8,,,3.0,,,,,0,18,,
195810190SYR,DET,game,,Walter Dukes,dukeswa01,29:00,4,15.0,0.267,,,,8,12,0.667,,,17.0,,,,,6,16,,
195810190SYR,DET,game,,George Yardley,yardlge01,29:00,4,14.0,0.286,,,,3,4,0.75,,,7.0,,,,,3,11,,
195810190SYR,DET,game,,Dick Farley,farledi01,28:00,2,4.0,0.5,,,,7,9,0.778,,,2.0,,,,,2,11,,
195810190SYR,DET,game,,Earl Lloyd,lloydea01,27:00,5,10.0,0.5,,,,1,3,0.333,,,11.0,,,,,6,11,,
195810190SYR,DET,game,,Phil Jordon,jordoph01,21:00,2,5.0,0.4,,,,3,5,0.6,,,4.0,,,,,1,7,,
195810190SYR,DET,game,,Shellie McMillon,mcmilsh01,16:00,3,3.0,1.0,,,,6,10,0.6,,,8.0,,,,,5,12,,
195810190SYR,DET,game,,Dick McGuire,mcguidi01,16:00,0,4.0,0.0,,,,0,0,,,,3.0,,,,,0,0,,
195810190SYR,DET,game,,Joe Holup,holupjo01,13:00,2,4.0,0.5,,,,0,0,,,,2.0,,,,,1,4,,
195810190SYR,DET,game,,Chuck Noble,noblech01,13:00,0,3.0,0.0,,,,0,0,,,,2.0,,,,,1,0,,
195810190SYR,DET,game,,Barney Cable,cableba01,9:00,2,3.0,0.667,,,,0,0,,,,4.0,,,,,0,4,,
195810190SYR,SYR,game,,Al Bianchi,biancal01,36:00,7,15.0,0.467,,,,3,6,0.5,,,4.0,,,,,4,17,,
195810190SYR,SYR,game,,Larry Costello,costela01,36:00,6,15.0,0.4,,,,1,2,0.5,,,6.0,,,,,4,13,,
195810190SYR,SYR,game,,Dolph Schayes,schaydo01,34:00,5,19.0,0.263,,,,8,11,0.727,,,11.0,,,,,4,18,,
195810190SYR,SYR,game,,Red Kerr,kerrre01,34:00,7,17.0,0.412,,,,3,5,0.6,,,21.0,,,,,5,17,,
195810190SYR,SYR,game,,Ed Conlin,conlied01,34:00,5,15.0,0.333,,,,1,2,0.5,,,10.0,,,,,2,11,,
195810190SYR,SYR,game,,Bob Hopkins,hopkibo01,18:00,2,8.0,0.25,,,,3,3,1.0,,,8.0,,,,,6,7,,
195810190SYR,SYR,game,,Hal Greer,greerha01,17:00,0,4.0,0.0,,,,2,2,1.0,,,0.0,,,,,2,2,,
195810190SYR,SYR,game,,Togo Palazzi,palazto01,14:00,6,11.0,0.545,,,,2,2,1.0,,,3.0,,,,,3,14,,
195810190SYR,SYR,game,,Connie Dierking,dierkco01,10:00,0,1.0,0.0,,,,2,2,1.0,,,5.0,,,,,1,2,,
195810190SYR,SYR,game,,Tommy Kearns,kearnto01,7:00,1,1.0,1.0,,,,0,0,,,,0.0,0.0,,,,1,2,,
195810220MNL,CIN,game,,Dave Piontek,piontda01,,8,22.0,0.364,,,,1,3,0.333,,,,,,,,4,17,,
195810220MNL,CIN,game,,Jack Parr,parrja01,,5,9.0,0.556,,,,4,5,0.8,,,,,,,,1,14,,
195810220MNL,CIN,game,,Jack Twyman,twymaja01,,5,16.0,0.313,,,,2,3,0.667,,,,,,,,4,12,,
195810220MNL,CIN,game,,Archie Dees,deesar01,,4,7.0,0.571,,,,1,3,0.333,,,,,,,,3,9,,
195810220MNL,CIN,game,,Vern Hatton,hattove01,,3,9.0,0.333,,,,2,2,1.0,,,,,,,,2,8,,
195810220MNL,CIN,game,,Jim Palmer,palmeji01,,3,6.0,0.5,,,,2,3,0.667,,,,,,,,4,8,,
195810220MNL,CIN,game,,Tom Marshall,marshto01,,3,8.0,0.375,,,,1,1,1.0,,,,,,,,1,7,,
195810220MNL,CIN,game,,Bucky Bockhorn,bockhbu01,,1,6.0,0.167,,,,0,0,,,,,,,,,1,2,,
195810220MNL,CIN,game,,Si Green,greensi01,,1,13.0,0.077,,,,0,0,,,,,,,,,1,2,,
195810220MNL,CIN,game,,Wayne Embry,embrywa01,,0,7.0,0.0,,,,0,0,,,,,,,,,1,0,,
195810220MNL,CIN,game,,Larry Staverman,stavela01,,0,3.0,0.0,,,,0,0,,,,,,,,,2,0,,
195810220MNL,MNL,game,,Elgin Baylor,bayloel01,32:00,10,21.0,0.476,,,,5,7,0.714,,,13.0,6.0,,,,4,25,,
195810220MNL,MNL,game,,Jim Krebs,krebsji01,,6,12.0,0.5,,,,4,4,1.0,,,,,,,,1,16,,
195810220MNL,MNL,game,,Ed Fleming,flemied01,,6,14.0,0.429,,,,3,6,0.5,,,,,,,,2,15,,
195810220MNL,MNL,game,,Larry Foust,foustla01,,5,8.0,0.625,,,,0,0,,,,,,,,,2,10,,
195810220MNL,MNL,game,,Dick Garmaker,garmadi01,,4,16.0,0.25,,,,1,4,0.25,,,,,,,,1,9,,
195810220MNL,MNL,game,,Boo Ellis,ellisbo01,,2,7.0,0.286,,,,2,3,0.667,,,,,,,,3,6,,
195810220MNL,MNL,game,,Steve Hamilton,hamilst01,,1,3.0,0.333,,,,4,4,1.0,,,,,,,,4,6,,
195810220MNL,MNL,game,,Slick Leonard,leonasl01,,2,7.0,0.286,,,,1,1,1.0,,,,,,,,0,5,,
195810220MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,1,10.0,0.1,,,,3,4,0.75,,,,,,,,0,5,,
195810220MNL,MNL,game,,Hot Rod Hundley,hundlho01,,1,10.0,0.1,,,,0,1,0.0,,,,,,,,1,2,,
195810230STL,DET,game,,Gene Shue,shuege01,43:00,4,16.0,0.25,,,,5,8,0.625,,,6.0,,,,,1,13,,
195810230STL,DET,game,,George Yardley,yardlge01,39:00,10,21.0,0.476,,,,8,8,1.0,,,9.0,,,,,3,28,,
195810230STL,DET,game,,Earl Lloyd,lloydea01,30:00,2,4.0,0.5,,,,8,9,0.889,,,7.0,,,,,4,12,,
195810230STL,DET,game,,Dick McGuire,mcguidi01,28:00,2,7.0,0.286,,,,2,4,0.5,,,7.0,,,,,2,6,,
195810230STL,DET,game,,Phil Jordon,jordoph01,20:00,5,12.0,0.417,,,,4,5,0.8,,,5.0,,,,,5,14,,
195810230STL,DET,game,,Walter Dukes,dukeswa01,19:00,1,7.0,0.143,,,,0,0,,,,4.0,,,,,6,2,,
195810230STL,DET,game,,Dick Farley,farledi01,17:00,3,5.0,0.6,,,,2,2,1.0,,,2.0,,,,,2,8,,
195810230STL,DET,game,,Joe Holup,holupjo01,16:00,3,6.0,0.5,,,,2,3,0.667,,,3.0,,,,,2,8,,
195810230STL,DET,game,,Barney Cable,cableba01,12:00,2,8.0,0.25,,,,0,0,,,,4.0,,,,,0,4,,
195810230STL,DET,game,,Shellie McMillon,mcmilsh01,8:00,2,3.0,0.667,,,,2,2,1.0,,,2.0,,,,,1,6,,
195810230STL,DET,game,,Chuck Noble,noblech01,8:00,1,4.0,0.25,,,,0,0,,,,1.0,,,,,2,2,,
195810230STL,STL,game,,Bob Pettit,pettibo01,38:00,7,19.0,0.368,,,,9,13,0.692,,,25.0,,,,,3,23,,
195810230STL,STL,game,,Slater Martin,martisl01,33:00,2,10.0,0.2,,,,4,7,0.571,,,4.0,,,,,2,8,,
195810230STL,STL,game,,Jack McMahon,mcmahja01,30:00,5,10.0,0.5,,,,1,2,0.5,,,1.0,,,,,3,11,,
195810230STL,STL,game,,Cliff Hagan,hagancl01,29:00,8,17.0,0.471,,,,2,3,0.667,,,6.0,,,,,4,18,,
195810230STL,STL,game,,Chuck Share,sharech01,29:00,2,7.0,0.286,,,,4,4,1.0,,,18.0,,,,,3,8,,
195810230STL,STL,game,,Clyde Lovellette,lovelcl01,21:00,6,12.0,0.5,,,,4,8,0.5,,,13.0,,,,,5,16,,
195810230STL,STL,game,,Ed Macauley,macaued01,19:00,2,6.0,0.333,,,,0,1,0.0,,,2.0,,,,,1,4,,
195810230STL,STL,game,,Win Wilfong,wilfowi01,14:00,2,5.0,0.4,,,,2,2,1.0,,,5.0,,,,,4,6,,
195810230STL,STL,game,,Al Ferrari,ferraal01,12:00,2,6.0,0.333,,,,1,1,1.0,,,3.0,,,,,1,5,,
195810230STL,STL,game,,Med Park,parkme01,7:00,1,2.0,0.5,,,,1,2,0.5,,,3.0,,,,,0,3,,
195810230STL,STL,game,,Dave Gambee,gambeda01,5:00,1,1.0,1.0,,,,0,0,,,,0.0,0.0,,,,2,2,,
195810230STL,STL,game,,Hub Reed,reedhu01,3:00,0,1.0,0.0,,,,0,0,,,,1.0,,,,,2,0,,
195810250SYR,PHW,game,,Paul Arizin,arizipa01,,11,23.0,0.478,,,,5,7,0.714,,,7.0,1.0,,,,5,27,,
195810250SYR,PHW,game,,Jack George,georgja01,,8,17.0,0.471,,,,5,5,1.0,,,6.0,4.0,,,,2,21,,
195810250SYR,PHW,game,,Tom Gola,golato01,,2,5.0,0.4,,,,13,15,0.867,,,5.0,5.0,,,,4,17,,
195810250SYR,PHW,game,,Woody Sauldsberry,sauldwo01,,6,18.0,0.333,,,,3,4,0.75,,,15.0,1.0,,,,5,15,,
195810250SYR,PHW,game,,Phil Rollins,rolliph01,,5,8.0,0.625,,,,3,3,1.0,,,1.0,3.0,,,,2,13,,
195810250SYR,PHW,game,,Andy Johnson,johnsan01,,3,10.0,0.3,,,,1,3,0.333,,,5.0,0.0,,,,6,7,,
195810250SYR,PHW,game,,Joe Graboski,grabojo01,,2,11.0,0.182,,,,2,2,1.0,,,11.0,0.0,,,,2,6,,
195810250SYR,PHW,game,,Neil Johnston,johnsne01,,2,5.0,0.4,,,,0,0,,,,2.0,0.0,,,,1,4,,
195810250SYR,PHW,game,,George Dempsey,dempsge01,,0,0.0,,,,,0,0,,,,1.0,0.0,,,,1,0,,
195810250SYR,SYR,game,,Dolph Schayes,schaydo01,,12,19.0,0.632,,,,10,13,0.769,,,11.0,1.0,,,,5,34,,
195810250SYR,SYR,game,,Red Kerr,kerrre01,,9,19.0,0.474,,,,6,7,0.857,,,19.0,0.0,,,,2,24,,
195810250SYR,SYR,game,,Larry Costello,costela01,,5,15.0,0.333,,,,6,8,0.75,,,3.0,4.0,,,,4,16,,
195810250SYR,SYR,game,,Ed Conlin,conlied01,,5,18.0,0.278,,,,2,2,1.0,,,10.0,2.0,,,,3,12,,
195810250SYR,SYR,game,,Hal Greer,greerha01,,5,8.0,0.625,,,,1,1,1.0,,,1.0,0.0,,,,3,11,,
195810250SYR,SYR,game,,Bob Hopkins,hopkibo01,,2,6.0,0.333,,,,4,5,0.8,,,6.0,0.0,,,,4,8,,
195810250SYR,SYR,game,,Al Bianchi,biancal01,,2,7.0,0.286,,,,0,0,,,,0.0,2.0,,,,4,4,,
195810250SYR,SYR,game,,Togo Palazzi,palazto01,,0,5.0,0.0,,,,0,2,0.0,,,1.0,0.0,,,,0,0,,
195810250NYK,BOS,game,,Bill Russell,russebi01,50:00,6,,,,,,3,5,0.6,,,25.0,,,,,4,15,,
195810250NYK,BOS,game,,Bill Sharman,sharmbi01,,13,,,,,,2,3,0.667,,,,,,,,5,28,,
195810250NYK,BOS,game,,Bob Cousy,cousybo01,,6,,,,,,12,14,0.857,,,,,,,,4,24,,
195810250NYK,BOS,game,,Sam Jones,jonessa01,,6,,,,,,8,8,1.0,,,,,,,,0,20,,
195810250NYK,BOS,game,,Jim Loscutoff,loscuji01,,7,,,,,,0,0,,,,,,,,,6,14,,
195810250NYK,BOS,game,,Tom Heinsohn,heinsto01,,4,,,,,,0,2,0.0,,,,,,,,6,8,,
195810250NYK,BOS,game,,Lou Tsioropoulos,tsiorlo01,,3,,,,,,1,1,1.0,,,,,,,,4,7,,
195810250NYK,BOS,game,,Bennie Swain,swainbe01,,2,,,,,,2,5,0.4,,,,,,,,2,6,,
195810250NYK,BOS,game,,Frank Ramsey,ramsefr01,,1,,,,,,1,1,1.0,,,,,,,,1,3,,
195810250NYK,BOS,game,,Gene Conley,conlege01,,0,,,,,,0,1,0.0,,,,,,,,1,0,,
195810250NYK,NYK,game,,Kenny Sears,searske01,,8,,,,,,17,18,0.944,,,,,,,,3,33,,
195810250NYK,NYK,game,,Richie Guerin,gueriri01,,8,,,,,,5,8,0.625,,,,,,,,5,21,,
195810250NYK,NYK,game,,Carl Braun,braunca01,,5,,,,,,5,6,0.833,,,,,,,,2,15,,
195810250NYK,NYK,game,,Willie Naulls,naullwi01,,4,,,,,,6,6,1.0,,,,,,,,6,14,,
195810250NYK,NYK,game,,Ron Sobie,sobiero01,,6,,,,,,2,2,1.0,,,,,,,,3,14,,
