Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,TS%,eFG%,3PAr%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Reason
198510250ATL,WSB,game,True,Jeff Ruland,rulanje01,41:00,0.567,0.533,,0.267,18.0,20.8,19.5,34.4,1.2,2.6,23.0,23.9,110,95,7.2,
198510250ATL,WSB,game,True,Cliff Robinson,robincl01,36:00,0.661,0.643,,0.429,3.4,20.7,12.7,9.5,4.2,1.5,23.1,27.1,103,90,5.1,
198510250ATL,WSB,game,True,Jeff Malone,malonje01,30:00,0.551,0.533,,0.2,0.0,7.1,3.8,5.9,0.0,0.0,10.9,27.5,102,104,-4.9,
198510250ATL,WSB,game,True,Gus Williams,willigu01,30:00,0.648,0.571,,0.357,0.0,0.0,0.0,23.5,3.4,0.0,5.8,25.9,134,101,8.9,
198510250ATL,WSB,game,True,Charles Jones,jonesch01,25:00,0.41,0.25,,0.5,9.8,25.6,18.3,10.1,0.0,8.6,17.0,10.6,101,91,4.2,
198510250ATL,WSB,game,False,Dan Roundfield,roundda01,26:00,0.148,0.0,,0.8,9.5,16.4,13.2,4.6,1.9,0.0,22.8,15.2,47,96,-13.7,
198510250ATL,WSB,game,False,Perry Moss,mosspe01,20:00,0.788,0.75,,0.25,0.0,0.0,0.0,7.3,5.1,0.0,18.4,12.3,128,97,3.8,
198510250ATL,WSB,game,False,Dudley Bradley,bradldu01,15:00,,,,,0.0,0.0,0.0,8.0,3.4,0.0,,0.0,200,101,0.1,
198510250ATL,WSB,game,False,Darren Daye,dayeda01,11:00,0.563,0.5,,0.25,0.0,19.4,10.4,0.0,4.6,0.0,0.0,18.2,121,89,0.5,
198510250ATL,WSB,game,False,Manute Bol,bolma01,3:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,101,-31.2,
198510250ATL,WSB,game,False,Tom McMillen,mcmilto01,3:00,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,102,104,-10.3,
198510250ATL,ATL,game,True,Dominique Wilkins,wilkido01,42:00,0.513,0.517,,0.172,12.7,2.9,8.2,19.2,3.6,0.0,13.8,35.7,99,105,7.0,
198510250ATL,ATL,game,True,Tree Rollins,rollitr01,34:00,0.507,0.5,,0.25,3.1,29.0,15.1,0.0,0.0,5.6,10.1,12.0,99,102,-0.5,
198510250ATL,ATL,game,True,Cliff Levingston,levincl01,31:00,0.41,0.375,,0.5,6.9,15.9,11.1,17.0,1.6,4.1,17.0,15.7,90,103,0.9,
198510250ATL,ATL,game,True,Spud Webb,webbsp01,29:00,0.761,0.714,,0.286,0.0,12.7,5.9,50.6,1.7,0.0,27.6,15.5,126,107,4.9,
198510250ATL,ATL,game,True,Kevin Willis,willike02,22:00,0.32,0.316,,0.158,14.5,28.0,20.8,0.0,0.0,0.0,4.7,40.1,76,107,-12.9,
198510250ATL,ATL,game,False,Randy Wittman,wittmra01,24:00,0.5,0.5,,0.0,8.9,5.1,7.1,17.1,0.0,0.0,0.0,10.4,129,112,1.0,
198510250ATL,ATL,game,False,Scott Hastings,hastisc01,23:00,0.286,0.286,,0.0,9.3,16.1,12.4,5.7,4.4,0.0,12.5,14.4,72,101,-1.9,
198510250ATL,ATL,game,False,Lorenzo Charles,charllo01,10:00,0.667,0.667,,0.0,0.0,12.3,5.7,0.0,0.0,0.0,0.0,12.4,138,111,1.1,
198510250ATL,ATL,game,False,Sedric Toney,toneyse01,10:00,0.0,0.0,,0.0,0.0,24.6,11.4,0.0,0.0,0.0,50.0,24.8,0,107,-36.0,
