Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Williamson,willijo01,197510260NYA,NYA,game,True,39:00,11,17,.647,0,,,5,5,1.000,,,2,4,,,,1,27,
Al Skinner,skinnal01,197510260NYA,NYA,game,True,30:00,2,6,.333,0,,,3,6,.500,,,3,4,,,,4,7,
Rich Jones,jonesri01,197510260NYA,NYA,game,True,26:00,2,7,.286,0,,,0,0,,,,5,1,,,,5,4,
Swen Nater,natersw01,197510260NYA,NYA,game,True,25:00,6,10,.600,0,,,1,2,.500,,,15,1,,,,2,13,
Brian Taylor,taylobr01,197510260NYA,NYA,game,False,27:00,4,11,.364,0,,,4,4,1.000,,,2,4,,,,2,12,
Tim Bassett,basseti01,197510260NYA,NYA,game,False,25:00,5,7,.714,0,,,5,7,.714,,,11,1,,,,5,15,
Kim Hughes,hugheki01,197510260NYA,NYA,game,False,23:00,4,9,.444,0,,,2,2,1.000,,,8,1,,,,4,10,
Caldwell Jones,jonesca01,197510260SSL,SDS,game,True,47:00,10,20,.500,0,0,,3,3,1.000,4,12,16,1,3,5,5,5,23,
Pat McFarland,mcfarpa01,197510260SSL,SDS,game,True,46:00,6,16,.375,0,0,,0,0,,6,6,12,7,4,0,3,2,12,
Bo Lamar,lamarbo01,197510260SSL,SDS,game,True,34:00,6,21,.286,0,1,.000,4,5,.800,2,1,3,7,2,0,3,1,16,
Mark Olberding,olberma01,197510260SSL,SDS,game,True,27:00,4,6,.667,0,0,,1,1,1.000,1,5,6,1,0,0,5,6,9,
Joby Wright,wrighjo01,197510260SSL,SDS,game,True,27:00,4,9,.444,0,0,,1,2,.500,2,3,5,0,2,2,5,5,9,
Bob Warren,warrebo01,197510260SSL,SDS,game,False,24:00,4,8,.500,0,1,.000,0,0,,3,3,6,4,1,0,0,2,8,
Stew Johnson,johnsst01,197510260SSL,SDS,game,False,18:00,3,10,.300,0,0,,0,0,,1,1,2,1,1,0,2,3,6,
Dave Robisch,robisda01,197510260SSL,SDS,game,False,17:00,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,0,0,2,
Maurice Lucas,lucasma01,197510260SSL,SSL,game,True,48:00,12,19,.632,0,0,,1,2,.500,2,9,11,4,1,0,1,4,25,
Don Adams,adamsdo01,197510260SSL,SSL,game,True,43:00,6,19,.316,0,0,,6,7,.857,3,7,10,5,3,1,4,5,18,
Don Chaney,chanedo01,197510260SSL,SSL,game,True,42:00,4,14,.286,0,0,,6,8,.750,6,2,8,3,2,2,2,3,14,
Freddie Lewis,lewisfr02,197510260SSL,SSL,game,True,38:00,4,11,.364,0,1,.000,3,4,.750,2,11,13,7,3,0,5,2,11,
Gus Gerard,gerargu01,197510260SSL,SSL,game,True,37:00,10,23,.435,0,0,,1,1,1.000,3,6,9,2,3,1,1,3,21,
Mike Barr,barrmi01,197510260SSL,SSL,game,False,16:00,3,5,.600,0,0,,2,2,1.000,2,1,3,2,0,1,3,3,8,
