Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
199111010BOS,CHH,game,True,Johnny Newman,newmajo01,34:00,4,10,0.4,1,1,1.0,5,6,0.833,2,3,5,4,3,0,0,6,14,,
199111010BOS,CHH,game,True,J.R. Reid,reidjr01,32:00,4,9,0.444,0,0,,5,8,0.625,0,5,5,2,1,1,2,3,13,,
199111010BOS,CHH,game,True,Kendall Gill,gillke01,30:00,6,10,0.6,0,0,,6,8,0.75,0,0,0,2,1,0,1,4,18,,
199111010BOS,CHH,game,True,Larry Johnson,johnsla02,26:00,4,8,0.5,0,0,,6,6,1.0,0,3,3,2,0,2,1,4,14,,
199111010BOS,CHH,game,True,Rex Chapman,chapmre01,24:00,5,14,0.357,0,3,0.0,1,3,0.333,1,2,3,3,0,1,1,2,11,,
199111010BOS,CHH,game,False,Dell Curry,curryde01,29:00,8,14,0.571,0,0,,5,6,0.833,3,2,5,1,1,1,3,2,21,,
199111010BOS,CHH,game,False,Muggsy Bogues,boguemu01,28:00,3,6,0.5,1,1,1.0,2,4,0.5,0,3,3,3,1,0,1,2,9,,
199111010BOS,CHH,game,False,Kenny Gattison,gattike01,27:00,2,9,0.222,0,0,,2,4,0.5,3,15,18,2,1,0,1,2,6,,
199111010BOS,CHH,game,False,Eric Leckner,leckner01,6:00,1,4,0.25,0,0,,0,0,,2,0,2,0,0,0,1,0,2,,
199111010BOS,CHH,game,False,Greg Grant,grantgr01,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,,
199111010BOS,CHH,game,False,Anthony Frederick,fredean01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,
199111010BOS,BOS,game,True,Larry Bird,birdla01,39:00,7,20,0.35,0,1,0.0,9,9,1.0,0,7,7,6,0,2,3,5,23,,
199111010BOS,BOS,game,True,Reggie Lewis,lewisre01,38:00,6,12,0.5,0,0,,6,9,0.667,1,5,6,4,2,1,2,5,18,,
199111010BOS,BOS,game,True,John Bagley,baglejo01,36:00,3,7,0.429,0,0,,2,2,1.0,0,0,0,10,1,0,4,2,8,,
199111010BOS,BOS,game,True,Robert Parish,parisro01,31:00,6,15,0.4,0,0,,1,1,1.0,4,10,14,0,2,2,0,2,13,,
199111010BOS,BOS,game,True,Rick Fox,foxri01,21:00,4,8,0.5,0,0,,5,7,0.714,1,1,2,1,2,0,2,5,13,,
199111010BOS,BOS,game,False,Kevin Gamble,gamblke01,23:00,5,8,0.625,0,0,,1,3,0.333,0,0,0,4,0,1,0,1,11,,
199111010BOS,BOS,game,False,Ed Pinckney,pincked01,18:00,6,7,0.857,0,0,,0,0,,1,7,8,1,0,0,0,2,12,,
199111010BOS,BOS,game,False,Kevin McHale,mchalke01,14:00,4,6,0.667,0,1,0.0,1,2,0.5,2,1,3,1,1,0,1,1,9,,
199111010BOS,BOS,game,False,Kevin Pritchard,pritcke01,14:00,1,4,0.25,0,1,0.0,0,0,,0,2,2,1,0,1,0,3,2,,
199111010BOS,BOS,game,False,Larry Robinson,robinla01,6:00,1,5,0.2,0,0,,0,0,,2,0,2,1,0,0,1,3,2,,
199111010CHI,PHI,game,True,Charles Barkley,barklch01,32:00,9,12,0.75,0,1,0.0,0,0,,2,8,10,1,0,0,2,0,18,,
199111010CHI,PHI,game,True,Ron Anderson,anderro01,31:00,7,14,0.5,0,3,0.0,1,1,1.0,1,2,3,2,1,0,1,2,15,,
199111010CHI,PHI,game,True,Johnny Dawkins,dawkijo01,31:00,2,9,0.222,0,0,,1,2,0.5,0,3,3,10,0,0,4,2,5,,
199111010CHI,PHI,game,True,Hersey Hawkins,hawkihe01,28:00,1,8,0.125,0,3,0.0,0,0,,1,2,3,5,2,1,2,4,2,,
199111010CHI,PHI,game,True,Armen Gilliam,gilliar01,27:00,6,8,0.75,0,0,,3,5,0.6,2,2,4,1,1,1,2,0,15,,
199111010CHI,PHI,game,False,Jayson Williams,willija01,32:00,5,12,0.417,0,0,,0,0,,1,5,6,1,2,1,1,4,10,,
199111010CHI,PHI,game,False,Kenny Payne,payneke01,17:00,3,6,0.5,0,0,,2,2,1.0,0,3,3,1,0,1,1,2,8,,
199111010CHI,PHI,game,False,Tharon Mayes,mayesth01,17:00,2,8,0.25,0,1,0.0,3,3,1.0,0,1,1,3,1,1,2,4,7,,
199111010CHI,PHI,game,False,Mitchell Wiggins,wiggimi01,13:00,1,4,0.25,0,1,0.0,1,2,0.5,0,0,0,1,3,0,1,0,3,,
199111010CHI,PHI,game,False,Brian Oliver,olivebr01,7:00,1,3,0.333,0,0,,0,1,0.0,1,0,1,0,0,0,1,0,2,,
199111010CHI,PHI,game,False,Dave Hoppen,hoppeda01,5:00,2,2,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,5,,
199111010CHI,CHI,game,True,Scottie Pippen,pippesc01,37:00,9,15,0.6,0,2,0.0,5,5,1.0,1,7,8,6,4,0,6,3,23,,
199111010CHI,CHI,game,True,Michael Jordan,jordami01,30:00,11,18,0.611,0,3,0.0,4,6,0.667,1,4,5,4,3,1,2,2,26,,
199111010CHI,CHI,game,True,Horace Grant,grantho01,27:00,7,8,0.875,0,0,,1,1,1.0,3,4,7,2,1,1,1,4,15,,
