Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kiki Vandeweghe,vandeki01,198304190PHO,DEN,game,True,46:00,.739,.684,.053,.316,0.0,8.9,4.8,10.6,1.0,1.0,4.4,19.3,151,115,
Alex English,englial01,198304190PHO,DEN,game,True,38:00,.388,.278,.056,.333,3.2,10.8,7.3,13.8,1.2,1.2,25.3,28.5,72,114,
T.R. Dunn,dunntr01,198304190PHO,DEN,game,True,37:00,.333,.333,.000,.000,16.2,19.3,17.9,3.2,3.7,0.0,25.0,8.5,84,107,
Dan Issel,isselda01,198304190PHO,DEN,game,True,31:00,.633,.611,.000,.222,3.9,19.8,12.5,11.9,0.0,0.0,16.8,30.0,111,114,
Mike Evans,evansmi01,198304190PHO,DEN,game,True,24:00,.457,.357,.286,.571,0.0,0.0,0.0,20.5,0.0,0.0,31.3,20.8,79,121,
Danny Schayes,schayda01,198304190PHO,DEN,game,False,24:00,.571,.571,.000,.000,10.0,12.8,11.5,5.7,0.0,0.0,12.5,13.1,115,117,
Billy McKinney,mckinbi01,198304190PHO,DEN,game,False,22:00,.619,.625,.000,.250,10.9,0.0,5.0,0.0,0.0,0.0,25.3,21.1,97,121,
Bill Hanzlik,hanzlbi01,198304190PHO,DEN,game,False,18:00,.291,.167,.167,.333,6.7,22.7,15.3,13.2,2.5,0.0,12.7,17.1,77,108,
Maurice Lucas,lucasma01,198304190PHO,PHO,game,True,40:00,.535,.533,.000,.133,10.2,6.0,8.3,14.2,2.3,0.0,11.2,16.8,118,108,
Larry Nance,nancela01,198304190PHO,PHO,game,True,35:00,.576,.538,.000,.154,8.8,13.7,11.0,3.2,3.9,4.9,22.4,19.2,101,99,
Dennis Johnson,johnsde01,198304190PHO,PHO,game,True,34:00,.704,.684,.000,.105,12.0,28.2,19.5,33.6,5.3,0.0,20.1,27.5,125,96,
Walter Davis,daviswa03,198304190PHO,PHO,game,True,33:00,.393,.364,.000,.091,3.1,10.9,6.7,7.2,4.1,5.2,11.6,29.5,87,99,
Alvan Adams,adamsal01,198304190PHO,PHO,game,True,28:00,.652,.571,.000,.714,0.0,21.4,9.9,7.6,1.6,4.1,9.8,13.7,133,102,
James Edwards,edwarja01,198304190PHO,PHO,game,False,20:00,.543,.500,.000,.167,20.4,18.0,19.3,6.4,2.3,2.9,7.2,26.1,124,103,
Kyle Macy,macyky01,198304190PHO,PHO,game,False,15:00,.450,.375,.000,.250,0.0,8.0,3.7,30.2,3.0,0.0,10.1,24.7,109,106,
Alvin Scott,scottal01,198304190PHO,PHO,game,False,15:00,.333,.333,.000,.000,6.8,8.0,7.4,6.6,0.0,3.8,0.0,7.5,108,109,
Johnny High,highjo01,198304190PHO,PHO,game,False,14:00,.820,1.000,.000,.500,14.6,8.6,11.8,30.4,6.5,0.0,0.0,6.5,176,98,
Rory White,whitero01,198304190PHO,PHO,game,False,6:00,.532,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,141,114,
