Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,TS%,eFG%,3PAr%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Reason
199111010BOS,CHH,game,True,Johnny Newman,newmajo01,34:00,0.554,0.45,,0.6,6.4,9.6,8.0,18.0,4.1,0.0,0.0,15.4,133,104,5.1,
199111010BOS,CHH,game,True,J.R. Reid,reidjr01,32:00,0.519,0.444,,0.889,0.0,17.0,8.5,9.7,1.5,1.7,13.8,18.8,98,107,-1.3,
199111010BOS,CHH,game,True,Kendall Gill,gillke01,30:00,0.666,0.6,,0.8,0.0,0.0,0.0,11.7,1.5,0.0,6.9,20.1,131,112,2.1,
199111010BOS,CHH,game,True,Larry Johnson,johnsla02,26:00,0.658,0.5,,0.75,0.0,12.6,6.3,12.5,0.0,4.1,8.6,18.6,132,108,3.6,
199111010BOS,CHH,game,True,Rex Chapman,chapmre01,24:00,0.359,0.357,,0.214,4.5,9.1,6.8,22.2,0.0,2.2,6.1,28.2,82,111,-5.8,
199111010BOS,CHH,game,False,Dell Curry,curryde01,29:00,0.631,0.571,,0.429,11.3,7.5,9.4,7.0,1.6,1.9,15.3,28.1,114,108,4.4,
199111010BOS,CHH,game,False,Muggsy Bogues,boguemu01,28:00,0.58,0.583,,0.667,0.0,11.7,5.8,16.1,1.7,0.0,11.4,13.0,113,109,-1.4,
199111010BOS,CHH,game,False,Kenny Gattison,gattike01,27:00,0.279,0.222,,0.444,12.1,60.6,36.4,10.6,1.7,0.0,8.5,18.1,77,98,-3.4,
199111010BOS,CHH,game,False,Eric Leckner,leckner01,6:00,0.25,0.25,,0.0,36.4,0.0,18.2,0.0,0.0,0.0,20.0,34.5,65,115,-20.9,
199111010BOS,CHH,game,False,Greg Grant,grantgr01,3:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13.8,0,115,-22.0,
199111010BOS,CHH,game,False,Anthony Frederick,fredean01,1:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,115,-6.2,
199111010BOS,BOS,game,True,Larry Bird,birdla01,39:00,0.48,0.35,,0.45,0.0,19.6,9.8,21.5,0.0,3.1,11.1,27.8,99,106,0.1,
199111010BOS,BOS,game,True,Reggie Lewis,lewisre01,38:00,0.564,0.5,,0.75,2.9,14.4,8.6,14.3,2.4,1.6,11.1,19.0,111,104,2.5,
199111010BOS,BOS,game,True,John Bagley,baglejo01,36:00,0.508,0.429,,0.286,0.0,0.0,0.0,34.2,1.3,0.0,33.7,13.3,91,111,-4.3,
199111010BOS,BOS,game,True,Robert Parish,parisro01,31:00,0.421,0.4,,0.067,14.1,35.2,24.6,0.0,3.0,3.9,0.0,20.0,100,95,1.0,
199111010BOS,BOS,game,True,Rick Fox,foxri01,21:00,0.587,0.5,,0.875,5.2,5.2,5.2,6.8,4.4,0.0,15.3,25.0,106,103,-0.1,
199111010BOS,BOS,game,False,Kevin Gamble,gamblke01,23:00,0.59,0.625,,0.375,0.0,0.0,0.0,25.6,0.0,2.6,0.0,16.3,127,112,5.5,
199111010BOS,BOS,game,False,Ed Pinckney,pincked01,18:00,0.857,0.857,,0.0,6.1,42.4,24.2,9.9,0.0,0.0,0.0,15.6,169,103,11.2,
199111010BOS,BOS,game,False,Kevin McHale,mchalke01,14:00,0.654,0.667,,0.333,15.6,7.8,11.7,11.7,3.3,0.0,12.7,22.6,119,105,6.7,
199111010BOS,BOS,game,False,Kevin Pritchard,pritcke01,14:00,0.25,0.25,,0.0,0.0,15.6,7.8,8.7,0.0,4.3,0.0,11.5,66,106,-8.7,
199111010BOS,BOS,game,False,Larry Robinson,robinla01,6:00,0.2,0.2,,0.0,36.4,0.0,18.2,22.9,0.0,0.0,16.7,40.2,62,112,-25.9,
199111010CHI,PHI,game,True,Charles Barkley,barklch01,32:00,0.75,0.75,,0.0,7.0,30.8,18.3,5.9,0.0,0.0,14.3,18.9,122,112,3.2,
199111010CHI,PHI,game,True,Ron Anderson,anderro01,31:00,0.519,0.5,,0.071,3.6,7.9,5.7,11.0,1.6,0.0,6.5,21.6,101,114,-0.9,
199111010CHI,PHI,game,True,Johnny Dawkins,dawkijo01,31:00,0.253,0.222,,0.222,0.0,11.9,5.7,43.1,0.0,0.0,28.8,19.4,63,116,-11.4,
199111010CHI,PHI,game,True,Hersey Hawkins,hawkihe01,28:00,0.125,0.125,,0.0,4.0,8.8,6.3,23.0,3.4,2.0,20.0,15.5,48,108,-8.0,
199111010CHI,PHI,game,True,Armen Gilliam,gilliar01,27:00,0.735,0.75,,0.625,8.3,9.1,8.7,6.3,1.8,2.1,16.4,19.6,121,111,5.3,
199111010CHI,PHI,game,False,Jayson Williams,willija01,32:00,0.417,0.417,,0.0,3.5,19.2,11.0,4.8,3.0,1.8,7.7,17.6,82,107,-3.2,
199111010CHI,PHI,game,False,Tharon Mayes,mayesth01,17:00,0.376,0.25,,0.375,0.0,7.2,3.4,25.4,2.8,3.4,17.7,28.8,74,108,-6.4,
199111010CHI,PHI,game,False,Kenny Payne,payneke01,17:00,0.581,0.5,,0.333,0.0,21.7,10.3,9.2,0.0,3.4,12.7,20.1,104,111,-0.2,
199111010CHI,PHI,game,False,Mitchell Wiggins,wiggimi01,13:00,0.307,0.25,,0.5,0.0,0.0,0.0,10.5,11.1,0.0,17.0,19.6,59,96,2.1,
199111010CHI,PHI,game,False,Brian Oliver,olivebr01,7:00,0.291,0.333,,0.333,15.9,0.0,8.4,0.0,0.0,0.0,22.5,27.4,55,119,-16.0,
199111010CHI,PHI,game,False,Dave Hoppen,hoppeda01,5:00,0.868,1.0,,1.0,0.0,24.6,11.7,0.0,0.0,0.0,0.0,24.9,166,113,16.0,
199111010CHI,CHI,game,True,Scottie Pippen,pippesc01,37:00,0.669,0.6,,0.333,3.3,21.1,12.7,20.9,5.2,0.0,25.9,26.6,105,85,4.8,
199111010CHI,CHI,game,True,Michael Jordan,jordami01,30:00,0.63,0.611,,0.333,4.1,14.9,9.8,20.4,4.8,2.1,8.8,32.0,120,85,12.0,
199111010CHI,CHI,game,True,Horace Grant,grantho01,27:00,0.889,0.875,,0.125,13.7,16.5,15.2,9.7,1.8,2.3,10.6,14.8,158,90,8.0,
199111010CHI,CHI,game,True,Bill Cartwright,cartwbi01,25:00,0.286,0.286,,0.0,0.0,26.8,14.0,8.5,0.0,2.5,12.5,13.6,66,92,-6.8,
199111010CHI,CHI,game,True,John Paxson,paxsojo01,24:00,0.429,0.429,,0.0,0.0,9.3,4.9,41.9,2.0,0.0,0.0,12.4,128,93,5.5,
199111010CHI,CHI,game,False,B.J. Armstrong,armstbj01,24:00,0.556,0.556,,0.0,5.1,4.7,4.9,15.4,0.0,0.0,0.0,15.9,127,98,-1.3,
199111010CHI,CHI,game,False,Stacey King,kingst01,23:00,0.375,0.375,,0.0,5.4,24.3,15.3,9.8,2.1,0.0,33.3,22.1,61,90,-12.3,
199111010CHI,CHI,game,False,Craig Hodges,hodgecr01,15:00,0.727,0.667,,0.333,0.0,0.0,0.0,26.5,0.0,0.0,0.0,19.5,158,99,7.9,
199111010CHI,CHI,game,False,Cliff Levingston,levincl01,15:00,0.667,0.667,,0.0,24.6,14.9,19.5,37.6,0.0,4.2,25.0,11.3,138,91,9.9,
199111010CHI,CHI,game,False,Will Perdue,perduwi01,10:00,0.333,0.333,,0.0,24.6,33.5,29.3,12.2,0.0,6.2,0.0,25.5,97,87,-1.8,
199111010CHI,CHI,game,False,Dennis Hopson,hopsode01,5:00,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,17.0,103,79,2.1,
199111010CHI,CHI,game,False,Mark Randall,randama01,5:00,0.0,0.0,,0.0,0.0,22.3,11.7,19.6,0.0,0.0,33.3,25.5,20,95,-22.7,
199111010DEN,GSW,game,True,Chris Mullin,mullich01,38:00,0.424,0.444,,0.111,5.7,4.7,5.2,8.2,2.5,0.0,5.0,22.1,94,106,-1.7,
199111010DEN,GSW,game,True,Šarūnas Marčiulionis,marcisa01,37:00,0.482,0.364,,0.727,8.8,7.2,7.9,25.4,1.3,0.0,12.1,18.9,112,107,2.1,
199111010DEN,GSW,game,True,Tim Hardaway,hardati01,34:00,0.709,0.667,,0.4,3.2,5.2,4.3,15.0,2.8,0.0,10.2,24.5,137,105,9.7,
199111010DEN,GSW,game,True,Tyrone Hill,hillty01,21:00,0.417,0.4,,1.0,0.0,21.2,11.7,0.0,0.0,0.0,21.7,18.5,68,102,-9.9,
199111010DEN,GSW,game,True,Alton Lister,listeal01,20:00,0.507,0.5,,0.25,10.9,13.3,12.2,0.0,0.0,2.6,18.4,23.0,93,105,-6.7,
199111010DEN,GSW,game,False,Vincent Askew,askewvi01,26:00,0.888,0.8,,0.8,0.0,3.4,1.9,0.0,3.6,0.0,0.0,11.0,187,104,6.4,
199111010DEN,GSW,game,False,Rod Higgins,higgiro01,24:00,0.627,0.591,,0.364,4.5,18.5,12.2,0.0,2.0,0.0,13.6,26.0,114,99,1.5,
199111010DEN,GSW,game,False,Mario Elie,eliema01,20:00,0.512,0.5,,0.5,5.5,31.1,19.6,6.6,0.0,0.0,0.0,10.3,123,97,-0.5,
199111010DEN,GSW,game,False,Victor Alexander,alexavi01,9:00,0.387,0.333,,0.667,12.1,9.9,10.9,0.0,0.0,0.0,20.5,23.0,76,108,-11.8,
199111010DEN,GSW,game,False,Tom Tolbert,tolbeto01,9:00,0.333,0.333,,0.0,0.0,29.6,16.3,0.0,0.0,5.9,40.0,23.5,40,94,-15.8,
