Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Chris Mullin,mullich01,199211060UTA,GSW,game,True,42:00,.697,.625,.063,.375,3.2,17.6,10.7,8.7,1.2,5.8,5.1,19.9,147,113,9.0
Billy Owens,owensbi01,199211060UTA,GSW,game,True,40:00,.714,.737,.000,.158,10.0,30.8,20.8,3.5,0.0,0.0,4.7,22.7,144,116,3.6
Tim Hardaway,hardati01,199211060UTA,GSW,game,True,35:00,.478,.447,.211,.105,3.8,0.0,1.8,30.8,1.4,1.7,26.0,32.8,92,120,-6.9
Latrell Sprewell,sprewla01,199211060UTA,GSW,game,True,29:00,.638,.600,.000,.400,13.8,0.0,6.6,0.0,3.3,2.1,7.8,18.8,133,115,2.8
Tyrone Hill,hillty01,199211060UTA,GSW,game,True,25:00,.820,.750,.000,.500,5.3,19.7,12.8,4.2,1.9,2.4,17.0,10.0,146,113,1.2
Jeff Grayer,grayeje01,199211060UTA,GSW,game,False,25:00,.615,.625,.000,.500,5.3,4.9,5.1,9.3,1.9,2.4,0.0,16.7,140,117,4.2
Keith Jennings,jennike01,199211060UTA,GSW,game,False,15:00,1.078,1.000,.000,3.000,0.0,8.2,4.3,35.9,0.0,0.0,17.7,16.0,186,121,9.3
Byron Houston,houstby01,199211060UTA,GSW,game,False,9:00,.727,.667,.000,.333,14.8,41.0,28.4,0.0,10.7,0.0,0.0,16.3,163,91,6.6
Jud Buechler,buechju01,199211060UTA,GSW,game,False,7:00,.000,.000,.500,.000,0.0,17.6,9.1,13.4,0.0,0.0,0.0,12.2,37,120,-11.3
Chris Gatling,gatlich01,199211060UTA,GSW,game,False,7:00,.862,1.000,.000,3.000,0.0,17.6,9.1,0.0,0.0,8.7,30.1,20.2,115,112,-4.3
Victor Alexander,alexavi01,199211060UTA,GSW,game,False,6:00,.266,.000,.000,2.000,22.2,0.0,10.7,0.0,8.1,0.0,0.0,13.4,97,107,-7.6
Jeff Malone,malonje01,199211060UTA,UTA,game,True,38:00,.520,.500,.000,.278,3.2,3.5,3.4,4.1,2.5,0.0,12.9,25.6,97,131,-5.2
Karl Malone,malonka01,199211060UTA,UTA,game,True,38:00,.749,.667,.000,1.067,9.7,14.0,11.8,12.9,1.3,1.6,12.0,27.6,141,130,8.7
