Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ken Norman,normake01,198811040PHI,LAC,game,True,40:00,9,19,.474,0,0,,4,6,.667,9,6,15,2,4,1,2,3,22,
Benoit Benjamin,benjabe01,198811040PHI,LAC,game,True,36:00,6,12,.500,0,0,,9,12,.750,3,4,7,1,0,1,1,4,21,
Norm Nixon,nixonno01,198811040PHI,LAC,game,True,29:00,3,11,.273,0,0,,2,2,1.000,0,1,1,11,4,0,1,2,8,
Charles Smith,smithch01,198811040PHI,LAC,game,True,25:00,6,7,.857,0,0,,3,5,.600,2,5,7,0,1,2,4,4,15,
Reggie Williams,willire01,198811040PHI,LAC,game,True,21:00,5,11,.455,0,1,.000,4,5,.800,1,1,2,2,2,0,1,3,14,
Greg Kite,kitegr01,198811040PHI,LAC,game,False,20:00,1,3,.333,0,0,,0,0,,2,2,4,0,0,1,3,4,2,
Gary Grant,grantga01,198811040PHI,LAC,game,False,19:00,3,6,.500,0,0,,2,4,.500,1,1,2,3,1,0,8,2,8,
Joe Wolf,wolfjo01,198811040PHI,LAC,game,False,19:00,3,8,.375,0,0,,2,2,1.000,1,2,3,0,1,0,0,2,8,
Grant Gondrezick,gondrgr01,198811040PHI,LAC,game,False,17:00,3,8,.375,0,0,,1,3,.333,1,2,3,2,0,0,1,1,7,
Quintin Dailey,dailequ01,198811040PHI,LAC,game,False,8:00,1,1,1.000,0,0,,3,4,.750,0,0,0,1,0,0,2,0,5,
Tom Garrick,garrito01,198811040PHI,LAC,game,False,4:00,0,0,,0,0,,0,0,,0,0,0,1,2,0,2,0,0,
Dave Popson,popsoda01,198811040PHI,LAC,game,False,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Hersey Hawkins,hawkihe01,198811040PHI,PHI,game,True,39:00,7,13,.538,0,0,,6,6,1.000,1,4,5,8,4,0,4,3,20,
Charles Barkley,barklch01,198811040PHI,PHI,game,True,36:00,10,18,.556,0,1,.000,13,16,.813,5,4,9,3,2,0,4,2,33,
Maurice Cheeks,cheekma01,198811040PHI,PHI,game,True,34:00,5,10,.500,0,1,.000,0,0,,0,0,0,11,5,0,3,3,10,
Cliff Robinson,robincl01,198811040PHI,PHI,game,True,31:00,7,12,.583,0,0,,2,4,.500,3,4,7,1,2,0,3,4,16,
Mike Gminski,gminsmi01,198811040PHI,PHI,game,True,30:00,7,14,.500,0,0,,2,2,1.000,6,6,12,2,2,3,4,2,16,
Chris Welp,welpch01,198811040PHI,PHI,game,False,18:00,1,4,.250,0,0,,1,2,.500,1,1,2,0,0,1,3,4,3,
Ron Anderson,anderro01,198811040PHI,PHI,game,False,15:00,6,9,.667,0,0,,0,0,,1,1,2,1,1,0,0,4,12,
Ben Coleman,colembe01,198811040PHI,PHI,game,False,14:00,4,8,.500,0,0,,0,1,.000,1,3,4,0,0,0,1,3,8,
Scott Brooks,brooksc01,198811040PHI,PHI,game,False,12:00,0,1,.000,0,0,,3,4,.750,1,3,4,5,0,0,1,3,3,
Gerald Henderson,hendege01,198811040PHI,PHI,game,False,11:00,3,5,.600,1,1,1.000,1,2,.500,1,0,1,3,1,0,2,3,8,
Tom Chambers,chambto01,198811040POR,PHO,game,True,39:00,11,22,.500,0,0,,3,3,1.000,1,7,8,1,0,2,4,3,25,
Kevin Johnson,johnske02,198811040POR,PHO,game,True,34:00,4,13,.308,0,0,,1,1,1.000,0,3,3,13,0,0,3,3,9,
Armen Gilliam,gilliar01,198811040POR,PHO,game,True,29:00,6,14,.429,0,0,,1,3,.333,1,7,8,0,0,0,2,4,13,
Mark West,westma01,198811040POR,PHO,game,True,27:00,3,5,.600,0,0,,1,2,.500,5,3,8,0,2,0,3,6,7,
Dan Majerle,majerda01,198811040POR,PHO,game,True,23:00,2,9,.222,0,0,,8,10,.800,3,1,4,1,1,0,0,1,12,
Eddie Johnson,johnsed03,198811040POR,PHO,game,False,21:00,2,11,.182,0,1,.000,6,6,1.000,0,3,3,1,1,0,2,1,10,
Tyrone Corbin,corbity01,198811040POR,PHO,game,False,18:00,1,3,.333,0,0,,2,2,1.000,0,1,1,1,1,0,1,4,4,
Jeff Hornacek,hornaje01,198811040POR,PHO,game,False,17:00,2,6,.333,0,2,.000,3,4,.750,0,2,2,2,0,0,0,0,7,
Tim Perry,perryti01,198811040POR,PHO,game,False,13:00,4,5,.800,0,0,,2,6,.333,4,0,4,0,1,0,3,1,10,
Craig Hodges,hodgecr01,198811040POR,PHO,game,False,11:00,2,5,.400,0,3,.000,0,0,,0,1,1,0,0,0,0,2,4,
Andrew Lang,langan01,198811040POR,PHO,game,False,8:00,1,2,.500,0,0,,2,4,.500,3,1,4,0,0,0,0,3,4,
Terry Porter,portete01,198811040POR,POR,game,True,39:00,6,14,.429,1,3,.333,2,3,.667,2,4,6,13,1,0,3,2,15,
Jerome Kersey,kerseje01,198811040POR,POR,game,True,37:00,8,17,.471,0,0,,7,9,.778,2,2,4,3,3,1,0,4,23,
Clyde Drexler,drexlcl01,198811040POR,POR,game,True,33:00,14,21,.667,0,0,,1,3,.333,2,5,7,7,1,1,0,4,29,
Kevin Duckworth,duckwke01,198811040POR,POR,game,True,19:00,5,11,.455,0,0,,4,6,.667,1,3,4,1,1,0,5,5,14,
Mark Bryant,bryanma01,198811040POR,POR,game,True,17:00,2,3,.667,0,0,,1,2,.500,2,5,7,1,1,0,2,4,5,
Steve Johnson,johnsst03,198811040POR,POR,game,False,26:00,8,8,1.000,0,0,,3,9,.333,2,7,9,1,1,2,1,3,19,
Richard Anderson,anderri01,198811040POR,POR,game,False,20:00,2,3,.667,0,0,,0,0,,0,3,3,2,1,0,1,2,4,
Caldwell Jones,jonesca01,198811040POR,POR,game,False,19:00,1,3,.333,0,0,,0,0,,0,5,5,0,0,1,1,4,2,
Craig Neal,nealcr01,198811040POR,POR,game,False,14:00,1,2,.500,1,1,1.000,0,0,,0,2,2,3,0,0,5,4,3,
Danny Young,youngda01,198811040POR,POR,game,False,10:00,2,3,.667,0,0,,1,2,.500,0,2,2,2,1,0,1,1,5,
Rolando Ferreira,ferrero01,198811040POR,POR,game,False,4:00,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,2,4,1,
Adrian Branch,brancad01,198811040POR,POR,game,False,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Dale Ellis,ellisda01,198811040UTA,SEA,game,True,37:00,14,23,.609,1,5,.200,17,19,.895,3,2,5,1,3,0,1,3,46,
Michael Cage,cagemi01,198811040UTA,SEA,game,True,37:00,2,4,.500,0,0,,6,8,.750,5,12,17,1,2,1,2,2,10,
Derrick McKey,mckeyde01,198811040UTA,SEA,game,True,31:00,3,9,.333,0,0,,2,4,.500,3,2,5,3,3,0,3,5,8,
Nate McMillan,mcmilna01,198811040UTA,SEA,game,True,25:00,2,4,.500,0,0,,1,2,.500,0,1,1,5,1,1,5,4,5,
Alton Lister,listeal01,198811040UTA,SEA,game,True,24:00,2,6,.333,0,0,,1,2,.500,2,4,6,1,2,1,1,5,5,
Xavier McDaniel,mcdanxa01,198811040UTA,SEA,game,False,26:00,5,17,.294,0,0,,0,0,,1,4,5,3,2,2,4,3,10,
John Lucas,lucasjo01,198811040UTA,SEA,game,False,21:00,1,4,.250,0,1,.000,0,0,,0,2,2,6,0,0,0,2,2,
Russ Schoene,schoeru01,198811040UTA,SEA,game,False,19:00,3,7,.429,2,5,.400,0,0,,0,3,3,1,1,2,1,5,8,
Sedale Threatt,threase01,198811040UTA,SEA,game,False,15:00,4,7,.571,0,2,.000,0,0,,0,1,1,1,1,0,1,2,8,
Olden Polynice,polynol01,198811040UTA,SEA,game,False,5:00,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,
John Stockton,stockjo01,198811040UTA,UTA,game,True,46:00,4,11,.364,0,1,.000,5,8,.625,0,2,2,14,0,0,9,2,13,
Karl Malone,malonka01,198811040UTA,UTA,game,True,45:00,11,25,.440,0,0,,14,19,.737,5,5,10,2,3,0,3,4,36,
Thurl Bailey,baileth01,198811040UTA,UTA,game,True,43:00,8,13,.615,0,0,,10,12,.833,0,7,7,1,1,3,4,3,26,
Darrell Griffith,griffda01,198811040UTA,UTA,game,True,39:00,6,18,.333,1,5,.200,2,2,1.000,3,3,6,2,1,0,0,2,15,
Mark Eaton,eatonma01,198811040UTA,UTA,game,True,36:00,0,3,.000,0,0,,0,0,,2,5,7,0,1,3,2,4,0,
Eric Leckner,leckner01,198811040UTA,UTA,game,False,11:00,2,2,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,2,5,
