Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
197310100SAA,SDA,game,,Stew Johnson,johnsst01,,16.0,,,5.0,,,1.0,1.0,1.0,,,,,,,,,38.0,,
197310100SAA,SDA,game,,Bo Lamar,lamarbo01,,10.0,,,2.0,,,8.0,9.0,0.889,,,,,,,,,30.0,,
197310100SAA,SDA,game,,Red Robbins,robbire01,,7.0,,,0.0,,,0.0,0.0,,,,,,,,,,14.0,,
197310100SAA,SDA,game,,Caldwell Jones,jonesca01,,5.0,,,0.0,,,2.0,2.0,1.0,,,,,,,,,12.0,,
197310100SAA,SDA,game,,Chuck Williams,willich02,,3.0,,,0.0,,,4.0,8.0,0.5,,,,,,,,,10.0,,
197310100SAA,SDA,game,,Billy Shepherd,shephbi01,,2.0,,,1.0,,,0.0,0.0,,,,,,,,,,5.0,,
197310100SAA,SDA,game,,George Adams,adamsge01,,2.0,,,0.0,,,0.0,0.0,,,,,,,,,,4.0,,
197310100SAA,SDA,game,,Gene Moore,moorege01,,2.0,,,0.0,,,0.0,0.0,,,,,,,,,,4.0,,
197310100SAA,SDA,game,,Tim Bassett,basseti01,,1.0,,,0.0,,,0.0,0.0,,,,,,,,,,2.0,,
197310100SAA,SDA,game,,Jerry Pender,pendeje01,,1.0,,,0.0,,,0.0,0.0,,,,,,,,,,2.0,,
197310100SAA,SDA,game,,Larry Miller,millela01,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,,
197310100SAA,SAA,game,,Rich Jones,jonesri01,,11.0,,,0.0,,,3.0,4.0,0.75,,,,,,,,,25.0,,
197310100SAA,SAA,game,,Joe Hamilton,hamiljo01,,8.0,,,0.0,,,4.0,5.0,0.8,,,,,,,,,20.0,,
197310100SAA,SAA,game,,Bob Netolicky,netolbo01,,8.0,,,0.0,,,1.0,3.0,0.333,,,,,,,,,17.0,,
197310100SAA,SAA,game,,James Silas,silasja01,,6.0,,,0.0,,,2.0,3.0,0.667,,,,,,,,,14.0,,
197310100SAA,SAA,game,,Skeeter Swift,swiftsk01,,3.0,,,0.0,,,5.0,6.0,0.833,,,,,,,,,11.0,,
197310100SAA,SAA,game,,Jerry Chambers,chambje01,,3.0,,,0.0,,,3.0,4.0,0.75,,,,,,,,,9.0,,
197310100SAA,SAA,game,,Goo Kennedy,kennego01,,3.0,,,0.0,,,0.0,0.0,,,,,,,,,,6.0,,
197310100SAA,SAA,game,,Coby Dietrick,dietrco01,,1.0,,,0.0,,,0.0,0.0,,,,,,,,,,2.0,,
197310100SAA,SAA,game,,Simmie Hill,hillsi01,,0.0,,,0.0,,,2.0,3.0,0.667,,,,,,,,,2.0,,
197310100SAA,SAA,game,,Bird Averitt,averibi01,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,,
197310100UTS,MMT,game,True,Randy Denton,dentora01,39:00,5.0,12.0,0.417,0.0,,,1.0,2.0,0.5,,,13.0,3.0,,,2.0,,11.0,,
197310100UTS,MMT,game,True,Johnny Neumann,neumajo01,36:00,16.0,26.0,0.615,0.0,,,1.0,2.0,0.5,,,3.0,4.0,,,2.0,,33.0,,
197310100UTS,MMT,game,True,Wil Jones,joneswi02,34:00,8.0,15.0,0.533,0.0,,,1.0,1.0,1.0,,,6.0,0.0,,,5.0,,17.0,,
197310100UTS,MMT,game,True,Larry Finch,finchla01,34:00,4.0,11.0,0.364,0.0,,,4.0,5.0,0.8,,,3.0,4.0,,,0.0,,12.0,,
197310100UTS,MMT,game,True,Lee Davis,davisle01,23:00,2.0,4.0,0.5,0.0,,,1.0,2.0,0.5,,,4.0,0.0,,,1.0,,5.0,,
197310100UTS,MMT,game,False,Johnny Baum,baumjo01,29:00,5.0,7.0,0.714,0.0,,,1.0,2.0,0.5,,,1.0,1.0,,,1.0,,11.0,,
197310100UTS,MMT,game,False,George Thompson,thompge01,26:00,7.0,13.0,0.538,0.0,,,2.0,2.0,1.0,,,4.0,2.0,,,3.0,,16.0,,
197310100UTS,MMT,game,False,Joby Wright,wrighjo01,10:00,1.0,4.0,0.25,0.0,,,0.0,0.0,,,,6.0,0.0,,,0.0,,2.0,,
197310100UTS,MMT,game,False,Jim Ard,ardji01,7:00,1.0,2.0,0.5,0.0,,,0.0,0.0,,,,0.0,1.0,,,0.0,,2.0,,
197310100UTS,MMT,game,False,George Lehmann,lehmage01,2:00,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,,,1.0,,0.0,,
197310100UTS,UTS,game,True,Willie Wise,wisewi01,43:00,8.0,21.0,0.381,0.0,,,6.0,6.0,1.0,,,9.0,2.0,,,4.0,,22.0,,
197310100UTS,UTS,game,True,Jimmy Jones,jonesji01,42:00,10.0,18.0,0.556,0.0,,,5.0,6.0,0.833,,,2.0,4.0,,,2.0,,25.0,,
197310100UTS,UTS,game,True,Ron Boone,boonero01,41:00,7.0,11.0,0.636,0.0,,,5.0,5.0,1.0,,,5.0,8.0,,,5.0,,19.0,,
197310100UTS,UTS,game,True,Mike Jackson,jacksmi01,39:00,4.0,9.0,0.444,0.0,,,4.0,7.0,0.571,,,13.0,0.0,,,2.0,,12.0,,
197310100UTS,UTS,game,True,Gerald Govan,govange01,33:00,5.0,11.0,0.455,0.0,,,0.0,0.0,,,,8.0,0.0,,,2.0,,10.0,,
197310100UTS,UTS,game,False,Ronnie Robinson,robinro01,15:00,3.0,3.0,1.0,0.0,,,4.0,4.0,1.0,,,7.0,2.0,,,3.0,,10.0,,
197310100UTS,UTS,game,False,Bruce Seals,sealsbr01,14:00,4.0,8.0,0.5,1.0,,,2.0,3.0,0.667,,,4.0,2.0,,,0.0,,11.0,,
197310100UTS,UTS,game,False,Bob Warren,warrebo01,7:00,0.0,3.0,0.0,0.0,,,2.0,2.0,1.0,,,1.0,1.0,,,2.0,,2.0,,
197310100UTS,UTS,game,False,Glen Combs,combsgl01,6:00,0.0,2.0,0.0,0.0,,,0.0,0.0,,,,1.0,0.0,,,0.0,,0.0,,
197310100INA,NYA,game,True,Julius Erving,ervinju01,46:00,19.0,36.0,0.528,0.0,1.0,0.0,4.0,4.0,1.0,8.0,10.0,18.0,3.0,0.0,4.0,5.0,3.0,42.0,,
197310100INA,NYA,game,True,Brian Taylor,taylobr01,41:00,4.0,12.0,0.333,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,11.0,1.0,0.0,1.0,5.0,8.0,,
197310100INA,NYA,game,True,Billy Paultz,paultbi01,40:00,5.0,16.0,0.313,0.0,0.0,,0.0,0.0,,1.0,9.0,10.0,4.0,0.0,3.0,4.0,2.0,10.0,,
197310100INA,NYA,game,True,Larry Kenon,kenonla01,37:00,9.0,20.0,0.45,0.0,0.0,,0.0,6.0,0.0,6.0,5.0,11.0,0.0,0.0,0.0,2.0,1.0,18.0,,
197310100INA,NYA,game,True,Bill Melchionni,melchbi01,19:00,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,4.0,,
197310100INA,NYA,game,False,John Roche,rochejo01,30:00,3.0,8.0,0.375,0.0,0.0,,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,4.0,3.0,7.0,,
197310100INA,NYA,game,False,Gary Gregor,gregoga01,13:00,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,,
197310100INA,NYA,game,False,Willie Sojourner,sojouwi01,8:00,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,,
197310100INA,NYA,game,False,Bob Lackey,lackebo01,6:00,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,
197310100INA,INA,game,True,Mel Daniels,danieme01,43:00,8.0,17.0,0.471,0.0,0.0,,6.0,7.0,0.857,5.0,13.0,18.0,5.0,0.0,0.0,2.0,1.0,22.0,,
197310100INA,INA,game,True,George McGinnis,mcginge01,40:00,10.0,24.0,0.417,0.0,1.0,0.0,7.0,8.0,0.875,4.0,5.0,9.0,5.0,3.0,0.0,3.0,4.0,27.0,,
197310100INA,INA,game,True,Bill Keller,kellebi01,26:00,4.0,7.0,0.571,1.0,1.0,1.0,5.0,7.0,0.714,4.0,1.0,5.0,4.0,1.0,0.0,0.0,1.0,14.0,,
197310100INA,INA,game,True,Donnie Freeman,freemdo01,26:00,4.0,10.0,0.4,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,,
197310100INA,INA,game,True,Darnell Hillman,hillmda01,19:00,5.0,9.0,0.556,0.0,0.0,,0.0,1.0,0.0,2.0,5.0,7.0,2.0,0.0,3.0,2.0,6.0,10.0,,
197310100INA,INA,game,False,Roger Brown,brownro01,36:00,7.0,15.0,0.467,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,16.0,,
