Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
198911030POR,SAC,game,True,Rodney McCray,mccraro01,43:00,12,18,0.667,0,0,,6,8,0.75,3,5,8,2,0,5,1,2,30,,
198911030POR,SAC,game,True,Danny Ainge,aingeda01,40:00,6,16,0.375,1,6,0.167,4,5,0.8,1,1,2,3,1,1,3,2,17,,
198911030POR,SAC,game,True,Kenny Smith,smithke01,40:00,3,14,0.214,0,3,0.0,6,8,0.75,1,2,3,6,3,0,2,0,12,,
198911030POR,SAC,game,True,Wayman Tisdale,tisdawa01,35:00,6,12,0.5,0,0,,5,6,0.833,1,4,5,1,2,0,6,4,17,,
198911030POR,SAC,game,True,Ralph Sampson,sampsra01,29:00,5,7,0.714,1,1,1.0,1,1,1.0,2,2,4,2,1,0,1,3,12,,
198911030POR,SAC,game,False,Harold Pressley,pressha01,25:00,1,11,0.091,0,4,0.0,2,2,1.0,1,4,5,1,2,0,1,3,4,,
198911030POR,SAC,game,False,Vinny Del Negro,delnevi01,17:00,1,4,0.25,0,0,,0,0,,0,1,1,2,1,0,1,2,2,,
198911030POR,SAC,game,False,Randy Allen,allenra01,8:00,1,1,1.0,0,0,,0,0,,0,3,3,1,0,0,0,0,2,,
198911030POR,SAC,game,False,Michael Jackson,jacksmi02,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,
198911030POR,SAC,game,False,Greg Stokes,stokegr01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,
198911030POR,SAC,game,False,Henry Turner,turnehe02,1:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,
198911030POR,POR,game,True,Jerome Kersey,kerseje01,40:00,10,19,0.526,0,0,,2,2,1.0,3,6,9,5,1,0,3,5,22,,
198911030POR,POR,game,True,Clyde Drexler,drexlcl01,38:00,8,17,0.471,0,0,,0,0,,3,4,7,11,1,3,5,3,16,,
198911030POR,POR,game,True,Buck Williams,willibu01,37:00,8,10,0.8,0,0,,2,3,0.667,5,7,12,5,0,0,4,3,18,,
198911030POR,POR,game,True,Terry Porter,portete01,32:00,5,12,0.417,0,2,0.0,2,2,1.0,1,3,4,6,1,0,4,5,12,,
198911030POR,POR,game,True,Kevin Duckworth,duckwke01,30:00,9,18,0.5,0,0,,1,1,1.0,1,6,7,1,1,0,0,3,19,,
198911030POR,POR,game,False,Danny Young,youngda01,22:00,4,6,0.667,0,1,0.0,0,0,,0,1,1,3,0,0,0,0,8,,
198911030POR,POR,game,False,Clifford Robinson,robincl02,18:00,3,9,0.333,0,0,,4,6,0.667,2,3,5,0,2,1,2,4,10,,
198911030POR,POR,game,False,Wayne Cooper,coopewa01,13:00,1,2,0.5,0,0,,0,0,,2,2,4,0,0,2,0,2,2,,
198911030POR,POR,game,False,Dražen Petrović,petrodr01,10:00,3,7,0.429,1,1,1.0,0,0,,1,4,5,1,0,0,4,2,7,,
198911030UTA,DEN,game,True,Michael Adams,adamsmi01,39:00,7,17,0.412,2,7,0.286,4,5,0.8,1,2,3,7,0,0,2,1,20,,
198911030UTA,DEN,game,True,Fat Lever,leverfa01,38:00,6,16,0.375,0,1,0.0,5,6,0.833,0,9,9,5,1,1,2,1,17,,
198911030UTA,DEN,game,True,Danny Schayes,schayda01,32:00,3,10,0.3,0,0,,9,11,0.818,1,6,7,2,3,3,1,2,15,,
198911030UTA,DEN,game,True,Blair Rasmussen,rasmubl01,28:00,11,13,0.846,0,0,,3,4,0.75,4,3,7,0,1,2,1,5,25,,
198911030UTA,DEN,game,True,Alex English,englial01,27:00,4,15,0.267,0,0,,2,2,1.0,2,2,4,4,0,0,0,2,10,,
198911030UTA,DEN,game,False,Walter Davis,daviswa03,29:00,6,18,0.333,0,0,,1,2,0.5,0,1,1,2,0,0,2,3,13,,
198911030UTA,DEN,game,False,Tim Kempton,kemptti01,16:00,2,3,0.667,0,0,,2,2,1.0,1,2,3,3,0,0,1,3,6,,
198911030UTA,DEN,game,False,Todd Lichti,lichtto01,11:00,2,4,0.5,0,2,0.0,0,2,0.0,0,1,1,1,0,0,2,0,4,,
198911030UTA,DEN,game,False,Eddie Hughes,hugheed01,9:00,1,4,0.25,0,0,,0,0,,0,0,0,1,0,0,0,3,2,,
198911030UTA,DEN,game,False,Bill Hanzlik,hanzlbi01,7:00,0,0,,0,0,,1,2,0.5,0,1,1,0,1,0,0,1,1,,
198911030UTA,DEN,game,False,Jerome Lane,laneje01,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,,
198911030UTA,UTA,game,True,John Stockton,stockjo01,42:00,8,13,0.615,2,2,1.0,5,5,1.0,0,3,3,19,3,0,6,1,23,,
198911030UTA,UTA,game,True,Karl Malone,malonka01,40:00,18,25,0.72,0,0,,4,7,0.571,3,13,16,5,2,2,5,2,40,,
198911030UTA,UTA,game,True,Bob Hansen,hansebo01,28:00,3,6,0.5,0,0,,0,2,0.0,1,3,4,3,0,0,0,2,6,,
198911030UTA,UTA,game,True,Mark Eaton,eatonma01,22:00,2,2,1.0,0,0,,0,0,,1,6,7,3,0,4,1,6,4,,
