Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
198310280CLE,NYK,game,True,Bill Cartwright,cartwbi01,39:00,10,17,0.588,0,0,,4,6,0.667,5.0,5.0,10,5,1.0,3,0.0,3,24,,
198310280CLE,NYK,game,True,Rory Sparrow,sparrro01,34:00,4,7,0.571,2,2,1.0,6,6,1.0,0.0,3.0,3,4,0.0,0,4.0,2,16,,
198310280CLE,NYK,game,True,Truck Robinson,robintr01,28:00,3,9,0.333,0,0,,2,4,0.5,3.0,1.0,4,1,0.0,0,3.0,5,8,,
198310280CLE,NYK,game,True,Bernard King,kingbe01,27:00,4,7,0.571,0,0,,5,7,0.714,1.0,2.0,3,3,0.0,0,0.0,6,13,,
198310280CLE,NYK,game,True,Ray Williams,willira01,23:00,5,9,0.556,1,2,0.5,1,4,0.25,1.0,2.0,3,7,2.0,0,3.0,5,12,,
198310280CLE,NYK,game,False,Louis Orr,orrlo01,26:00,4,6,0.667,0,0,,0,0,,1.0,0.0,1,1,0.0,0,0.0,0,8,,
198310280CLE,NYK,game,False,Ernie Grunfeld,grunfer01,19:00,6,7,0.857,1,1,1.0,0,0,,0.0,1.0,1,2,0.0,0,3.0,3,13,,
198310280CLE,NYK,game,False,Darrell Walker,walkeda01,14:00,3,8,0.375,0,0,,1,2,0.5,2.0,1.0,3,1,4.0,0,2.0,2,7,,
198310280CLE,NYK,game,False,Len Elmore,elmorle01,12:00,1,3,0.333,0,0,,0,0,,0.0,1.0,1,0,1.0,0,2.0,1,2,,
198310280CLE,NYK,game,False,Marvin Webster,webstma01,9:00,1,1,1.0,0,0,,0,0,,2.0,3.0,5,0,0.0,0,0.0,2,2,,
198310280CLE,NYK,game,False,Trent Tucker,tucketr01,6:00,2,3,0.667,0,1,0.0,0,0,,1.0,0.0,1,2,1.0,0,0.0,1,4,,
198310280CLE,NYK,game,False,Rudy Macklin,macklru01,3:00,1,1,1.0,0,0,,2,2,1.0,0.0,0.0,0,0,0.0,0,0.0,3,4,,
198310280CLE,CLE,game,True,Cliff Robinson,robincl01,40:00,9,19,0.474,0,0,,5,12,0.417,4.0,7.0,11,0,2.0,1,4.0,5,23,,
198310280CLE,CLE,game,True,World B. Free,freewo01,35:00,11,20,0.55,0,1,0.0,13,15,0.867,2.0,2.0,4,1,2.0,0,6.0,6,35,,
198310280CLE,CLE,game,True,Geoff Huston,hustoge01,32:00,2,6,0.333,0,0,,2,4,0.5,1.0,0.0,1,4,0.0,0,0.0,4,6,,
198310280CLE,CLE,game,True,Lonnie Shelton,sheltlo01,29:00,4,7,0.571,0,0,,1,2,0.5,2.0,3.0,5,3,0.0,0,1.0,3,9,,
198310280CLE,CLE,game,True,Roy Hinson,hinsoro01,27:00,4,6,0.667,0,0,,0,0,,3.0,3.0,6,3,0.0,5,1.0,2,8,,
198310280CLE,CLE,game,False,Phil Hubbard,hubbaph01,18:00,2,3,0.667,0,0,,2,4,0.5,2.0,1.0,3,1,0.0,0,2.0,3,6,,
198310280CLE,CLE,game,False,Jeff Cook,cookje01,18:00,2,3,0.667,0,0,,0,0,,2.0,0.0,2,3,1.0,1,0.0,2,4,,
198310280CLE,CLE,game,False,John Bagley,baglejo01,17:00,1,6,0.167,0,0,,3,3,1.0,1.0,0.0,1,5,2.0,0,2.0,0,5,,
198310280CLE,CLE,game,False,Paul Thompson,thomppa01,12:00,4,8,0.5,2,2,1.0,0,0,,1.0,0.0,1,1,2.0,1,0.0,0,10,,
198310280CLE,CLE,game,False,Ben Poquette,poquebe01,12:00,0,0,,0,0,,0,0,,0.0,1.0,1,1,0.0,0,2.0,0,0,,
198310280DEN,UTA,game,True,Adrian Dantley,dantlad01,41:00,13,21,0.619,0,0,,14,16,0.875,3.0,6.0,9,6,1.0,0,0.0,4,40,,
198310280DEN,UTA,game,True,Darrell Griffith,griffda01,36:00,11,22,0.5,0,0,,0,0,,0.0,3.0,3,4,0.0,1,1.0,2,22,,
198310280DEN,UTA,game,True,John Drew,drewjo01,35:00,9,18,0.5,0,0,,5,6,0.833,4.0,2.0,6,2,1.0,0,2.0,4,23,,
198310280DEN,UTA,game,True,Rickey Green,greenri01,35:00,9,12,0.75,0,0,,2,3,0.667,1.0,0.0,1,11,0.0,0,1.0,3,20,,
198310280DEN,UTA,game,True,Mark Eaton,eatonma01,27:00,2,4,0.5,0,0,,0,0,,0.0,7.0,7,3,0.0,3,0.0,5,4,,
198310280DEN,UTA,game,False,Jeff Wilkins,wilkije01,21:00,5,10,0.5,0,0,,1,2,0.5,1.0,2.0,3,1,0.0,1,1.0,3,11,,
198310280DEN,UTA,game,False,Jerry Eaves,eavesje01,15:00,1,5,0.2,0,0,,2,3,0.667,0.0,2.0,2,3,2.0,0,1.0,2,4,,
198310280DEN,UTA,game,False,J.J. Anderson,anderjj01,11:00,0,5,0.0,0,1,0.0,0,0,,1.0,2.0,3,0,1.0,2,0.0,3,0,,
198310280DEN,UTA,game,False,Bob Hansen,hansebo01,10:00,0,2,0.0,0,1,0.0,0,0,,0.0,2.0,2,1,0.0,1,1.0,2,0,,
198310280DEN,UTA,game,False,Tom Boswell,bosweto01,9:00,0,1,0.0,0,0,,1,2,0.5,0.0,1.0,1,1,1.0,0,0.0,2,1,,
198310280DEN,DEN,game,True,Kiki Vandeweghe,vandeki01,38:00,13,21,0.619,0,0,,11,12,0.917,1.0,3.0,4,6,0.0,0,0.0,2,37,,
198310280DEN,DEN,game,True,Alex English,englial01,34:00,10,18,0.556,0,0,,3,5,0.6,3.0,6.0,9,4,0.0,2,3.0,4,23,,
198310280DEN,DEN,game,True,T.R. Dunn,dunntr01,34:00,3,6,0.5,0,0,,0,0,,5.0,7.0,12,4,2.0,1,2.0,1,6,,
198310280DEN,DEN,game,True,Rob Williams,williro02,32:00,4,10,0.4,0,0,,6,8,0.75,1.0,2.0,3,7,0.0,0,1.0,5,14,,
198310280DEN,DEN,game,True,Dan Issel,isselda01,29:00,15,23,0.652,0,0,,4,4,1.0,4.0,9.0,13,6,0.0,3,1.0,0,34,,
198310280DEN,DEN,game,False,Mike Evans,evansmi01,16:00,3,6,0.5,0,0,,2,2,1.0,0.0,1.0,1,2,0.0,0,2.0,1,8,,
198310280DEN,DEN,game,False,Howard Carter,carteho01,14:00,4,8,0.5,0,0,,0,0,,1.0,2.0,3,2,0.0,0,1.0,2,8,,
198310280DEN,DEN,game,False,Bill Hanzlik,hanzlbi01,13:00,2,4,0.5,0,0,,1,4,0.25,0.0,1.0,1,1,2.0,1,0.0,6,5,,
198310280DEN,DEN,game,False,Kenny Dennard,dennake01,11:00,1,1,1.0,0,0,,0,2,0.0,2.0,1.0,3,4,0.0,0,0.0,4,2,,
