Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred Scolari,scolafr01,195010310ROC,WSC,game,,,5,19,.263,,,,8,9,.889,,,,5,,,,2,18,
Chick Halbert,halbech01,195010310ROC,WSC,game,,,5,11,.455,,,,2,2,1.000,,,,,,,,2,12,
Frank Kudelka,kudelfr01,195010310ROC,WSC,game,,,6,16,.375,,,,0,0,,,,,,,,,6,12,
Dick O'Keefe,okeefdi01,195010310ROC,WSC,game,,,4,11,.364,,,,0,2,.000,,,,,,,,4,8,
Earl Lloyd,lloydea01,195010310ROC,WSC,game,,,2,3,.667,,,,2,3,.667,,,10,5,,,,2,6,
Dick Schnittker,schnidi01,195010310ROC,WSC,game,,,1,2,.500,,,,3,4,.750,,,,,,,,4,5,
Bill Sharman,sharmbi01,195010310ROC,WSC,game,,,2,15,.133,,,,0,0,,,,,,,,,0,4,
Don Otten,ottendo01,195010310ROC,WSC,game,,,1,8,.125,,,,1,1,1.000,,,,,,,,3,3,
Chuck Gilmur,gilmuch01,195010310ROC,WSC,game,,,0,4,.000,,,,1,1,1.000,,,,,,,,3,1,
Ariel Maughan,maughar01,195010310ROC,WSC,game,,,0,1,.000,,,,1,1,1.000,,,,,,,,1,1,
Alan Sawyer,sawyeal01,195010310ROC,WSC,game,,,0,1,.000,,,,0,0,,,,,,,,,0,0,
Arnie Risen,risenar01,195010310ROC,ROC,game,,,7,17,.412,,,,6,7,.857,,,,,,,,4,20,
Bobby Wanzer,wanzebo01,195010310ROC,ROC,game,,,5,13,.385,,,,2,3,.667,,,,,,,,1,12,
Bob Davies,daviebo01,195010310ROC,ROC,game,,,3,11,.273,,,,5,5,1.000,,,,,,,,2,11,
Pep Saul,saulpe01,195010310ROC,ROC,game,,,4,6,.667,,,,3,4,.750,,,,,,,,2,11,
Bill Calhoun,calhobi01,195010310ROC,ROC,game,,,3,8,.375,,,,1,3,.333,,,,,,,,2,7,
Red Holzman,holzmre01,195010310ROC,ROC,game,,,1,7,.143,,,,4,5,.800,,,,,,,,1,6,
Paul Noel,noelpa01,195010310ROC,ROC,game,,,2,8,.250,,,,1,1,1.000,,,,,,,,1,5,
Arnie Johnson,johnsar01,195010310ROC,ROC,game,,,1,6,.167,,,,1,1,1.000,,,9,5,,,,4,3,
Joe McNamee,mcnamjo01,195010310ROC,ROC,game,,,1,1,1.000,,,,0,0,,,,,,,,,0,2,
Ed Mikan,mikaned01,195010310ROC,ROC,game,,,0,4,.000,,,,1,2,.500,,,,,,,,0,1,
Bob Cousy,cousybo01,195011010FTW,BOS,game,,,4,10,.400,,,,8,8,1.000,,,7,0,,,,3,16,
Chuck Cooper,coopech01,195011010FTW,BOS,game,,,3,6,.500,,,,3,3,1.000,,,2,0,,,,4,9,
Bob Donham,donhabo01,195011010FTW,BOS,game,,,4,7,.571,,,,1,6,.167,,,5,0,,,,4,9,
Ed Macauley,macaued01,195011010FTW,BOS,game,,,3,5,.600,,,,3,6,.500,,,4,1,,,,3,9,
Kenny Sailors,sailoke01,195011010FTW,BOS,game,,,2,7,.286,,,,5,5,1.000,,,1,0,,,,2,9,
Ed Stanczak,stanced01,195011010FTW,BOS,game,,,1,6,.167,,,,7,9,.778,,,5,0,,,,4,9,
Ed Leede,leedeed01,195011010FTW,BOS,game,,,2,8,.250,,,,4,4,1.000,,,2,1,,,,4,8,
John Mahnken,mahnkjo01,195011010FTW,BOS,game,,,3,7,.429,,,,0,0,,,,3,0,,,,3,6,
Andy Duncan,duncaan01,195011010FTW,BOS,game,,,1,2,.500,,,,3,4,.750,,,3,0,,,,2,5,
Sonny Hertzberg,hertzso01,195011010FTW,BOS,game,,,1,7,.143,,,,2,3,.667,,,3,3,,,,1,4,
Brady Walker,walkebr01,195011010FTW,BOS,game,,,0,1,.000,,,,0,0,,,,5,0,,,,0,0,
