Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Oscar Robertson,roberos01,196310160STL,CIN,game,,46:00,7,19,.368,,,,8,8,1.000,,,14,15,,,,3,22,
Jerry Lucas,lucasje01,196310160STL,CIN,game,,44:00,9,14,.643,,,,5,6,.833,,,17,1,,,,5,23,
Wayne Embry,embrywa01,196310160STL,CIN,game,,39:00,10,17,.588,,,,5,9,.556,,,11,2,,,,3,25,
Adrian Smith,smithad01,196310160STL,CIN,game,,31:00,4,7,.571,,,,5,7,.714,,,0,2,,,,3,13,
Jack Twyman,twymaja01,196310160STL,CIN,game,,31:00,2,8,.250,,,,4,4,1.000,,,3,3,,,,4,8,
Tom Hawkins,hawkito01,196310160STL,CIN,game,,20:00,0,5,.000,,,,2,2,1.000,,,6,1,,,,1,2,
Bucky Bockhorn,bockhbu01,196310160STL,CIN,game,,17:00,4,4,1.000,,,,1,2,.500,,,4,2,,,,2,9,
Bob Boozer,boozebo01,196310160STL,CIN,game,,6:00,5,6,.833,,,,0,2,.000,,,2,2,,,,2,10,
Bud Olsen,olsenbu01,196310160STL,CIN,game,,4:00,0,2,.000,,,,0,0,,,,0,0,,,,1,0,
Jay Arnette,arnetja01,196310160STL,CIN,game,,2:00,0,2,.000,,,,0,0,,,,0,0,,,,1,0,
Bob Pettit,pettibo01,196310160STL,STL,game,,46:00,15,30,.500,,,,9,11,.818,,,12,2,,,,1,39,
Zelmo Beaty,beatyze01,196310160STL,STL,game,,34:00,2,11,.182,,,,3,6,.500,,,13,1,,,,5,7,
Lenny Wilkens,wilkele01,196310160STL,STL,game,,34:00,2,10,.200,,,,3,4,.750,,,5,11,,,,5,7,
Cliff Hagan,hagancl01,196310160STL,STL,game,,32:00,6,18,.333,,,,3,3,1.000,,,6,3,,,,3,15,
Chico Vaughn,vaughch01,196310160STL,STL,game,,30:00,4,8,.500,,,,2,2,1.000,,,2,1,,,,5,10,
John Barnhill,barnhjo01,196310160STL,STL,game,,28:00,3,11,.273,,,,1,1,1.000,,,2,1,,,,2,7,
Bill Bridges,bridgbi01,196310160STL,STL,game,,18:00,3,9,.333,,,,0,0,,,,8,1,,,,4,6,
Mike Farmer,farmemi01,196310160STL,STL,game,,12:00,1,2,.500,,,,0,0,,,,2,2,,,,0,2,
Bob Duffy,duffybo02,196310160STL,STL,game,,2:00,0,1,.000,,,,0,1,.000,,,0,0,,,,1,0,
Gene Tormohlen,tormobu01,196310160STL,STL,game,,2:00,0,1,.000,,,,0,0,,,,0,0,,,,0,0,
Gerry Ward,wardge01,196310160STL,STL,game,,2:00,0,2,.000,,,,0,0,,,,0,0,,,,0,0,
Bill Russell,russebi01,196310160BAL,BOS,game,,40:00,4,,,,,,2,3,.667,,,16,6,,,,2,10,
John Havlicek,havlijo01,196310160BAL,BOS,game,,,9,,,,,,6,11,.545,,,,,,,,0,24,
Sam Jones,jonessa01,196310160BAL,BOS,game,,,9,,,,,,2,3,.667,,,,,,,,0,20,
Tom Heinsohn,heinsto01,196310160BAL,BOS,game,,,4,,,,,,4,4,1.000,,,,,,,,4,12,
Willie Naulls,naullwi01,196310160BAL,BOS,game,,,6,,,,,,0,2,.000,,,,,,,,1,12,
K.C. Jones,joneskc01,196310160BAL,BOS,game,,,3,,,,,,1,2,.500,,,,,,,,2,7,
Tom Sanders,sandeto01,196310160BAL,BOS,game,,,1,,,,,,5,5,1.000,,,,,,,,5,7,
Clyde Lovellette,lovelcl01,196310160BAL,BOS,game,,,3,,,,,,0,0,,,,,,,,,3,6,
Frank Ramsey,ramsefr01,196310160BAL,BOS,game,,,1,,,,,,3,3,1.000,,,,,,,,1,5,
Larry Siegfried,siegfla01,196310160BAL,BOS,game,,,2,,,,,,0,0,,,,,,,,,0,4,
Johnny McCarthy,mccarjo01,196310160BAL,BOS,game,,,1,,,,,,0,0,,,,,,,,,2,2,
Jim Loscutoff,loscuji01,196310160BAL,BOS,game,,,0,,,,,,0,0,,,,,,,,,2,0,
Walt Bellamy,bellawa01,196310160BAL,BAL,game,,30:00,11,,,,,,10,13,.769,,,28,,,,,4,32,
Roger Strickland,stricro01,196310160BAL,BAL,game,,4:00,1,3,.333,,,,0,0,,,,0,0,,,,1,2,
Terry Dischinger,dischte01,196310160BAL,BAL,game,,,10,,,,,,6,9,.667,,,,,,,,5,26,
Gus Johnson,johnsgu01,196310160BAL,BAL,game,,,4,,,,,,0,0,,,,,,,,,6,8,
Rod Thorn,thornro01,196310160BAL,BAL,game,,,3,,,,,,2,3,.667,,,,,,,,0,8,
Bill McGill,mcgilbi01,196310160BAL,BAL,game,,,3,,,,,,1,1,1.000,,,,0,,,,1,7,
Charlie Hardnett,hardnch01,196310160BAL,BAL,game,,,2,,,,,,0,1,.000,,,,,,,,3,4,
Barney Cable,cableba01,196310160BAL,BAL,game,,,0,,,,,,2,2,1.000,,,,,,,,1,2,
Larry Comley,comlela01,196310160BAL,BAL,game,,,1,,,,,,0,0,,,,,,,,,2,2,
