Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Armen Gilliam,gilliar01,199511030TOR,NJN,game,True,43:00,5,14,.357,0,0,,3,4,.750,5,11,16,2,0,2,6,2,13,
Kenny Anderson,anderke01,199511030TOR,NJN,game,True,37:00,5,17,.294,0,2,.000,3,6,.500,1,2,3,8,3,2,2,0,13,
Kevin Edwards,edwarke01,199511030TOR,NJN,game,True,32:00,4,16,.250,1,2,.500,2,2,1.000,1,6,7,1,0,1,7,3,11,
P.J. Brown,brownpj01,199511030TOR,NJN,game,True,22:00,1,7,.143,0,0,,0,1,.000,2,4,6,1,0,0,1,5,2,
Yinka Dare,dareyi01,199511030TOR,NJN,game,True,6:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,
Jayson Williams,willija01,199511030TOR,NJN,game,False,24:00,3,6,.500,0,0,,3,7,.429,6,6,12,0,2,1,4,4,9,
Rick Mahorn,mahorri01,199511030TOR,NJN,game,False,19:00,3,4,.750,0,0,,2,4,.500,4,3,7,0,3,0,2,4,8,
Vern Fleming,flemive01,199511030TOR,NJN,game,False,17:00,1,5,.200,0,0,,4,4,1.000,0,3,3,1,1,0,4,4,6,
Ed O'Bannon,obanned01,199511030TOR,NJN,game,False,16:00,1,6,.167,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,2,4,
Chris Childs,childch01,199511030TOR,NJN,game,False,14:00,3,6,.500,1,3,.333,2,3,.667,0,1,1,1,0,1,2,3,9,
Gerald Glass,glassge01,199511030TOR,NJN,game,False,9:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,
Rex Walters,waltere01,199511030TOR,NJN,game,False,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Damon Stoudamire,stoudda01,199511030TOR,TOR,game,True,38:00,4,14,.286,0,3,.000,2,2,1.000,0,3,3,10,3,0,2,3,10,
Alvin Robertson,roberal01,199511030TOR,TOR,game,True,34:00,11,14,.786,2,3,.667,6,8,.750,1,6,7,4,5,0,5,3,30,
Ed Pinckney,pincked01,199511030TOR,TOR,game,True,24:00,2,3,.667,0,0,,0,1,.000,0,3,3,1,1,1,0,2,4,
Carlos Rogers,rogerca01,199511030TOR,TOR,game,True,23:00,4,9,.444,0,0,,1,2,.500,2,2,4,1,0,0,1,3,9,
Žan Tabak,tabakza01,199511030TOR,TOR,game,True,12:00,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,1,4,2,
Acie Earl,earlac01,199511030TOR,TOR,game,False,35:00,7,13,.538,0,0,,2,4,.500,1,4,5,3,1,3,1,4,16,
John Salley,sallejo01,199511030TOR,TOR,game,False,24:00,2,4,.500,0,0,,5,8,.625,1,4,5,3,2,1,2,2,9,
Willie Anderson,anderwi01,199511030TOR,TOR,game,False,24:00,1,7,.143,0,1,.000,3,4,.750,0,5,5,3,0,2,2,4,5,
Tracy Murray,murratr01,199511030TOR,TOR,game,False,19:00,4,9,.444,1,4,.250,0,2,.000,1,2,3,1,2,0,1,3,9,
Jimmy King,kingji02,199511030TOR,TOR,game,False,7:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,
Juwan Howard,howarju01,199511030PHI,WSB,game,True,44:00,12,17,.706,0,0,,1,2,.500,3,7,10,5,1,0,2,3,25,
Calbert Cheaney,cheanca01,199511030PHI,WSB,game,True,37:00,8,20,.400,2,10,.200,1,2,.500,2,6,8,3,3,0,3,2,19,
Robert Pack,packro01,199511030PHI,WSB,game,True,32:00,7,16,.438,1,2,.500,0,0,,1,0,1,6,4,0,4,2,15,
Gheorghe Mureșan,muresgh01,199511030PHI,WSB,game,True,25:00,4,10,.400,0,0,,1,2,.500,5,5,10,0,0,3,4,4,9,
Rasheed Wallace,wallara01,199511030PHI,WSB,game,True,23:00,4,12,.333,0,3,.000,2,2,1.000,3,2,5,2,0,2,1,5,10,
Jim McIlvaine,mcilvji01,199511030PHI,WSB,game,False,23:00,2,4,.500,0,0,,2,4,.500,2,3,5,0,0,3,1,2,6,
Jeff Webster,webstje01,199511030PHI,WSB,game,False,16:00,5,8,.625,2,4,.500,0,0,,0,1,1,1,0,0,0,1,12,
Brent Price,pricebr01,199511030PHI,WSB,game,False,16:00,0,2,.000,0,2,.000,3,3,1.000,0,1,1,6,1,0,3,1,3,
Bob McCann,mccanbo01,199511030PHI,WSB,game,False,14:00,2,4,.500,0,0,,0,0,,2,1,3,1,0,1,2,3,4,
Mitchell Butler,butlemi02,199511030PHI,WSB,game,False,10:00,0,1,.000,0,0,,0,2,.000,0,0,0,1,0,0,0,2,0,
Richard Dumas,dumasri02,199511030PHI,PHI,game,True,47:00,7,10,.700,1,1,1.000,4,4,1.000,3,3,6,4,2,0,2,1,19,
Vernon Maxwell,maxweve01,199511030PHI,PHI,game,True,44:00,6,17,.353,2,6,.333,4,5,.800,0,7,7,14,5,1,6,2,18,
Clarence Weatherspoon,weathcl01,199511030PHI,PHI,game,True,42:00,6,11,.545,0,0,,10,16,.625,9,6,15,2,5,0,6,4,22,
Jerry Stackhouse,stackje01,199511030PHI,PHI,game,True,37:00,11,18,.611,2,4,.500,3,3,1.000,1,0,1,0,3,0,6,2,27,
Shawn Bradley,bradlsh01,199511030PHI,PHI,game,True,21:00,2,5,.400,0,0,,0,0,,1,8,9,0,0,3,1,5,4,
