Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bill Russell,russebi01,195710220STL,BOS,game,,37:00,8,16,.500,,,,4,7,.571,,,19,,,,,2,20,
Bob Cousy,cousybo01,195710220STL,BOS,game,,34:00,10,22,.455,,,,4,4,1.000,,,6,,,,,4,24,
Bill Sharman,sharmbi01,195710220STL,BOS,game,,27:00,5,10,.500,,,,5,6,.833,,,5,,,,,1,15,
Lou Tsioropoulos,tsiorlo01,195710220STL,BOS,game,,27:00,2,7,.286,,,,2,2,1.000,,,8,,,,,4,6,
Tom Heinsohn,heinsto01,195710220STL,BOS,game,,25:00,7,14,.500,,,,2,5,.400,,,14,,,,,4,16,
Jim Loscutoff,loscuji01,195710220STL,BOS,game,,25:00,6,15,.400,,,,0,0,,,,9,,,,,3,12,
Frank Ramsey,ramsefr01,195710220STL,BOS,game,,24:00,3,12,.250,,,,5,6,.833,,,5,,,,,5,11,
Arnie Risen,risenar01,195710220STL,BOS,game,,16:00,1,7,.143,,,,3,6,.500,,,10,,,,,5,5,
Jack Nichols,nichoja01,195710220STL,BOS,game,,13:00,2,7,.286,,,,2,2,1.000,,,2,,,,,4,6,
Andy Phillip,phillan01,195710220STL,BOS,game,,9:00,0,1,.000,,,,0,0,,,,3,,,,,1,0,
Sam Jones,jonessa01,195710220STL,BOS,game,,3:00,0,0,,,,,0,0,,,,1,,,,,1,0,
Bob Pettit,pettibo01,195710220STL,STL,game,,42:00,7,20,.350,,,,12,18,.667,,,16,,,,,5,26,
Ed Macauley,macaued01,195710220STL,STL,game,,37:00,9,22,.409,,,,6,10,.600,,,9,,,,,2,24,
Slater Martin,martisl01,195710220STL,STL,game,,37:00,3,15,.200,,,,7,8,.875,,,4,,,,,4,13,
Cliff Hagan,hagancl01,195710220STL,STL,game,,34:00,2,16,.125,,,,6,7,.857,,,10,,,,,4,10,
Jack McMahon,mcmahja01,195710220STL,STL,game,,24:00,1,9,.111,,,,0,0,,,,3,,,,,2,2,
Win Wilfong,wilfowi01,195710220STL,STL,game,,20:00,3,8,.375,,,,2,4,.500,,,3,,,,,4,8,
Jack Coleman,colemja01,195710220STL,STL,game,,17:00,0,5,.000,,,,0,0,,,,0,,,,,2,0,
Chuck Share,sharech01,195710220STL,STL,game,,12:00,0,4,.000,,,,5,5,1.000,,,8,,,,,2,5,
Med Park,parkme01,195710220STL,STL,game,,12:00,0,2,.000,,,,2,2,1.000,,,1,,,,,2,2,
Worthy Patterson,pattewo01,195710220STL,STL,game,,3:00,0,1,.000,,,,0,0,,,,0,,,,,0,0,
Red Morrison,morrire01,195710220STL,STL,game,,2:00,0,0,,,,,0,0,,,,0,0,,,,0,0,
Cliff Hagan,hagancl01,195710230NYK,STL,game,,,8,,,,,,3,3,1.000,,,,,,,,6,19,
Slater Martin,martisl01,195710230NYK,STL,game,,,4,,,,,,9,15,.600,,,,,,,,4,17,
Chuck Share,sharech01,195710230NYK,STL,game,,,5,,,,,,4,4,1.000,,,,,,,,5,14,
Ed Macauley,macaued01,195710230NYK,STL,game,,,3,,,,,,7,7,1.000,,,,,,,,3,13,
Bob Pettit,pettibo01,195710230NYK,STL,game,,,2,,,,,,6,8,.750,,,,,,,,6,10,
Jack McMahon,mcmahja01,195710230NYK,STL,game,,,3,,,,,,1,3,.333,,,,,,,,2,7,
Frank Selvy,selvyfr01,195710230NYK,STL,game,,,3,,,,,,1,3,.333,,,,,,,,4,7,
Red Morrison,morrire01,195710230NYK,STL,game,,,2,,,,,,1,1,1.000,,,,0,,,,1,5,
Win Wilfong,wilfowi01,195710230NYK,STL,game,,,0,,,,,,2,3,.667,,,,,,,,1,2,
Jack Coleman,colemja01,195710230NYK,STL,game,,,0,,,,,,1,2,.500,,,,,,,,6,1,
Ron Shavlik,shavlro01,195710230NYK,NYK,game,,2:00,0,1,.000,,,,0,0,,,,1,0,,,,0,0,
Ray Felix,felixra01,195710230NYK,NYK,game,,,6,,,,,,10,10,1.000,,,,,,,,4,22,
Ron Sobie,sobiero01,195710230NYK,NYK,game,,,5,,,,,,7,9,.778,,,,,,,,5,17,
Carl Braun,braunca01,195710230NYK,NYK,game,,,5,,,,,,4,4,1.000,,,,,,,,5,14,
Willie Naulls,naullwi01,195710230NYK,NYK,game,,,6,,,,,,1,2,.500,,,,,,,,1,13,
Charlie Tyra,tyrach01,195710230NYK,NYK,game,,,5,,,,,,3,10,.300,,,,,,,,0,13,
Kenny Sears,searske01,195710230NYK,NYK,game,,,1,,,,,,10,13,.769,,,,,,,,5,12,
Mel Hutchins,hutchme01,195710230NYK,NYK,game,,,2,,,,,,5,6,.833,,,,,,,,0,9,
Guy Sparrow,sparrgu01,195710230NYK,NYK,game,,,2,,,,,,2,3,.667,,,,,,,,5,6,
Larry Friend,frienla01,195710230NYK,NYK,game,,,2,,,,,,0,0,,,,,,,,,3,4,
Phil Jordon,jordoph01,195710230NYK,NYK,game,,,1,,,,,,0,0,,,,,,,,,1,2,
Brendan McCann,mccanbr01,195710230NYK,NYK,game,,,0,,,,,,0,0,,,,,,,,,1,0,
Bill Russell,russebi01,195710230DET,BOS,game,,42:00,6,,,,,,3,11,.273,,,26,,,,,4,15,
Bill Sharman,sharmbi01,195710230DET,BOS,game,,,7,,,,,,10,11,.909,,,,,,,,3,24,
Tom Heinsohn,heinsto01,195710230DET,BOS,game,,,5,,,,,,6,7,.857,,,,,,,,5,16,
Frank Ramsey,ramsefr01,195710230DET,BOS,game,,,4,,,,,,5,6,.833,,,,,,,,3,13,
Lou Tsioropoulos,tsiorlo01,195710230DET,BOS,game,,,4,,,,,,5,7,.714,,,,,,,,5,13,
Bob Cousy,cousybo01,195710230DET,BOS,game,,,3,,,,,,2,2,1.000,,,,,,,,4,8,
Jim Loscutoff,loscuji01,195710230DET,BOS,game,,,3,,,,,,0,1,.000,,,,,,,,2,6,
Jack Nichols,nichoja01,195710230DET,BOS,game,,,2,,,,,,2,3,.667,,,,,,,,4,6,
Andy Phillip,phillan01,195710230DET,BOS,game,,,1,,,,,,0,0,,,,,,,,,0,2,
Arnie Risen,risenar01,195710230DET,BOS,game,,,1,,,,,,0,1,.000,,,,,,,,1,2,
George Yardley,yardlge01,195710230DET,DET,game,,,7,,,,,,6,9,.667,,,,,,,,6,20,
Walter Dukes,dukeswa01,195710230DET,DET,game,,,6,,,,,,7,10,.700,,,,,,,,6,19,
Gene Shue,shuege01,195710230DET,DET,game,,,4,,,,,,8,8,1.000,,,,,,,,3,16,
Chuck Noble,noblech01,195710230DET,DET,game,,,5,,,,,,1,2,.500,,,,,,,,3,11,
Harry Gallatin,gallaha01,195710230DET,DET,game,,,2,,,,,,3,5,.600,,,,,,,,3,7,
Dick Atha,athadi01,195710230DET,DET,game,,,3,,,,,,0,0,,,,,,,,,0,6,
Nat Clifton,cliftna01,195710230DET,DET,game,,,2,,,,,,1,2,.500,,,,,,,,5,5,
Bill Thieben,thiebbi01,195710230DET,DET,game,,,2,,,,,,0,1,.000,,,,,,,,2,4,
Bob Houbregs,houbrbo01,195710230DET,DET,game,,,1,,,,,,1,1,1.000,,,,,,,,2,3,
Dick McGuire,mcguidi01,195710230DET,DET,game,,,1,,,,,,1,3,.333,,,,,,,,2,3,
Doug Bolstorff,bolstdo01,195710230DET,DET,game,,,0,,,,,,0,0,,,,0,0,,,,0,0,
Jack George,georgja01,195710250SYR,PHW,game,,38:00,3,,,,,,1,3,.333,,,0,1,,,,3,7,
Paul Arizin,arizipa01,195710250SYR,PHW,game,,36:00,4,,,,,,8,13,.615,,,10,5,,,,3,16,
Ernie Beck,becker01,195710250SYR,PHW,game,,36:00,1,,,,,,1,2,.500,,,2,4,,,,2,3,
Joe Graboski,grabojo01,195710250SYR,PHW,game,,33:00,5,,,,,,3,4,.750,,,4,0,,,,4,13,
Neil Johnston,johnsne01,195710250SYR,PHW,game,,30:00,9,,,,,,4,9,.444,,,6,2,,,,2,22,
Woody Sauldsberry,sauldwo01,195710250SYR,PHW,game,,27:00,6,,,,,,1,3,.333,,,10,0,,,,4,13,
Walt Davis,daviswa01,195710250SYR,PHW,game,,18:00,3,,,,,,1,1,1.000,,,3,0,,,,2,7,
George Dempsey,dempsge01,195710250SYR,PHW,game,,10:00,0,,,,,,2,6,.333,,,3,1,,,,1,2,
Lennie Rosenbluth,rosenle01,195710250SYR,PHW,game,,6:00,1,,,,,,0,0,,,,0,0,,,,0,2,
Ray Radziszewski,radzira01,195710250SYR,PHW,game,,6:00,0,3,.000,,,,0,0,,,,2,1,,,,1,0,
Dolph Schayes,schaydo01,195710250SYR,SYR,game,,40:00,4,,,,,,9,9,1.000,,,10,4,,,,3,17,
Red Kerr,kerrre01,195710250SYR,SYR,game,,29:00,9,,,,,,4,6,.667,,,15,3,,,,3,22,
Larry Costello,costela01,195710250SYR,SYR,game,,28:00,7,,,,,,6,6,1.000,,,4,5,,,,3,20,
Earl Lloyd,lloydea01,195710250SYR,SYR,game,,28:00,2,,,,,,1,2,.500,,,4,2,,,,4,5,
Bob Harrison,harribo02,195710250SYR,SYR,game,,28:00,1,,,,,,1,2,.500,,,1,1,,,,2,3,
Al Bianchi,biancal01,195710250SYR,SYR,game,,22:00,4,,,,,,1,2,.500,,,0,3,,,,1,9,
Bob Hopkins,hopkibo01,195710250SYR,SYR,game,,19:00,4,,,,,,1,2,.500,,,7,0,,,,4,9,
Togo Palazzi,palazto01,195710250SYR,SYR,game,,18:00,6,,,,,,1,1,1.000,,,5,3,,,,3,13,
Paul Seymour,seymopa01,195710250SYR,SYR,game,,18:00,1,,,,,,1,1,1.000,,,4,3,,,,2,3,
Joe Holup,holupjo01,195710250SYR,SYR,game,,10:00,0,,,,,,2,4,.500,,,5,1,,,,1,2,
Slick Leonard,leonasl01,195710260STL,MNL,game,,,8,21,.381,,,,5,9,.556,,,,,,,,4,21,
Dick Schnittker,schnidi01,195710260STL,MNL,game,,,8,14,.571,,,,2,2,1.000,,,,,,,,6,18,
Vern Mikkelsen,mikkeve01,195710260STL,MNL,game,,,5,16,.313,,,,3,5,.600,,,,,,,,4,13,
Bob Burrow,burrobo01,195710260STL,MNL,game,,,3,7,.429,,,,2,5,.400,,,,,,,,2,8,
Larry Foust,foustla01,195710260STL,MNL,game,,,4,10,.400,,,,0,1,.000,,,,,,,,6,8,
Ed Fleming,flemied01,195710260STL,MNL,game,,,3,11,.273,,,,1,1,1.000,,,,,,,,4,7,
Corky Devlin,devlico01,195710260STL,MNL,game,,,2,11,.182,,,,0,0,,,,,,,,,3,4,
Hot Rod Hundley,hundlho01,195710260STL,MNL,game,,,1,8,.125,,,,2,3,.667,,,,,,,,3,4,
Jim Krebs,krebsji01,195710260STL,MNL,game,,,0,4,.000,,,,1,1,1.000,,,,,,,,2,1,
Art Spoelstra,spoelar01,195710260STL,MNL,game,,,0,2,.000,,,,0,0,,,,,,,,,2,0,
Bob Pettit,pettibo01,195710260STL,STL,game,,,6,18,.333,,,,15,16,.938,,,,,,,,4,27,
