Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bernard King,kingbe01,198711060ATL,WSB,game,True,38:00,3,12,.250,0,0,,3,4,.750,0,1,1,4,0,0,2,2,9,
Moses Malone,malonmo01,198711060ATL,WSB,game,True,37:00,6,12,.500,0,0,,20,23,.870,4,8,12,1,0,1,2,1,32,
Muggsy Bogues,boguemu01,198711060ATL,WSB,game,True,33:00,5,12,.417,0,0,,0,0,,1,2,3,6,4,0,2,2,10,
Jeff Malone,malonje01,198711060ATL,WSB,game,True,31:00,5,16,.313,1,1,1.000,0,0,,0,2,2,1,0,0,0,4,11,
Terry Catledge,catlete01,198711060ATL,WSB,game,True,24:00,4,7,.571,0,0,,3,6,.500,2,2,4,0,0,0,1,4,11,
Darrell Walker,walkeda01,198711060ATL,WSB,game,False,26:00,4,8,.500,0,0,,3,5,.600,2,2,4,1,2,1,4,2,11,
John Williams,willijo02,198711060ATL,WSB,game,False,17:00,3,4,.750,0,0,,0,1,.000,1,2,3,0,0,1,3,5,6,
Mark Alarie,alarima01,198711060ATL,WSB,game,False,15:00,1,1,1.000,0,0,,0,0,,0,2,2,3,0,0,0,3,2,
Jay Murphy,murphja01,198711060ATL,WSB,game,False,10:00,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,
Frank Johnson,johnsfr01,198711060ATL,WSB,game,False,6:00,1,5,.200,0,0,,3,4,.750,2,2,4,1,1,0,1,2,5,
Charles Jones,jonesch01,198711060ATL,WSB,game,False,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,
Doc Rivers,riverdo01,198711060ATL,ATL,game,True,35:00,6,13,.462,0,0,,1,3,.333,2,3,5,6,1,0,1,3,13,
Kevin Willis,willike02,198711060ATL,ATL,game,True,35:00,4,8,.500,0,0,,4,5,.800,2,8,10,0,0,1,3,3,12,
Dominique Wilkins,wilkido01,198711060ATL,ATL,game,True,34:00,11,20,.550,1,1,1.000,11,12,.917,6,8,14,2,2,0,3,3,34,
Randy Wittman,wittmra01,198711060ATL,ATL,game,True,30:00,7,14,.500,0,0,,0,0,,0,1,1,2,0,1,3,3,14,
Tree Rollins,rollitr01,198711060ATL,ATL,game,True,19:00,0,2,.000,0,0,,0,0,,1,4,5,1,1,0,0,5,0,
Jon Koncak,koncajo01,198711060ATL,ATL,game,False,26:00,3,5,.600,0,0,,4,7,.571,3,10,13,1,2,4,1,5,10,
Cliff Levingston,levincl01,198711060ATL,ATL,game,False,18:00,3,5,.600,0,0,,0,0,,3,2,5,2,0,1,2,3,6,
Mike McGee,mcgeemi01,198711060ATL,ATL,game,False,17:00,5,11,.455,0,4,.000,0,2,.000,1,2,3,4,3,0,0,0,10,
Spud Webb,webbsp01,198711060ATL,ATL,game,False,13:00,3,5,.600,0,0,,2,3,.667,1,1,2,10,0,0,2,5,8,
Antoine Carr,carran01,198711060ATL,ATL,game,False,11:00,1,1,1.000,0,0,,1,2,.500,0,0,0,2,0,1,2,3,3,
John Battle,battljo01,198711060ATL,ATL,game,False,2:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,
Armen Gilliam,gilliar01,198711060POR,PHO,game,True,39:00,5,12,.417,0,0,,4,4,1.000,1,8,9,1,3,2,6,3,14,
Walter Davis,daviswa03,198711060POR,PHO,game,True,37:00,8,18,.444,0,1,.000,7,8,.875,2,3,5,8,2,0,6,3,23,
Eddie Johnson,johnsed03,198711060POR,PHO,game,True,32:00,6,13,.462,0,1,.000,0,0,,3,1,4,3,3,0,2,5,12,
James Edwards,edwarja01,198711060POR,PHO,game,True,31:00,9,13,.692,0,1,.000,2,3,.667,0,8,8,1,0,0,1,5,20,
Jeff Hornacek,hornaje01,198711060POR,PHO,game,True,26:00,3,6,.500,0,1,.000,3,3,1.000,0,2,2,7,2,0,3,2,9,
Jay Humphries,humphja01,198711060POR,PHO,game,False,22:00,2,5,.400,0,0,,1,2,.500,1,1,2,7,2,0,4,1,5,
James Bailey,baileja01,198711060POR,PHO,game,False,14:00,2,6,.333,0,0,,1,2,.500,1,2,3,0,0,0,3,4,5,
Alvan Adams,adamsal01,198711060POR,PHO,game,False,14:00,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,4,4,
