Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bob Lanier,laniebo01,197310090NYK,DET,game,,44:00,13,23,.565,,,,3,5,.600,,,12,3,,,,4,29,
Stu Lantz,lantzst01,197310090NYK,DET,game,,44:00,4,11,.364,,,,7,8,.875,,,7,1,,,,4,15,
Chris Ford,fordch01,197310090NYK,DET,game,,38:00,8,16,.500,,,,1,1,1.000,,,7,3,,,,4,17,
Curtis Rowe,rowecu01,197310090NYK,DET,game,,35:00,1,5,.200,,,,3,4,.750,,,6,2,,,,2,5,
Don Adams,adamsdo01,197310090NYK,DET,game,,29:00,2,7,.286,,,,0,0,,,,2,0,,,,3,4,
John Mengelt,mengejo01,197310090NYK,DET,game,,28:00,5,8,.625,,,,8,9,.889,,,2,1,,,,3,18,
George Trapp,trappge01,197310090NYK,DET,game,,18:00,4,7,.571,,,,4,4,1.000,,,3,1,,,,4,12,
Jim Davis,davisji01,197310090NYK,DET,game,,4:00,0,0,,,,,0,0,,0,0,0,0,,,,1,0,
Walt Frazier,fraziwa01,197310090NYK,NYK,game,,46:00,11,20,.550,,,,5,6,.833,,,3,11,,,,1,27,
Dave DeBusschere,debusda01,197310090NYK,NYK,game,,41:00,10,20,.500,,,,3,4,.750,,,18,2,,,,4,23,
Bill Bradley,bradlbi01,197310090NYK,NYK,game,,40:00,5,18,.278,,,,4,4,1.000,,,2,6,,,,3,14,
Dick Barnett,barnedi01,197310090NYK,NYK,game,,10:00,1,4,.250,,,,0,0,,1,0,1,0,0,0,,0,2,
Harthorne Wingo,wingoha01,197310090NYK,NYK,game,,7:00,2,3,.667,,,,0,0,,0,0,0,0,0,0,,2,4,
Dean Meminger,meminde01,197310090NYK,NYK,game,,33:00,3,8,.375,,,,1,2,.500,,,5,2,,,,5,7,
Jerry Lucas,lucasje01,197310090NYK,NYK,game,,30:00,5,7,.714,,,,3,5,.600,,,3,8,,,,3,13,
Phil Jackson,jacksph01,197310090NYK,NYK,game,,15:00,2,3,.667,,,,1,3,.333,,,2,1,,,,5,5,
Willis Reed,reedwi01,197310090NYK,NYK,game,,14:00,3,5,.600,,,,0,0,,1,3,4,0,0,0,,4,6,
John Gianelli,gianejo01,197310090NYK,NYK,game,,4:00,0,0,,,,,0,0,,,,1,0,,,,0,0,
Calvin Murphy,murphca01,197310090BUF,HOU,game,True,47:00,15,25,.600,,,,1,2,.500,,,3,10,,,,3,31,
Jack Marin,marinja01,197310090BUF,HOU,game,True,42:00,9,20,.450,,,,0,0,,,,4,5,,,,2,18,
Rudy Tomjanovich,tomjaru01,197310090BUF,HOU,game,True,42:00,7,19,.368,,,,2,2,1.000,,,10,2,,,,3,16,
Otto Moore,mooreot01,197310090BUF,HOU,game,True,42:00,4,9,.444,,,,2,3,.667,,,14,3,1,3,,4,10,
Mike Newlin,newlimi01,197310090BUF,HOU,game,True,28:00,2,12,.167,,,,2,2,1.000,,,2,1,,,,3,6,
Ed Ratleff,ratleed01,197310090BUF,HOU,game,False,32:00,3,10,.300,,,,2,3,.667,,,5,2,,,,2,8,
Zaid Abdul-Aziz,abdulza01,197310090BUF,HOU,game,False,11:00,2,6,.333,,,,4,4,1.000,,,4,1,,,,1,8,
Stan McKenzie,mckenst01,197310090BUF,HOU,game,False,11:00,0,2,.000,,,,0,0,,,,1,1,1,0,,3,0,
Cliff Meely,meelycl01,197310090BUF,HOU,game,False,10:00,3,5,.600,,,,2,2,1.000,,,5,0,,,,0,8,
