Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
194910290TRI,DNN,game,,Bob Brown,brownbo01,,5,,,,,,6,6,1.0,,,,,,,,6.0,16,,
194910290TRI,DNN,game,,Duane Klueh,kluehdu01,,5,,,,,,4,4,1.0,,,,,,,,2.0,14,,
194910290TRI,DNN,game,,Kenny Sailors,sailoke01,,4,,,,,,5,5,1.0,,,,,,,,6.0,13,,
194910290TRI,DNN,game,,Bob Royer,royerbo01,,4,,,,,,2,2,1.0,,,,,,,,1.0,10,,
194910290TRI,DNN,game,,Ed Bartels,barteed01,,2,,,,,,5,5,1.0,,,,,,,,3.0,9,,
194910290TRI,DNN,game,,Al Guokas,guokaal01,,3,,,,,,1,2,0.5,,,,,,,,4.0,7,,
194910290TRI,DNN,game,,Jack Cotton,cottoja01,,2,,,,,,2,4,0.5,,,,,,,,6.0,6,,
194910290TRI,DNN,game,,Earl Dodd,doddea01,,2,,,,,,0,0,,,,,,,,,3.0,4,,
194910290TRI,DNN,game,,Jack Toomay,toomaja01,,1,,,,,,2,2,1.0,,,,,,,,3.0,4,,
194910290TRI,DNN,game,,Jim Browne,brownji01,,1,,,,,,0,0,,,,,,,,,1.0,2,,
194910290TRI,TRI,game,,Billy Hassett,hassebi01,,4,,,,,,7,8,0.875,,,,,,,,1.0,15,,
194910290TRI,TRI,game,,Whitey Von Nieda,vonniwh01,,5,,,,,,4,5,0.8,,,,,,,,3.0,14,,
194910290TRI,TRI,game,,Dike Eddleman,eddledi01,,6,,,,,,1,3,0.333,,,,,,,,4.0,13,,
194910290TRI,TRI,game,,Don Otten,ottendo01,,3,,,,,,6,10,0.6,,,,,,,,2.0,12,,
194910290TRI,TRI,game,,Jack Kerris,kerrija01,,3,,,,,,3,4,0.75,,,,,,,,4.0,9,,
194910290TRI,TRI,game,,Murray Wier,wiermu01,,2,,,,,,3,5,0.6,,,,,,,,3.0,7,,
194910290TRI,TRI,game,,Dee Gibson,gibsode01,,2,,,,,,2,4,0.5,,,,,,,,1.0,6,,
194910290TRI,TRI,game,,Don Ray,raydo01,,2,,,,,,2,3,0.667,,,,,,,,3.0,6,,
194910290TRI,TRI,game,,Warren Perkins,perkiwa01,,2,,,,,,1,1,1.0,,,,,,,,6.0,5,,
194910290TRI,TRI,game,,Gene Berce,bercege01,,2,,,,,,0,1,0.0,,,,,,,,1.0,4,,
194910290TRI,TRI,game,,Red Owens,owensre01,,1,,,,,,0,0,,,,,,,,,3.0,2,,
194910290TRI,TRI,game,,Mac Otten,ottenma01,,0,,,,,,0,0,,,,,,,,,0.0,0,,
194911010INO,DNN,game,,Duane Klueh,kluehdu01,,5,,,,,,5,5,1.0,,,,,,,,,15,,
194911010INO,DNN,game,,Bob Royer,royerbo01,,4,,,,,,2,3,0.667,,,,,,,,,10,,
194911010INO,DNN,game,,Bob Brown,brownbo01,,2,,,,,,4,4,1.0,,,,,,,,,8,,
194911010INO,DNN,game,,Jack Toomay,toomaja01,,1,,,,,,6,7,0.857,,,,,,,,,8,,
