Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196510150SFW,LAL,game,,Jerry West,westje01,41:00,13,28.0,0.464,,,,10,13,0.769,,,8.0,6.0,,,,5.0,36,,
196510150SFW,LAL,game,,Rudy LaRusso,larusru01,40:00,10,16.0,0.625,,,,3,5,0.6,,,9.0,4.0,,,,2.0,23,,
196510150SFW,LAL,game,,Elgin Baylor,bayloel01,32:00,2,11.0,0.182,,,,4,6,0.667,,,7.0,3.0,,,,1.0,8,,
196510150SFW,LAL,game,,Gene Wiley,wileyge01,32:00,2,7.0,0.286,,,,0,0,,,,13.0,0.0,,,,2.0,4,,
196510150SFW,LAL,game,,Walt Hazzard,abdulma01,28:00,6,15.0,0.4,,,,2,2,1.0,,,3.0,5.0,,,,4.0,14,,
196510150SFW,LAL,game,,Leroy Ellis,ellisle01,24:00,10,11.0,0.909,,,,2,2,1.0,,,9.0,0.0,,,,2.0,22,,
196510150SFW,LAL,game,,Jim King,kingji01,20:00,3,6.0,0.5,,,,1,2,0.5,,,6.0,4.0,,,,4.0,7,,
196510150SFW,LAL,game,,Darrall Imhoff,imhofda01,16:00,4,4.0,1.0,,,,0,0,,,,3.0,1.0,,,,0.0,8,,
196510150SFW,LAL,game,,Gail Goodrich,goodrga01,7:00,0,3.0,0.0,,,,0,0,,,,0.0,1.0,,,,1.0,0,,
196510150SFW,SFW,game,,Nate Thurmond,thurmna01,46:00,8,17.0,0.471,,,,4,5,0.8,,,27.0,0.0,,,,0.0,20,,
196510150SFW,SFW,game,,Guy Rodgers,rodgegu01,39:00,8,24.0,0.333,,,,6,9,0.667,,,5.0,8.0,,,,2.0,22,,
196510150SFW,SFW,game,,Paul Neumann,neumapa01,36:00,10,16.0,0.625,,,,6,6,1.0,,,3.0,3.0,,,,2.0,26,,
196510150SFW,SFW,game,,Rick Barry,barryri01,29:00,8,20.0,0.4,,,,1,1,1.0,,,10.0,3.0,,,,5.0,17,,
196510150SFW,SFW,game,,Tom Meschery,meschto01,29:00,4,11.0,0.364,,,,1,1,1.0,,,8.0,1.0,,,,4.0,9,,
196510150SFW,SFW,game,,McCoy McLemore,mclemmc01,23:00,3,13.0,0.231,,,,0,0,,,,8.0,2.0,,,,6.0,6,,
196510150SFW,SFW,game,,Keith Erickson,erickke01,15:00,3,10.0,0.3,,,,1,2,0.5,,,5.0,2.0,,,,2.0,7,,
196510150SFW,SFW,game,,Gary Phillips,phillga01,11:00,0,2.0,0.0,,,,0,0,,,,2.0,2.0,,,,1.0,0,,
