Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
197910120DET,IND,game,True,Johnny Davis,davisjo01,41:00,9,22.0,0.409,0,1.0,0.0,10,10,1.0,,,2.0,3.0,6.0,0.0,,2.0,28,,
197910120DET,IND,game,True,Mike Bantom,bantomi01,32:00,4,7.0,0.571,0,0.0,,1,2,0.5,,,2.0,2.0,,2.0,4.0,6.0,9,,
197910120DET,IND,game,True,Mickey Johnson,johnsmi01,31:00,9,16.0,0.563,0,0.0,,2,2,1.0,,,6.0,2.0,,0.0,,5.0,20,,
197910120DET,IND,game,True,Billy Knight,knighbi01,26:00,1,3.0,0.333,0,0.0,,3,4,0.75,,,3.0,3.0,,0.0,,1.0,5,,
197910120DET,IND,game,True,James Edwards,edwarja01,21:00,3,11.0,0.273,0,0.0,,3,4,0.75,,,5.0,0.0,,0.0,,4.0,9,,
197910120DET,IND,game,False,Alex English,englial01,33:00,10,18.0,0.556,0,0.0,,2,2,1.0,,,8.0,2.0,,1.0,4.0,3.0,22,,
197910120DET,IND,game,False,Dudley Bradley,bradldu01,22:00,2,7.0,0.286,0,0.0,,4,4,1.0,,,4.0,7.0,,0.0,,2.0,8,,
197910120DET,IND,game,False,Tony Zeno,zenoto01,18:00,1,5.0,0.2,0,0.0,,0,0,,,,4.0,0.0,,1.0,,5.0,2,,
197910120DET,IND,game,False,Clemon Johnson,johnscl01,9:00,1,3.0,0.333,0,0.0,,0,0,,,,4.0,0.0,,0.0,,2.0,2,,
197910120DET,IND,game,False,Brad Davis,davisbr01,7:00,0,0.0,,0,0.0,,0,0,,0.0,0.0,0.0,1.0,,0.0,,0.0,0,,
197910120DET,DET,game,True,Jim McElroy,mcelrji01,43:00,4,9.0,0.444,0,0.0,,4,5,0.8,,,2.0,10.0,,0.0,,2.0,12,,
197910120DET,DET,game,True,Bob Lanier,laniebo01,38:00,6,9.0,0.667,0,0.0,,8,9,0.889,,,10.0,1.0,,4.0,,6.0,20,,
197910120DET,DET,game,True,Bob McAdoo,mcadobo01,36:00,11,18.0,0.611,0,0.0,,1,2,0.5,,,7.0,5.0,3.0,0.0,9.0,2.0,23,,
197910120DET,DET,game,True,John Long,longjo01,35:00,7,12.0,0.583,0,1.0,0.0,1,2,0.5,,,5.0,3.0,,0.0,,2.0,15,,
197910120DET,DET,game,True,John Shumate,shumajo01,25:00,9,13.0,0.692,0,0.0,,2,2,1.0,,,8.0,2.0,,0.0,,4.0,20,,
197910120DET,DET,game,False,Greg Kelser,kelsegr01,24:00,7,13.0,0.538,0,0.0,,4,6,0.667,,,8.0,2.0,,0.0,,5.0,18,,
197910120DET,DET,game,False,Terry Tyler,tylerte01,13:00,0,5.0,0.0,0,0.0,,0,0,,,,1.0,0.0,,0.0,,2.0,0,,
197910120DET,DET,game,False,Roy Hamilton,hamilro01,12:00,0,1.0,0.0,0,0.0,,0,0,,,,2.0,2.0,,0.0,,0.0,0,,
197910120DET,DET,game,False,Leon Douglas,douglle01,7:00,0,0.0,,0,0.0,,3,4,0.75,,,3.0,0.0,,0.0,,0.0,3,,
197910120DET,DET,game,False,Terry Duerod,duerote01,6:00,1,3.0,0.333,0,0.0,,0,0,,,,1.0,2.0,,0.0,,0.0,2,,
197910120DET,DET,game,False,Phil Hubbard,hubbaph01,1:00,0,1.0,0.0,0,0.0,,1,2,0.5,,,1.0,0.0,,0.0,,0.0,1,,
197910120ATL,NYK,game,True,Bill Cartwright,cartwbi01,37:00,6,10.0,0.6,0,0.0,,10,11,0.909,,,6.0,0.0,,2.0,,3.0,22,,
197910120ATL,NYK,game,True,Toby Knight,knighto01,34:00,8,16.0,0.5,0,0.0,,0,0,,,,8.0,3.0,,0.0,,3.0,16,,
197910120ATL,NYK,game,True,Joe Meriweather,meriwjo01,28:00,5,6.0,0.833,0,0.0,,2,3,0.667,,,6.0,1.0,,1.0,,4.0,12,,
197910120ATL,NYK,game,True,Micheal Ray Richardson,richami01,27:00,4,7.0,0.571,0,0.0,,2,3,0.667,,,5.0,6.0,,0.0,,3.0,10,,
197910120ATL,NYK,game,True,Ray Williams,willira01,24:00,1,7.0,0.143,0,0.0,,2,2,1.0,,,2.0,3.0,,0.0,5.0,1.0,4,,
197910120ATL,NYK,game,False,Mike Glenn,glennmi01,22:00,7,13.0,0.538,0,0.0,,3,3,1.0,0.0,0.0,0.0,1.0,,0.0,,1.0,17,,
197910120ATL,NYK,game,False,Sly Williams,willisl01,20:00,3,10.0,0.3,0,1.0,0.0,0,0,,,,6.0,2.0,,0.0,,3.0,6,,
197910120ATL,NYK,game,False,Jim Cleamons,cleamji01,17:00,2,8.0,0.25,0,1.0,0.0,4,4,1.0,,,3.0,2.0,,0.0,,0.0,8,,
197910120ATL,NYK,game,False,Larry Demic,demicla01,15:00,1,3.0,0.333,0,0.0,,3,4,0.75,,,2.0,1.0,,0.0,,3.0,5,,
197910120ATL,NYK,game,False,Geoff Huston,hustoge01,10:00,0,2.0,0.0,0,0.0,,1,2,0.5,,,1.0,0.0,,0.0,,0.0,1,,
197910120ATL,NYK,game,False,Hollis Copeland,copelho01,6:00,1,3.0,0.333,0,0.0,,1,2,0.5,,,3.0,0.0,,0.0,,2.0,3,,
197910120ATL,ATL,game,True,Armond Hill,hillar01,32:00,4,5.0,0.8,0,0.0,,1,2,0.5,,,1.0,3.0,,0.0,,4.0,9,,
197910120ATL,ATL,game,True,Steve Hawes,hawesst01,30:00,7,10.0,0.7,0,0.0,,6,7,0.857,,,6.0,5.0,,0.0,,6.0,20,,
197910120ATL,ATL,game,True,Dan Roundfield,roundda01,26:00,5,10.0,0.5,0,0.0,,5,6,0.833,,,12.0,6.0,,1.0,,4.0,15,,
197910120ATL,ATL,game,True,Eddie Johnson,johnsed02,25:00,8,15.0,0.533,0,0.0,,3,4,0.75,,,2.0,4.0,,0.0,,3.0,19,,
197910120ATL,ATL,game,True,John Drew,drewjo01,24:00,8,20.0,0.4,0,0.0,,1,2,0.5,,,6.0,0.0,,0.0,,5.0,17,,
197910120ATL,ATL,game,False,Tom McMillen,mcmilto01,29:00,6,10.0,0.6,0,0.0,,2,2,1.0,,,5.0,2.0,,2.0,,1.0,14,,
197910120ATL,ATL,game,False,Terry Furlow,furlote01,22:00,8,16.0,0.5,0,0.0,,2,2,1.0,,,3.0,9.0,,0.0,,2.0,18,,
197910120ATL,ATL,game,False,Jack Givens,givenja01,18:00,2,6.0,0.333,0,0.0,,1,2,0.5,,,8.0,0.0,,0.0,,1.0,5,,
197910120ATL,ATL,game,False,Tree Rollins,rollitr01,17:00,1,1.0,1.0,0,0.0,,0,0,,,,5.0,0.0,,1.0,,4.0,2,,
197910120ATL,ATL,game,False,Charlie Criss,crissch01,15:00,0,0.0,,0,0.0,,0,0,,,,1.0,4.0,,0.0,,3.0,0,,
197910120ATL,ATL,game,False,Ron Lee,leero01,2:00,1,2.0,0.5,0,0.0,,0,0,,0.0,0.0,0.0,1.0,,0.0,,1.0,2,,
197910120BOS,HOU,game,True,Moses Malone,malonmo01,39:00,10,17.0,0.588,0,0.0,,11,14,0.786,7.0,9.0,16.0,2.0,0.0,1.0,6.0,2.0,31,,
