Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PER GAME MP,PER GAME  PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,Player Reference,League,Season
Scotty Hopson,201404020ORL,24,1,2,7,0,4,0,2,1,2,0,0,1,1,0,0,0,1,.000,.000,.500,3.5,0.5,0.0,0.5,0.5,0.0,hopsosc01,NBA,2013-2014
Robbie Hummel,201311010MIN,24,1,53,655,67,177,32,89,15,16,35,132,23,16,2,10,57,181,.379,.360,.938,12.4,3.4,2.5,0.4,0.3,0.0,hummero01,NBA,2013-2014
Sergey Karasev,201311020IND,20,1,22,156,12,35,4,19,9,10,0,16,6,3,1,11,22,37,.343,.211,.900,7.1,1.7,0.7,0.3,0.1,0.0,karasse01,NBA,2013-2014
Ryan Kelly,201311050DAL,22,1,59,1312,157,371,48,142,110,135,42,219,95,32,45,47,147,472,.423,.338,.815,22.2,8.0,3.7,1.6,0.5,0.8,kellyry01,NBA,2013-2014
Ognjen Kuzmić,201310300GSW,23,1,21,92,5,13,0,0,5,11,10,21,2,3,4,10,17,15,.385,,.455,4.4,0.7,1.0,0.1,0.1,0.2,kuzmiog01,NBA,2013-2014
Shane Larkin,201311180DAL,21,1,48,489,52,137,12,38,16,25,11,42,71,26,1,39,46,132,.380,.316,.640,10.2,2.8,0.9,1.5,0.5,0.0,larkish01,NBA,2013-2014
Ricky Ledo,201311010HOU,21,1,11,33,6,17,3,8,4,4,0,2,2,1,0,2,2,19,.353,.375,1.000,3.0,1.7,0.2,0.2,0.1,0.0,ledori01,NBA,2013-2014
Alex Len,201310300PHO,20,1,42,362,33,78,0,0,20,31,39,99,4,4,18,26,68,86,.423,,.645,8.6,2.0,2.4,0.1,0.1,0.4,lenal01,NBA,2013-2014
Ray McCallum,201312060SAC,22,1,45,897,113,300,22,59,32,43,18,79,120,22,9,39,69,280,.377,.373,.744,19.9,6.2,1.8,2.7,0.5,0.2,mccalra01,NBA,2013-2014
CJ McCollum,201401080POR,22,1,38,476,74,178,30,80,23,34,7,48,27,14,2,35,53,201,.416,.375,.676,12.5,5.3,1.3,0.7,0.4,0.1,mccolcj01,NBA,2013-2014
Ben McLemore,201310300SAC,20,1,82,2187,255,679,95,297,115,143,53,235,82,45,18,96,201,720,.376,.320,.804,26.7,8.8,2.9,1.0,0.5,0.2,mclembe01,NBA,2013-2014
Gal Mekel,201310300DAL,25,1,31,292,30,86,5,20,8,12,5,27,63,4,1,31,31,73,.349,.250,.667,9.4,2.4,0.9,2.0,0.1,0.0,mekelga01,NBA,2013-2014
Tony Mitchell,201310300DET,21,1,21,79,5,12,1,1,11,19,15,26,2,6,3,4,9,22,.417,1.000,.579,3.8,1.0,1.2,0.1,0.3,0.1,mitchto02,NBA,2013-2014
Tony Mitchell,201403050MIL,24,1,3,10,3,5,0,1,0,0,1,1,1,1,0,0,0,6,.600,.000,,3.3,2.0,0.3,0.3,0.3,0.0,mitchto03,NBA,2013-2014
Shabazz Muhammad,201311010MIN,21,1,37,290,57,124,3,11,26,40,24,53,6,8,1,16,24,143,.460,.273,.650,7.8,3.9,1.4,0.2,0.2,0.0,muhamsh01,NBA,2013-2014
Erik Murphy,201311060IND,23,1,24,62,3,13,0,3,0,0,2,8,2,0,4,2,7,6,.231,.000,,2.6,0.3,0.3,0.1,0.0,0.2,murpher01,NBA,2013-2014
Toure' Murry,201311080CHA,24,1,51,373,56,129,5,12,23,39,13,44,49,19,1,34,46,140,.434,.417,.590,7.3,2.7,0.9,1.0,0.4,0.0,murryto01,NBA,2013-2014
Mike Muscala,201403020PHO,22,1,20,215,31,73,0,3,14,14,17,52,7,3,10,12,29,76,.425,.000,1.000,10.8,3.8,2.6,0.4,0.2,0.5,muscami01,NBA,2013-2014
Nemanja Nedović,201310300GSW,22,1,24,142,8,39,3,18,7,8,3,15,13,0,1,13,13,26,.205,.167,.875,5.9,1.1,0.6,0.5,0.0,0.0,nedovne01,NBA,2013-2014
James Nunnally,201401160ATL,23,1,13,165,15,46,8,25,6,9,1,19,8,6,2,7,11,44,.326,.320,.667,12.7,3.4,1.5,0.6,0.5,0.2,nunnaja01,NBA,2013-2014
Victor Oladipo,201310290IND,21,1,80,2487,392,936,74,226,248,318,43,329,327,129,37,256,210,1106,.419,.327,.780,31.1,13.8,4.1,4.1,1.6,0.5,oladivi01,NBA,2013-2014
Kelly Olynyk,201310300TOR,22,1,70,1400,234,502,40,114,99,122,140,365,109,35,27,106,227,607,.466,.351,.811,20.0,8.7,5.2,1.6,0.5,0.4,olynyke01,NBA,2013-2014
Arinze Onuaku,201310300NOP,26,1,5,30,1,5,0,0,1,2,2,8,3,0,0,1,3,3,.200,,.500,6.0,0.6,1.6,0.6,0.0,0.0,onuakar01,NBA,2013-2014
Mason Plumlee,201311030ORL,23,1,70,1275,199,302,0,3,122,195,99,308,60,49,55,77,171,520,.659,.000,.626,18.2,7.4,4.4,0.9,0.7,0.8,plumlma01,NBA,2013-2014
Otto Porter Jr.,201312060WAS,20,1,37,319,33,91,4,21,8,12,21,57,10,8,1,14,26,78,.363,.190,.667,8.6,2.1,1.5,0.3,0.2,0.0,porteot01,NBA,2013-2014
Phil Pressey,201310300TOR,22,1,75,1132,78,253,28,106,29,45,20,105,241,68,5,87,97,213,.308,.264,.644,15.1,2.8,1.4,3.2,0.9,0.1,pressph01,NBA,2013-2014
Miroslav Raduljica,201311120MIA,26,1,48,465,68,126,0,0,45,55,54,108,23,7,13,28,84,181,.540,,.818,9.7,3.8,2.3,0.5,0.1,0.3,radulmi01,NBA,2013-2014
Glen Rice Jr.,201311120DAL,23,1,11,109,11,37,5,17,5,7,4,20,7,6,1,9,7,32,.297,.294,.714,9.9,2.9,1.8,0.6,0.5,0.1,ricegl02,NBA,2013-2014
Andre Roberson,201311010MIN,22,1,40,399,33,68,2,13,7,10,36,94,15,19,10,19,74,75,.485,.154,.700,10.0,1.9,2.4,0.4,0.5,0.3,roberan03,NBA,2013-2014
Dennis Schröder,201310300DAL,20,1,49,641,72,188,10,42,29,43,5,60,93,17,0,61,54,183,.383,.238,.674,13.1,3.7,1.2,1.9,0.3,0.0,schrode01,NBA,2013-2014
Peyton Siva,201310300DET,23,1,24,224,18,57,7,25,11,15,2,14,34,9,1,18,27,54,.316,.280,.733,9.3,2.3,0.6,1.4,0.4,0.0,sivape01,NBA,2013-2014
Chris Smith,201312250NYK,26,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,smithch05,NBA,2013-2014
Tony Snell,201310290MIA,22,1,77,1231,129,336,57,178,31,41,19,124,68,29,15,44,84,346,.384,.320,.756,16.0,4.5,1.6,0.9,0.4,0.2,snellto01,NBA,2013-2014
James Southerland,201311290CHA,23,1,4,30,5,15,3,6,1,2,0,8,0,1,2,1,3,14,.333,.500,.500,7.5,3.5,2.0,0.0,0.3,0.5,southja01,NBA,2013-2014
D.J. Stephens,201403290MIL,23,1,3,15,3,7,0,0,1,1,1,5,0,0,0,0,0,7,.429,,1.000,5.0,2.3,1.7,0.0,0.0,0.0,stephdj01,NBA,2013-2014
Adonis Thomas,201403010MIA,20,1,6,37,6,14,1,5,1,1,0,3,3,0,0,1,6,14,.429,.200,1.000,6.2,2.3,0.5,0.5,0.0,0.0,thomaad01,NBA,2013-2014
Hollis Thompson,201311010WAS,22,1,77,1742,171,372,67,167,52,73,73,247,73,53,12,60,144,461,.460,.401,.712,22.6,6.0,3.2,0.9,0.7,0.2,thompho01,NBA,2013-2014
Casper Ware,201403240SAS,24,1,9,116,18,42,7,21,5,6,0,9,10,8,0,5,11,48,.429,.333,.833,12.9,5.3,1.0,1.1,0.9,0.0,wareca01,NBA,2013-2014
Royce White,201403210SAC,22,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,.000,,,3.0,0.0,0.0,0.0,0.0,0.0,whitero03,NBA,2013-2014
Jeff Withey,201311010ORL,23,1,58,684,69,129,0,1,52,73,49,150,26,15,50,20,73,190,.535,.000,.712,11.8,3.3,2.6,0.4,0.3,0.9,witheje01,NBA,2013-2014
Nate Wolters,201310300NYK,22,1,58,1309,170,389,18,62,59,90,33,149,187,35,15,57,67,417,.437,.290,.656,22.6,7.2,2.6,3.2,0.6,0.3,woltena01,NBA,2013-2014
Cody Zeller,201310300HOU,21,1,82,1416,172,404,0,1,146,200,118,353,92,40,41,87,170,490,.426,.000,.730,17.3,6.0,4.3,1.1,0.5,0.5,zelleco01,NBA,2013-2014
Quincy Acy,201211070DAL,22,1,29,342,42,75,1,2,31,38,30,77,11,13,15,17,53,116,.560,.500,.816,11.8,4.0,2.7,0.4,0.4,0.5,acyqu01,NBA,2012-2013
Josh Akognon,201304100DAL,26,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,.500,.500,,3.0,1.7,0.3,0.3,0.0,0.0,akognjo01,NBA,2012-2013
Harrison Barnes,201210310PHO,20,1,81,2058,276,628,52,145,144,190,53,333,98,52,14,101,140,748,.439,.359,.758,25.4,9.2,4.1,1.2,0.6,0.2,barneha02,NBA,2012-2013
Will Barton,201211020OKC,22,1,73,894,118,309,9,65,50,65,36,145,58,34,9,60,56,295,.382,.138,.769,12.2,4.0,2.0,0.8,0.5,0.1,bartowi01,NBA,2012-2013
Aron Baynes,201301250DAL,26,1,16,141,18,36,0,1,7,12,12,32,5,1,6,11,23,43,.500,.000,.583,8.8,2.7,2.0,0.3,0.1,0.4,baynear01,NBA,2012-2013
Kent Bazemore,201211090LAL,23,1,61,267,43,116,10,34,27,44,5,22,22,17,4,18,27,123,.371,.294,.614,4.4,2.0,0.4,0.4,0.3,0.1,bazemke01,NBA,2012-2013
Bradley Beal,201210300CLE,19,1,56,1745,282,687,91,236,125,159,43,211,137,50,29,90,113,780,.410,.386,.786,31.2,13.9,3.8,2.4,0.9,0.5,bealbr01,NBA,2012-2013
Patrick Beverley,201301150HOU,24,1,41,713,79,189,36,96,34,41,45,109,117,37,21,44,83,228,.418,.375,.829,17.4,5.6,2.7,2.9,0.9,0.5,beverpa01,NBA,2012-2013
Victor Claver,201211030HOU,24,1,49,812,74,189,25,87,14,30,31,119,43,26,12,43,75,187,.392,.287,.467,16.6,3.8,2.4,0.9,0.5,0.2,clavevi01,NBA,2012-2013
Chris Copeland,201211020NYK,28,1,56,862,182,380,59,140,63,83,34,119,27,16,12,50,104,486,.479,.421,.759,15.4,8.7,2.1,0.5,0.3,0.2,copelch01,NBA,2012-2013
Jae Crowder,201210300LAL,22,1,78,1353,141,367,63,192,47,73,35,187,94,63,17,49,128,392,.384,.328,.644,17.3,5.0,2.4,1.2,0.8,0.2,crowdja01,NBA,2012-2013
Jared Cunningham,201210310UTA,21,1,8,26,6,14,2,3,2,2,1,3,1,1,0,2,3,16,.429,.667,1.000,3.3,2.0,0.4,0.1,0.1,0.0,cunnija01,NBA,2012-2013
Anthony Davis,201210310NOH,19,1,64,1846,349,676,0,6,169,225,165,522,63,75,112,89,158,867,.516,.000,.751,28.8,13.5,8.2,1.0,1.2,1.8,davisan02,NBA,2012-2013
Nando De Colo,201211030SAS,25,1,72,920,105,241,31,82,35,44,23,138,138,41,6,81,87,276,.436,.378,.795,12.8,3.8,1.9,1.9,0.6,0.1,decolna01,NBA,2012-2013
Andre Drummond,201210310DET,19,1,60,1243,208,342,1,2,59,159,169,457,30,59,95,57,144,476,.608,.500,.371,20.7,7.9,7.6,0.5,1.0,1.6,drumman01,NBA,2012-2013
Kim English,201210310DET,24,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,.375,.280,.724,9.9,2.9,0.9,0.6,0.4,0.1,engliki01,NBA,2012-2013
Festus Ezeli,201210310PHO,23,1,78,1120,74,169,0,0,43,81,141,313,22,23,74,63,157,191,.438,,.531,14.4,2.4,4.0,0.3,0.3,0.9,ezelife01,NBA,2012-2013
Evan Fournier,201210310PHI,20,1,38,428,75,152,22,54,30,39,6,35,44,19,1,32,65,202,.493,.407,.769,11.3,5.3,0.9,1.2,0.5,0.0,fournev01,NBA,2012-2013
Joel Freeland,201211020OKC,25,1,51,477,58,142,0,0,18,27,40,119,13,13,11,19,67,134,.408,,.667,9.4,2.6,2.3,0.3,0.3,0.2,freeljo01,NBA,2012-2013
Diante Garrett,201211050MIA,24,1,19,149,16,49,3,15,5,10,5,15,31,10,0,16,5,40,.327,.200,.500,7.8,2.1,0.8,1.6,0.5,0.0,garredi02,NBA,2012-2013
Draymond Green,201210310PHO,22,1,79,1061,84,257,14,67,45,55,58,260,53,42,25,51,159,227,.327,.209,.818,13.4,2.9,3.3,0.7,0.5,0.3,greendr01,NBA,2012-2013
Ben Hansbrough,201211050SAS,25,1,28,200,15,45,6,23,21,27,2,18,21,7,2,18,23,57,.333,.261,.778,7.1,2.0,0.6,0.8,0.3,0.1,hansbbe01,NBA,2012-2013
Maurice Harkless,201211070MIN,19,1,76,1974,260,564,32,117,73,128,122,335,50,88,62,69,144,625,.461,.274,.570,26.0,8.2,4.4,0.7,1.2,0.8,harklma01,NBA,2012-2013
John Henson,201211070MIL,22,1,63,827,162,336,0,3,56,105,116,297,31,19,42,47,83,380,.482,.000,.533,13.1,6.0,4.7,0.5,0.3,0.7,hensojo01,NBA,2012-2013
Justin Holiday,201304030CHA,23,1,9,142,16,48,4,16,6,8,0,14,15,3,6,9,7,42,.333,.250,.750,15.8,4.7,1.6,1.7,0.3,0.7,holidju01,NBA,2012-2013
Bernard James,201210310UTA,27,1,46,457,53,103,0,2,25,41,52,131,6,12,38,18,64,131,.515,.000,.610,9.9,2.8,2.8,0.1,0.3,0.8,jamesbe01,NBA,2012-2013
John Jenkins,201211110LAC,21,1,61,902,131,294,53,138,59,70,17,94,56,12,10,40,37,374,.446,.384,.843,14.8,6.1,1.5,0.9,0.2,0.2,jenkijo01,NBA,2012-2013
Chris Johnson,201301230MEM,22,1,8,102,11,25,6,18,1,2,5,11,2,4,0,3,5,29,.440,.333,.500,12.8,3.6,1.4,0.3,0.5,0.0,johnsch04,NBA,2012-2013
Orlando Johnson,201211050SAS,23,1,51,619,72,180,36,94,23,32,20,110,47,11,9,29,51,203,.400,.383,.719,12.1,4.0,2.2,0.9,0.2,0.2,johnsor01,NBA,2012-2013
Darius Johnson-Odom,201211090LAL,23,1,4,6,0,4,0,1,0,0,1,4,1,0,0,0,0,0,.000,.000,,1.5,0.0,1.0,0.3,0.0,0.0,johnsda03,NBA,2012-2013
DeQuan Jones,201211040ORL,22,1,63,803,95,218,9,35,34,51,17,105,16,19,22,30,55,233,.436,.257,.667,12.7,3.7,1.7,0.3,0.3,0.3,jonesde01,NBA,2012-2013
Kevin Jones,201212070MIN,23,1,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,.402,,.600,10.4,3.0,2.4,0.3,0.3,0.2,joneske01,NBA,2012-2013
Perry Jones,201211020OKC,21,1,38,280,39,99,0,2,10,15,12,62,10,5,6,15,23,88,.394,.000,.667,7.4,2.3,1.6,0.3,0.1,0.2,jonespe01,NBA,2012-2013
Terrence Jones,201211100HOU,21,1,19,276,43,94,5,19,13,17,28,65,15,12,19,13,21,104,.457,.263,.765,14.5,5.5,3.4,0.8,0.6,1.0,joneste01,NBA,2012-2013
Kris Joseph,201211020BOS,24,1,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,.143,.000,.625,5.4,0.9,0.7,0.1,0.3,0.0,josepkr01,NBA,2012-2013
Michael Kidd-Gilchrist,201211020CHA,19,1,78,2025,281,613,2,9,140,187,131,455,117,54,70,101,164,704,.458,.222,.749,26.0,9.0,5.8,1.5,0.7,0.9,kiddgmi01,NBA,2012-2013
Viacheslav Kravtsov,201212210DET,25,1,25,224,33,46,0,0,11,37,24,45,9,5,9,14,32,77,.717,,.297,9.0,3.1,1.8,0.4,0.2,0.4,kravtvi01,NBA,2012-2013
Doron Lamb,201211020BOS,21,1,47,577,60,163,14,37,20,34,8,46,32,13,0,26,52,154,.368,.378,.588,12.3,3.3,1.0,0.7,0.3,0.0,lambdo01,NBA,2012-2013
Jeremy Lamb,201211020OKC,20,1,23,147,24,68,9,30,14,14,5,18,5,2,2,6,13,71,.353,.300,1.000,6.4,3.1,0.8,0.2,0.1,0.1,lambje01,NBA,2012-2013
Meyers Leonard,201210310POR,20,1,69,1206,151,277,3,7,72,89,80,255,33,11,38,49,168,377,.545,.429,.809,17.5,5.5,3.7,0.5,0.2,0.6,leoname01,NBA,2012-2013
Damian Lillard,201210310POR,22,1,82,3167,553,1288,185,503,271,321,42,257,531,74,19,243,172,1562,.429,.368,.844,38.6,19.0,3.1,6.5,0.9,0.2,lillada01,NBA,2012-2013
Scott Machado,201211280OKC,22,1,6,21,3,6,0,1,2,2,0,1,6,2,0,8,0,8,.500,.000,1.000,3.5,1.3,0.2,1.0,0.3,0.0,machasc01,NBA,2012-2013
Kendall Marshall,201211040ORL,21,1,48,702,56,151,23,73,8,14,4,42,143,22,4,57,48,143,.371,.315,.571,14.6,3.0,0.9,3.0,0.5,0.1,marshke01,NBA,2012-2013
Fab Melo,201302010BOS,22,1,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,.500,,.250,6.0,1.2,0.5,0.0,0.3,0.3,melofa01,NBA,2012-2013
Khris Middleton,201211100HOU,21,1,27,475,62,141,14,45,27,32,4,50,28,15,4,11,53,165,.440,.311,.844,17.6,6.1,1.9,1.0,0.6,0.1,middlkh01,NBA,2012-2013
Darius Miller,201210310NOH,22,1,52,694,44,108,22,56,8,8,8,78,44,17,12,23,89,118,.407,.393,1.000,13.3,2.3,1.5,0.8,0.3,0.2,milleda01,NBA,2012-2013
Quincy Miller,201212160SAC,20,1,7,26,4,12,0,1,1,2,1,2,3,1,0,1,3,9,.333,.000,.500,3.7,1.3,0.3,0.4,0.1,0.0,millequ01,NBA,2012-2013
Donatas Motiejūnas,201211100HOU,22,1,44,538,97,213,24,83,32,51,36,93,31,7,10,37,73,250,.455,.289,.627,12.2,5.7,2.1,0.7,0.2,0.2,motiedo01,NBA,2012-2013
Arnett Moultrie,201211050PHI,22,1,47,542,78,134,0,0,18,28,76,145,10,17,10,19,43,174,.582,,.643,11.5,3.7,3.1,0.2,0.4,0.2,moultar01,NBA,2012-2013
Kevin Murphy,201210310UTA,22,1,17,52,7,28,1,5,0,0,0,4,2,1,0,3,4,15,.250,.200,,3.1,0.9,0.2,0.1,0.1,0.0,murphke01,NBA,2012-2013
Andrew Nicholson,201211020ORL,23,1,75,1249,256,486,0,0,75,94,69,258,44,24,32,79,133,587,.527,,.798,16.7,7.8,3.4,0.6,0.3,0.4,nichoan01,NBA,2012-2013
Kyle O'Quinn,201211020ORL,22,1,57,638,101,197,0,1,30,45,65,209,52,11,26,37,107,232,.513,.000,.667,11.2,4.1,3.7,0.9,0.2,0.5,oquinky01,NBA,2012-2013
Tim Ohlbrecht,201303030HOU,24,1,3,12,1,3,0,0,1,1,0,1,1,1,0,4,1,3,.333,,1.000,4.0,1.0,0.3,0.3,0.3,0.0,ohlbrti01,NBA,2012-2013
Miles Plumlee,201211050SAS,24,1,14,55,5,21,0,0,3,4,12,22,2,0,3,3,5,13,.238,,.750,3.9,0.9,1.6,0.1,0.0,0.2,plumlmi01,NBA,2012-2013
Pablo Prigioni,201211020NYK,35,1,78,1263,100,220,53,134,22,25,41,143,236,69,2,86,127,275,.455,.396,.880,16.2,3.5,1.8,3.0,0.9,0.0,prigipa01,NBA,2012-2013
Austin Rivers,201210310NOH,20,1,61,1418,145,390,28,86,59,108,16,109,127,26,9,74,122,377,.372,.326,.546,23.2,6.2,1.8,2.1,0.4,0.1,riverau01,NBA,2012-2013
Brian Roberts,201210310NOH,27,1,78,1324,213,511,59,153,70,77,17,97,219,37,3,71,108,555,.417,.386,.909,17.0,7.1,1.2,2.8,0.5,0.0,roberbr01,NBA,2012-2013
Thomas Robinson,201210310CHI,21,1,70,1056,138,321,0,1,57,109,122,315,46,41,26,88,124,333,.430,.000,.523,15.1,4.8,4.5,0.7,0.6,0.4,robinth01,NBA,2012-2013
Terrence Ross,201210310TOR,21,1,73,1239,186,457,65,196,30,42,35,144,53,43,14,48,122,467,.407,.332,.714,17.0,6.4,2.0,0.7,0.6,0.2,rosste01,NBA,2012-2013
Robert Sacre,201210310POR,23,1,32,203,18,48,0,0,7,11,9,34,6,0,10,10,38,43,.375,,.636,6.3,1.3,1.1,0.2,0.0,0.3,sacrero01,NBA,2012-2013
Mike Scott,201211110LAC,24,1,40,376,70,147,0,1,43,56,39,110,12,4,2,21,32,183,.476,.000,.768,9.4,4.6,2.8,0.3,0.1,0.1,scottmi01,NBA,2012-2013
Tornike Shengelia,201211070MIA,21,1,19,93,10,23,1,2,9,16,9,23,3,3,1,11,11,30,.435,.500,.563,4.9,1.6,1.2,0.2,0.2,0.1,shengto01,NBA,2012-2013
Alexey Shved,201211020MIN,24,1,77,1840,236,635,85,288,108,150,41,175,286,54,27,147,117,665,.372,.295,.720,23.9,8.6,2.3,3.7,0.7,0.4,shvedal01,NBA,2012-2013
Henry Sims,201303040NOH,22,1,2,5,2,3,0,0,0,0,2,2,0,0,0,1,1,4,.667,,,2.5,2.0,1.0,0.0,0.0,0.0,simshe01,NBA,2012-2013
Kyle Singler,201210310DET,24,1,82,2293,275,642,70,200,100,124,109,330,77,57,37,98,217,720,.428,.350,.806,28.0,8.8,4.0,0.9,0.7,0.5,singlky01,NBA,2012-2013
Jared Sullinger,201210300MIA,20,1,45,892,111,225,1,5,47,63,92,264,35,22,22,29,154,270,.493,.200,.746,19.8,6.0,5.9,0.8,0.5,0.5,sullija01,NBA,2012-2013
Jeff Taylor,201211030DAL,23,1,77,1507,172,399,53,154,75,103,51,150,63,47,15,48,136,472,.431,.344,.728,19.6,6.1,1.9,0.8,0.6,0.2,tayloje03,NBA,2012-2013
Tyshawn Taylor,201211050BRK,22,1,38,221,32,87,6,13,15,27,2,18,21,13,0,25,25,85,.368,.462,.556,5.8,2.2,0.5,0.6,0.3,0.0,tayloty01,NBA,2012-2013
Marquis Teague,201211020CLE,19,1,48,392,43,113,4,23,9,16,3,44,63,9,7,35,47,99,.381,.174,.563,8.2,2.1,0.9,1.3,0.2,0.1,teaguma01,NBA,2012-2013
Mirza Teletović,201211050BRK,27,1,53,499,71,185,37,108,9,11,33,95,23,13,8,20,53,188,.384,.343,.818,9.4,3.5,1.8,0.4,0.2,0.2,teletmi01,NBA,2012-2013
Jonas Valančiūnas,201210310TOR,20,1,62,1482,204,366,0,0,146,185,121,372,45,17,78,94,188,554,.557,,.789,23.9,8.9,6.0,0.7,0.3,1.3,valanjo01,NBA,2012-2013
Jarvis Varnado,201212250BRK,24,1,13,58,3,7,0,0,2,4,2,9,3,1,2,6,10,8,.429,,.500,4.5,0.6,0.7,0.2,0.1,0.2,varnaja01,NBA,2012-2013
Dion Waiters,201210300CLE,21,1,61,1756,336,815,63,203,159,213,22,149,183,59,16,121,113,894,.412,.310,.746,28.8,14.7,2.4,3.0,1.0,0.3,waitedi01,NBA,2012-2013
Maalik Wayns,201210310PHI,21,1,27,202,26,88,7,31,17,19,1,7,27,6,0,15,26,76,.295,.226,.895,7.5,2.8,0.3,1.0,0.2,0.0,waynsma01,NBA,2012-2013
Chris Wright,201303150DAL,23,1,3,4,1,2,0,0,0,0,0,0,0,0,0,1,0,2,.500,,,1.3,0.7,0.0,0.0,0.0,0.0,wrighch02,NBA,2012-2013
Tony Wroten,201211070MIL,19,1,35,272,33,86,4,16,21,29,13,28,43,8,4,29,34,91,.384,.250,.724,7.8,2.6,0.8,1.2,0.2,0.1,wroteto01,NBA,2012-2013
Luke Zeller,201211040ORL,25,1,16,58,9,26,1,5,0,0,1,10,3,0,0,0,5,19,.346,.200,,3.6,1.2,0.6,0.2,0.0,0.0,zellelu01,NBA,2012-2013
Tyler Zeller,201210300CLE,23,1,77,2033,245,559,0,4,120,157,159,438,96,35,70,95,251,610,.438,.000,.764,26.4,7.9,5.7,1.2,0.5,0.9,zellety01,NBA,2012-2013
Lavoy Allen,201201070PHI,22,1,41,624,79,167,0,0,11,14,47,171,34,13,18,20,73,169,.473,,.786,15.2,4.1,4.2,0.8,0.3,0.4,allenla01,NBA,2011-2012
Gustavo Ayón,201201010SAC,26,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,.536,.000,.619,20.1,5.9,4.9,1.4,1.0,0.9,ayongu01,NBA,2011-2012
Keith Benson,201203240GSW,23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,.000,,,3.0,0.0,1.0,0.0,0.0,0.0,bensoke02,NBA,2011-2012
Bismack Biyombo,201112260CHA,19,1,63,1455,129,278,0,0,69,143,113,368,27,20,115,71,145,327,.464,,.483,23.1,5.2,5.8,0.4,0.3,1.8,biyombi01,NBA,2011-2012
MarShon Brooks,201112260WAS,23,1,56,1648,274,640,47,150,113,148,70,200,131,52,15,118,116,708,.428,.313,.764,29.4,12.6,3.6,2.3,0.9,0.3,brookma01,NBA,2011-2012
Alec Burks,201112270LAL,20,1,59,939,153,357,15,45,104,143,57,132,55,27,5,51,84,425,.429,.333,.727,15.9,7.2,2.2,0.9,0.5,0.1,burksal01,NBA,2011-2012
Jimmy Butler,201201010CHI,22,1,42,359,32,79,2,11,43,56,23,56,14,11,5,14,20,109,.405,.182,.768,8.5,2.6,1.3,0.3,0.3,0.1,butleji01,NBA,2011-2012
Derrick Byars,201204250PHO,27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,.273,.000,1.000,18.5,5.0,5.5,0.5,1.0,0.0,byarsde01,NBA,2011-2012
Norris Cole,201112250DAL,23,1,65,1260,177,450,21,76,66,85,21,91,133,44,2,105,124,441,.393,.276,.776,19.4,6.8,1.4,2.0,0.7,0.0,coleno01,NBA,2011-2012
Eric Dawson,201202210POR,27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,.583,,.500,9.8,3.8,2.5,0.0,0.3,0.5,dawsoer01,NBA,2011-2012
Justin Dentmon,201203240NOH,26,1,6,91,10,28,2,14,4,6,0,8,10,2,0,7,10,26,.357,.143,.667,15.2,4.3,1.3,1.7,0.3,0.0,dentmju01,NBA,2011-2012
Jerome Dyson,201204110NOH,24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,.396,.125,.778,20.0,7.4,2.1,2.0,1.2,0.2,dysonje01,NBA,2011-2012
Kenneth Faried,201112280DEN,22,1,46,1037,181,309,0,0,109,164,142,352,36,34,47,54,116,471,.586,,.665,22.5,10.2,7.7,0.8,0.7,1.0,farieke01,NBA,2011-2012
Jeff Foote,201203090DEN,24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,.333,,,9.8,1.0,1.5,0.0,0.0,0.3,footeje01,NBA,2011-2012
Courtney Fortson,201201160LAC,23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,.344,.231,.667,9.5,3.5,1.5,1.0,0.3,0.0,fortsco01,NBA,2011-2012
Jimmer Fredette,201112260SAC,22,1,61,1135,172,446,78,216,40,48,17,73,108,30,3,67,73,462,.386,.361,.833,18.6,7.6,1.2,1.8,0.5,0.0,fredeji01,NBA,2011-2012
Enes Freedom,201112270LAL,19,1,66,874,117,236,0,1,70,105,107,278,8,18,23,54,87,304,.496,.000,.667,13.2,4.6,4.2,0.1,0.3,0.3,kanteen01,NBA,2011-2012
Mickell Gladness,201112250DAL,25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,.424,,.500,9.7,2.2,2.2,0.2,0.2,0.8,gladnmi01,NBA,2011-2012
