Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PER GAME MP,PER GAME  PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,Player Reference,League,Season
Xavier Sneed,202112310MEM,24,1,9,39,2,10,1,8,0,0,2,6,1,0,0,0,2,5,.200,.125,,4.3,0.6,0.7,0.1,0.0,0.0,sneedxa01,NBA,2021-2022
Jaden Springer,202110200NOP,19,1,2,6,1,1,0,0,0,0,1,2,0,0,2,1,0,2,1.000,,,3.0,1.0,1.0,0.0,0.0,1.0,sprinja01,NBA,2021-2022
Jalen Suggs,202110200SAS,20,1,48,1307,198,548,42,196,126,163,26,171,209,59,19,143,142,564,.361,.214,.773,27.2,11.8,3.6,4.4,1.2,0.4,suggsja01,NBA,2021-2022
Craig Sword,202112280MIA,28,1,3,19,3,4,0,1,0,0,0,0,1,4,0,1,7,6,.750,.000,,6.3,2.0,0.0,0.3,1.3,0.0,swordcr01,NBA,2021-2022
Keifer Sykes,202112290IND,28,1,32,566,69,190,27,90,15,17,8,45,62,12,4,33,51,180,.363,.300,.882,17.7,5.6,1.4,1.9,0.4,0.1,sykeske01,NBA,2021-2022
Terry Taylor,202201050IND,22,1,33,714,135,220,12,38,36,51,95,172,41,14,8,23,61,318,.614,.316,.706,21.6,9.6,5.2,1.2,0.4,0.2,taylote01,NBA,2021-2022
Jon Teske,202201030BRK,24,1,3,8,0,1,0,0,0,2,0,2,1,1,0,0,1,0,.000,,.000,2.7,0.0,0.7,0.3,0.3,0.0,teskejo01,NBA,2021-2022
Cam Thomas,202110190MIL,20,1,67,1176,218,503,47,174,87,105,16,161,78,33,8,55,66,570,.433,.270,.829,17.6,8.5,2.4,1.2,0.5,0.1,thomaca02,NBA,2021-2022
JT Thor,202110220CLE,19,1,33,262,24,55,7,27,12,20,11,43,19,8,11,10,26,67,.436,.259,.600,7.9,2.0,1.3,0.6,0.2,0.3,thorjt01,NBA,2021-2022
Isaiah Todd,202110250BRK,20,1,12,74,7,26,4,16,2,6,3,12,4,4,2,4,4,20,.269,.250,.333,6.2,1.7,1.0,0.3,0.3,0.2,toddis01,NBA,2021-2022
Franz Wagner,202110200SAS,20,1,79,2429,456,975,96,271,189,219,84,356,231,68,34,119,164,1197,.468,.354,.863,30.7,15.2,4.5,2.9,0.9,0.4,wagnefr01,NBA,2021-2022
Ish Wainright,202111190PHO,27,1,45,359,41,104,19,59,7,12,27,54,15,20,6,13,49,108,.394,.322,.583,8.0,2.4,1.2,0.3,0.4,0.1,wainris01,NBA,2021-2022
M.J. Walker,202112310BOS,23,1,2,8,0,4,0,2,0,0,0,1,1,2,0,0,1,0,.000,.000,,4.0,0.0,0.5,0.5,1.0,0.0,walkemj01,NBA,2021-2022
Duane Washington Jr.,202110290BRK,21,1,48,968,173,427,81,215,46,61,4,83,85,26,3,57,66,473,.405,.377,.754,20.2,9.9,1.7,1.8,0.5,0.1,washidu02,NBA,2021-2022
Lindy Waters III,202202110PHI,24,1,25,465,71,175,53,146,4,5,6,73,24,19,8,11,31,199,.406,.363,.800,18.6,8.0,2.9,1.0,0.8,0.3,waterli01,NBA,2021-2022
Trendon Watford,202111140DEN,21,1,48,869,142,267,9,38,71,94,57,199,81,25,28,44,116,364,.532,.237,.755,18.1,7.6,4.1,1.7,0.5,0.6,watfotr01,NBA,2021-2022
Joe Wieskamp,202111100SAS,22,1,29,205,20,56,14,43,7,13,4,14,9,4,3,2,14,61,.357,.326,.538,7.1,2.1,0.5,0.3,0.1,0.1,wieskjo01,NBA,2021-2022
Aaron Wiggins,202111140OKC,23,1,50,1209,156,337,42,138,62,85,51,178,68,30,10,54,93,416,.463,.304,.729,24.2,8.3,3.6,1.4,0.6,0.2,wiggiaa01,NBA,2021-2022
Lindell Wigginton,202201130MIL,23,1,19,199,26,61,9,26,19,35,3,25,23,5,1,12,17,80,.426,.346,.543,10.5,4.2,1.3,1.2,0.3,0.1,wiggili01,NBA,2021-2022
Brandon Williams,202112270POR,22,1,24,640,105,282,31,106,68,97,19,74,94,24,10,58,52,309,.372,.292,.701,26.7,12.9,3.1,3.9,1.0,0.4,willibr03,NBA,2021-2022
Ziaire Williams,202110200MEM,20,1,62,1346,191,424,76,242,43,55,26,129,65,35,12,41,113,501,.450,.314,.782,21.7,8.1,2.1,1.0,0.6,0.2,willizi02,NBA,2021-2022
McKinley Wright IV,202110200MIN,23,1,5,19,2,3,1,2,0,0,0,0,3,0,0,1,1,5,.667,.500,,3.8,1.0,0.0,0.6,0.0,0.0,wrighmc01,NBA,2021-2022
Moses Wright,202112220SAC,23,1,4,14,1,4,0,1,3,3,1,3,2,0,1,0,0,5,.250,.000,1.000,3.5,1.3,0.8,0.5,0.0,0.3,wrighmo01,NBA,2021-2022
Gabe York,202204090PHI,28,1,2,21,2,7,1,6,3,5,0,2,4,2,1,1,4,8,.286,.167,.600,10.5,4.0,1.0,2.0,1.0,0.5,yorkga01,NBA,2021-2022
Omer Yurtseven,202110210MIA,23,1,56,706,130,247,1,11,38,61,85,294,49,17,20,41,84,299,.526,.091,.623,12.6,5.3,5.3,0.9,0.3,0.4,yurtsom01,NBA,2021-2022
Precious Achiuwa,202012230ORL,21,1,61,737,124,228,0,1,56,110,73,208,29,20,28,43,91,304,.544,.000,.509,12.1,5.0,3.4,0.5,0.3,0.5,achiupr01,NBA,2020-2021
Ty-Shon Alexander,202012270SAC,22,1,15,47,3,12,2,9,1,2,2,10,6,0,1,3,2,9,.250,.222,.500,3.1,0.6,0.7,0.4,0.0,0.1,alexaty01,NBA,2020-2021
Cole Anthony,202012230ORL,20,1,47,1273,219,552,58,172,109,131,38,221,192,30,18,106,98,605,.397,.337,.832,27.1,12.9,4.7,4.1,0.6,0.4,anthoco01,NBA,2020-2021
Deni Avdija,202012230PHI,20,1,54,1257,130,312,53,168,29,45,22,262,63,32,15,33,140,342,.417,.315,.644,23.3,6.3,4.9,1.2,0.6,0.3,avdijde01,NBA,2020-2021
Udoka Azubuike,202012230POR,21,1,15,57,4,9,0,0,8,10,4,13,0,1,4,3,9,16,.444,,.800,3.8,1.1,0.9,0.0,0.1,0.3,azubuud01,NBA,2020-2021
LaMelo Ball,202012230CLE,19,1,51,1469,293,672,92,261,125,165,63,302,313,81,18,145,136,803,.436,.352,.758,28.8,15.7,5.9,6.1,1.6,0.4,ballla01,NBA,2020-2021
Desmond Bane,202012230MEM,22,1,68,1519,234,499,117,271,40,49,31,210,118,41,16,59,125,625,.469,.432,.816,22.3,9.2,3.1,1.7,0.6,0.2,banede01,NBA,2020-2021
Saddiq Bey,202012260DET,21,1,70,1909,279,691,175,460,124,147,43,318,95,52,14,60,110,857,.404,.380,.844,27.3,12.2,4.5,1.4,0.7,0.2,beysa01,NBA,2020-2021
Tyler Bey,202101130CHO,22,1,18,71,7,22,1,4,3,5,8,19,3,0,1,3,6,18,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,0.1,beyty01,NBA,2020-2021
Keljin Blevins,202012230POR,25,1,17,75,5,20,2,8,0,0,3,10,4,2,0,5,8,12,.250,.250,,4.4,0.7,0.6,0.2,0.1,0.0,blevike01,NBA,2020-2021
Amida Brimah,202104250ORL,26,1,5,29,5,8,0,0,3,3,2,8,1,0,5,4,4,13,.625,,1.000,5.8,2.6,1.6,0.2,0.0,1.0,brimaam01,NBA,2020-2021
Armoni Brooks,202104090LAC,22,1,20,520,78,192,60,157,7,12,10,68,30,12,5,22,34,223,.406,.382,.583,26.0,11.2,3.4,1.5,0.6,0.3,brookar01,NBA,2020-2021
Elijah Bryant,202105160CHI,25,1,1,32,6,13,1,5,3,3,2,6,3,0,1,4,4,16,.462,.200,1.000,32.0,16.0,6.0,3.0,0.0,1.0,bryanel01,NBA,2020-2021
Facundo Campazzo,202012230DEN,29,1,65,1425,120,315,76,216,80,91,22,134,232,79,14,73,132,396,.381,.352,.879,21.9,6.1,2.1,3.6,1.2,0.2,campafa01,NBA,2020-2021
Devin Cannady,202104070ORL,24,1,8,74,11,28,6,16,6,7,0,5,1,5,1,2,9,34,.393,.375,.857,9.3,4.3,0.6,0.1,0.6,0.1,cannade01,NBA,2020-2021
Vernon Carey Jr.,202012300DAL,19,1,19,115,18,36,1,7,9,11,6,27,2,1,5,5,13,46,.500,.143,.818,6.1,2.4,1.4,0.1,0.1,0.3,careyve01,NBA,2020-2021
Nate Darling,202103130CHO,22,1,7,26,2,7,2,7,3,3,1,1,1,0,1,1,1,9,.286,.286,1.000,3.7,1.3,0.1,0.1,0.0,0.1,darlina01,NBA,2020-2021
Gabriel Deck,202104290OKC,25,1,10,212,32,67,2,15,18,22,16,40,24,8,0,6,9,84,.478,.133,.818,21.2,8.4,4.0,2.4,0.8,0.0,deckga01,NBA,2020-2021
Mamadi Diakite,202103110MIL,24,1,14,141,16,40,1,8,11,14,8,34,8,7,6,3,16,44,.400,.125,.786,10.1,3.1,2.4,0.6,0.5,0.4,diakima01,NBA,2020-2021
Devon Dotson,202101010MIL,21,1,11,50,11,21,1,7,0,0,2,5,7,4,0,0,3,23,.524,.143,,4.5,2.1,0.5,0.6,0.4,0.0,dotsode01,NBA,2020-2021
Anthony Edwards,202012230MIN,19,1,72,2314,505,1211,171,520,211,272,59,336,211,82,36,160,129,1392,.417,.329,.776,32.1,19.3,4.7,2.9,1.1,0.5,edwaran01,NBA,2020-2021
