Game Reference,Series
197804140NYK,Eastern Conference First Round
197804120WSB,Eastern Conference First Round
197804140ATL,Eastern Conference First Round
197804110PHO,Western Conference First Round
197804140MIL,Western Conference First Round
197804120SEA,Western Conference First Round
197804140LAL,Western Conference First Round
197804160SEA,Western Conference First Round
197905200WSB,Finals
197905240WSB,Finals
197905270SEA,Finals
197905290SEA,Finals
197906010WSB,Finals
197905040WSB,Eastern Conference Finals
197905060WSB,Eastern Conference Finals
197905090SAS,Eastern Conference Finals
197905110SAS,Eastern Conference Finals
197905130WSB,Eastern Conference Finals
197905160SAS,Eastern Conference Finals
197905180WSB,Eastern Conference Finals
197905010SEA,Western Conference Finals
197905040SEA,Western Conference Finals
197905060PHO,Western Conference Finals
197905080PHO,Western Conference Finals
197905110SEA,Western Conference Finals
197905130PHO,Western Conference Finals
197905170SEA,Western Conference Finals
197904150SAS,Eastern Conference Semifinals
197904170SAS,Eastern Conference Semifinals
197904200PHI,Eastern Conference Semifinals
197904220PHI,Eastern Conference Semifinals
197904260SAS,Eastern Conference Semifinals
197904290PHI,Eastern Conference Semifinals
197905020SAS,Eastern Conference Semifinals
197904150WSB,Eastern Conference Semifinals
197904170WSB,Eastern Conference Semifinals
197904200ATL,Eastern Conference Semifinals
197904220ATL,Eastern Conference Semifinals
197904240WSB,Eastern Conference Semifinals
197904260ATL,Eastern Conference Semifinals
197904290WSB,Eastern Conference Semifinals
197904170PHO,Western Conference Semifinals
197904200KCK,Western Conference Semifinals
197904220PHO,Western Conference Semifinals
197904250KCK,Western Conference Semifinals
197904270PHO,Western Conference Semifinals
197904170SEA,Western Conference Semifinals
197904180SEA,Western Conference Semifinals
197904200LAL,Western Conference Semifinals
197904220LAL,Western Conference Semifinals
197904250SEA,Western Conference Semifinals
197904110HOU,Eastern Conference First Round
197904130ATL,Eastern Conference First Round
197904110PHI,Eastern Conference First Round
197904130NJN,Eastern Conference First Round
197904100DEN,Western Conference First Round
197904130LAL,Western Conference First Round
197904150DEN,Western Conference First Round
197904100PHO,Western Conference First Round
197904130POR,Western Conference First Round
197904150PHO,Western Conference First Round
198005040LAL,Finals
198005070LAL,Finals
198005100PHI,Finals
198005110PHI,Finals
198005140LAL,Finals
198005160PHI,Finals
198004180BOS,Eastern Conference Finals
198004200BOS,Eastern Conference Finals
198004230PHI,Eastern Conference Finals
198004250PHI,Eastern Conference Finals
198004270BOS,Eastern Conference Finals
198004220LAL,Western Conference Finals
198004230LAL,Western Conference Finals
198004250SEA,Western Conference Finals
198004270SEA,Western Conference Finals
198004300LAL,Western Conference Finals
198004090BOS,Eastern Conference Semifinals
198004110BOS,Eastern Conference Semifinals
198004130HOU,Eastern Conference Semifinals
198004140HOU,Eastern Conference Semifinals
198004060PHI,Eastern Conference Semifinals
198004090PHI,Eastern Conference Semifinals
198004100ATL,Eastern Conference Semifinals
198004130ATL,Eastern Conference Semifinals
198004150PHI,Eastern Conference Semifinals
198004080LAL,Western Conference Semifinals
198004090LAL,Western Conference Semifinals
198004110PHO,Western Conference Semifinals
198004130PHO,Western Conference Semifinals
198004150LAL,Western Conference Semifinals
198004080SEA,Western Conference Semifinals
198004090SEA,Western Conference Semifinals
198004110MIL,Western Conference Semifinals
198004130MIL,Western Conference Semifinals
198004150SEA,Western Conference Semifinals
198004180MIL,Western Conference Semifinals
198004200SEA,Western Conference Semifinals
198004020HOU,Eastern Conference First Round
198004040SAS,Eastern Conference First Round
198004060HOU,Eastern Conference First Round
198004020PHI,Eastern Conference First Round
198004040WSB,Eastern Conference First Round
198004020PHO,Western Conference First Round
198004040KCK,Western Conference First Round
198004060PHO,Western Conference First Round
198004020SEA,Western Conference First Round
198004040POR,Western Conference First Round
198004060SEA,Western Conference First Round
198105050BOS,Finals
198105070BOS,Finals
198105090HOU,Finals
198105100HOU,Finals
198105120BOS,Finals
198105140HOU,Finals
198104210BOS,Eastern Conference Finals
198104220BOS,Eastern Conference Finals
198104240PHI,Eastern Conference Finals
198104260PHI,Eastern Conference Finals
198104290BOS,Eastern Conference Finals
198105010PHI,Eastern Conference Finals
198105030BOS,Eastern Conference Finals
198104210KCK,Western Conference Finals
198104220KCK,Western Conference Finals
198104240HOU,Western Conference Finals
198104260HOU,Western Conference Finals
198104290KCK,Western Conference Finals
198104050BOS,Eastern Conference Semifinals
198104070BOS,Eastern Conference Semifinals
198104100CHI,Eastern Conference Semifinals
198104120CHI,Eastern Conference Semifinals
198104050PHI,Eastern Conference Semifinals
198104070PHI,Eastern Conference Semifinals
198104100MIL,Eastern Conference Semifinals
198104120MIL,Eastern Conference Semifinals
198104150PHI,Eastern Conference Semifinals
198104170MIL,Eastern Conference Semifinals
198104190PHI,Eastern Conference Semifinals
198104070SAS,Western Conference Semifinals
198104080SAS,Western Conference Semifinals
198104100HOU,Western Conference Semifinals
198104120HOU,Western Conference Semifinals
198104140SAS,Western Conference Semifinals
198104150HOU,Western Conference Semifinals
198104170SAS,Western Conference Semifinals
198104070PHO,Western Conference Semifinals
198104080PHO,Western Conference Semifinals
198104100KCK,Western Conference Semifinals
198104120KCK,Western Conference Semifinals
198104150PHO,Western Conference Semifinals
198104170KCK,Western Conference Semifinals
198104190PHO,Western Conference Semifinals
198103310NYK,Eastern Conference First Round
198104030CHI,Eastern Conference First Round
198103310PHI,Eastern Conference First Round
198104020IND,Eastern Conference First Round
198104010LAL,Western Conference First Round
198104030HOU,Western Conference First Round
198104050LAL,Western Conference First Round
198104010POR,Western Conference First Round
198104030KCK,Western Conference First Round
198104050POR,Western Conference First Round
198205270PHI,Finals
198205300PHI,Finals
198206010LAL,Finals
198206030LAL,Finals
198206060PHI,Finals
198206080LAL,Finals
198205090BOS,Eastern Conference Finals
198205120BOS,Eastern Conference Finals
198205150PHI,Eastern Conference Finals
198205160PHI,Eastern Conference Finals
198205190BOS,Eastern Conference Finals
198205210PHI,Eastern Conference Finals
198205230BOS,Eastern Conference Finals
198205090LAL,Western Conference Finals
198205110LAL,Western Conference Finals
198205140SAS,Western Conference Finals
198205150SAS,Western Conference Finals
198204250BOS,Eastern Conference Semifinals
198204280BOS,Eastern Conference Semifinals
198205010WSB,Eastern Conference Semifinals
198205020WSB,Eastern Conference Semifinals
198205050BOS,Eastern Conference Semifinals
198204250PHI,Eastern Conference Semifinals
198204280PHI,Eastern Conference Semifinals
198205010MIL,Eastern Conference Semifinals
198205020MIL,Eastern Conference Semifinals
198205050PHI,Eastern Conference Semifinals
198205070MIL,Eastern Conference Semifinals
198204270LAL,Western Conference Semifinals
198204280LAL,Western Conference Semifinals
198204300PHO,Western Conference Semifinals
198205020PHO,Western Conference Semifinals
198204270SEA,Western Conference Semifinals
198204280SEA,Western Conference Semifinals
198204300SAS,Western Conference Semifinals
198205020SAS,Western Conference Semifinals
198205050SEA,Western Conference Semifinals
198204210PHI,Eastern Conference First Round
198204230ATL,Eastern Conference First Round
198204200NJN,Eastern Conference First Round
198204230WSB,Eastern Conference First Round
198204200DEN,Western Conference First Round
198204230PHO,Western Conference First Round
198204240DEN,Western Conference First Round
198204210SEA,Western Conference First Round
198204230HOU,Western Conference First Round
198204250SEA,Western Conference First Round
198305220PHI,Finals
198305260PHI,Finals
198305290LAL,Finals
198305310LAL,Finals
198305080PHI,Eastern Conference Finals
198305110PHI,Eastern Conference Finals
198305140MIL,Eastern Conference Finals
198305150MIL,Eastern Conference Finals
198305180PHI,Eastern Conference Finals
198305080LAL,Western Conference Finals
198305100LAL,Western Conference Finals
198305130SAS,Western Conference Finals
198305150SAS,Western Conference Finals
198305180LAL,Western Conference Finals
198305200SAS,Western Conference Finals
198304270BOS,Eastern Conference Semifinals
198304290BOS,Eastern Conference Semifinals
198305010MIL,Eastern Conference Semifinals
198305020MIL,Eastern Conference Semifinals
198304240PHI,Eastern Conference Semifinals
198304270PHI,Eastern Conference Semifinals
198304300NYK,Eastern Conference Semifinals
198305010NYK,Eastern Conference Semifinals
198304240LAL,Western Conference Semifinals
198304260LAL,Western Conference Semifinals
198304290POR,Western Conference Semifinals
198305010POR,Western Conference Semifinals
198305030LAL,Western Conference Semifinals
198304260SAS,Western Conference Semifinals
198304270SAS,Western Conference Semifinals
198304290DEN,Western Conference Semifinals
198305020DEN,Western Conference Semifinals
198305040SAS,Western Conference Semifinals
198304190BOS,Eastern Conference First Round
198304220ATL,Eastern Conference First Round
198304240BOS,Eastern Conference First Round
198304200NJN,Eastern Conference First Round
198304210NYK,Eastern Conference First Round
198304190PHO,Western Conference First Round
198304210DEN,Western Conference First Round
198304240PHO,Western Conference First Round
198304200SEA,Western Conference First Round
198304220POR,Western Conference First Round
198405270BOS,Finals
198405310BOS,Finals
198406030LAL,Finals
198406060LAL,Finals
198406080BOS,Finals
198406100LAL,Finals
198406120BOS,Finals
198405150BOS,Eastern Conference Finals
198405170BOS,Eastern Conference Finals
198405190MIL,Eastern Conference Finals
198405210MIL,Eastern Conference Finals
198405230BOS,Eastern Conference Finals
198405120LAL,Western Conference Finals
198405150LAL,Western Conference Finals
198405180PHO,Western Conference Finals
198405200PHO,Western Conference Finals
198405230LAL,Western Conference Finals
198405250PHO,Western Conference Finals
198404290BOS,Eastern Conference Semifinals
198405020BOS,Eastern Conference Semifinals
198405040NYK,Eastern Conference Semifinals
198405060NYK,Eastern Conference Semifinals
198405090BOS,Eastern Conference Semifinals
198405110NYK,Eastern Conference Semifinals
198405130BOS,Eastern Conference Semifinals
198404290MIL,Eastern Conference Semifinals
198405010MIL,Eastern Conference Semifinals
198405030NJN,Eastern Conference Semifinals
198405050NJN,Eastern Conference Semifinals
198405080MIL,Eastern Conference Semifinals
198405100NJN,Eastern Conference Semifinals
198404280LAL,Western Conference Semifinals
198405010LAL,Western Conference Semifinals
198405040DAL,Western Conference Semifinals
198405060DAL,Western Conference Semifinals
198405080LAL,Western Conference Semifinals
198404290UTA,Western Conference Semifinals
198405020UTA,Western Conference Semifinals
198405040PHO,Western Conference Semifinals
198405060PHO,Western Conference Semifinals
198405080UTA,Western Conference Semifinals
198405100PHO,Western Conference Semifinals
198404170BOS,Eastern Conference First Round
198404190BOS,Eastern Conference First Round
198404210WSB,Eastern Conference First Round
198404240WSB,Eastern Conference First Round
198404170MIL,Eastern Conference First Round
198404190MIL,Eastern Conference First Round
198404210ATL,Eastern Conference First Round
198404240ATL,Eastern Conference First Round
198404260MIL,Eastern Conference First Round
198404180PHI,Eastern Conference First Round
198404200PHI,Eastern Conference First Round
198404220NJN,Eastern Conference First Round
198404240NJN,Eastern Conference First Round
198404260PHI,Eastern Conference First Round
198404170DET,Eastern Conference First Round
198404190DET,Eastern Conference First Round
198404220NYK,Eastern Conference First Round
198404250NYK,Eastern Conference First Round
198404270DET,Eastern Conference First Round
198404170DAL,Western Conference First Round
198404190DAL,Western Conference First Round
198404210SEA,Western Conference First Round
198404240SEA,Western Conference First Round
198404260DAL,Western Conference First Round
198404180LAL,Western Conference First Round
198404200LAL,Western Conference First Round
198404220KCK,Western Conference First Round
198404180POR,Western Conference First Round
198404200POR,Western Conference First Round
198404220PHO,Western Conference First Round
198404240PHO,Western Conference First Round
198404260POR,Western Conference First Round
198404170UTA,Western Conference First Round
198404190UTA,Western Conference First Round
198404220DEN,Western Conference First Round
198404240DEN,Western Conference First Round
198404260UTA,Western Conference First Round
198505270BOS,Finals
198505300BOS,Finals
198506020LAL,Finals
198506050LAL,Finals
198506070LAL,Finals
198506090BOS,Finals
198505120BOS,Eastern Conference Finals
198505140BOS,Eastern Conference Finals
198505180PHI,Eastern Conference Finals
198505190PHI,Eastern Conference Finals
198505220BOS,Eastern Conference Finals
198505110LAL,Western Conference Finals
198505140LAL,Western Conference Finals
198505170DEN,Western Conference Finals
198505190DEN,Western Conference Finals
198505220LAL,Western Conference Finals
198504280BOS,Eastern Conference Semifinals
198504300BOS,Eastern Conference Semifinals
198505020DET,Eastern Conference Semifinals
198505050DET,Eastern Conference Semifinals
198505080BOS,Eastern Conference Semifinals
198505100DET,Eastern Conference Semifinals
198504280MIL,Eastern Conference Semifinals
198504300MIL,Eastern Conference Semifinals
198505030PHI,Eastern Conference Semifinals
198505050PHI,Eastern Conference Semifinals
198504300DEN,Western Conference Semifinals
198505020DEN,Western Conference Semifinals
198505040UTA,Western Conference Semifinals
198505050UTA,Western Conference Semifinals
198505070DEN,Western Conference Semifinals
198504270LAL,Western Conference Semifinals
198504300LAL,Western Conference Semifinals
198505030POR,Western Conference Semifinals
198505050POR,Western Conference Semifinals
198505070LAL,Western Conference Semifinals
198504180BOS,Eastern Conference First Round
198504200BOS,Eastern Conference First Round
198504230CLE,Eastern Conference First Round
198504250CLE,Eastern Conference First Round
198504180DET,Eastern Conference First Round
198504210DET,Eastern Conference First Round
198504240NJN,Eastern Conference First Round
198504190MIL,Eastern Conference First Round
198504210MIL,Eastern Conference First Round
198504240CHI,Eastern Conference First Round
198504260CHI,Eastern Conference First Round
198504170PHI,Eastern Conference First Round
198504210PHI,Eastern Conference First Round
198504240WSB,Eastern Conference First Round
198504260WSB,Eastern Conference First Round
198504180DEN,Western Conference First Round
198504200DEN,Western Conference First Round
198504230SAS,Western Conference First Round
198504260SAS,Western Conference First Round
198504280DEN,Western Conference First Round
198504180LAL,Western Conference First Round
198504200LAL,Western Conference First Round
198504230PHO,Western Conference First Round
198504180DAL,Western Conference First Round
198504200DAL,Western Conference First Round
198504230POR,Western Conference First Round
198504250POR,Western Conference First Round
198504190HOU,Western Conference First Round
198504210HOU,Western Conference First Round
198504240UTA,Western Conference First Round
198504260UTA,Western Conference First Round
198504280HOU,Western Conference First Round
198605260BOS,Finals
198605290BOS,Finals
198606010HOU,Finals
198606030HOU,Finals
198606050HOU,Finals
198606080BOS,Finals
198605130BOS,Eastern Conference Finals
198605150BOS,Eastern Conference Finals
198605170MIL,Eastern Conference Finals
198605180MIL,Eastern Conference Finals
198605100LAL,Western Conference Finals
198605130LAL,Western Conference Finals
198605160HOU,Western Conference Finals
198605180HOU,Western Conference Finals
198605210LAL,Western Conference Finals
198604270BOS,Eastern Conference Semifinals
198604290BOS,Eastern Conference Semifinals
198605020ATL,Eastern Conference Semifinals
198605040ATL,Eastern Conference Semifinals
198605060BOS,Eastern Conference Semifinals
198604290MIL,Eastern Conference Semifinals
198605010MIL,Eastern Conference Semifinals
198605030PHI,Eastern Conference Semifinals
198605050PHI,Eastern Conference Semifinals
198605070MIL,Eastern Conference Semifinals
198605090PHI,Eastern Conference Semifinals
198605110MIL,Eastern Conference Semifinals
198604260HOU,Western Conference Semifinals
198604290HOU,Western Conference Semifinals
198605020DEN,Western Conference Semifinals
198605040DEN,Western Conference Semifinals
198605060HOU,Western Conference Semifinals
198605080DEN,Western Conference Semifinals
198604270LAL,Western Conference Semifinals
198604300LAL,Western Conference Semifinals
198605020DAL,Western Conference Semifinals
198605040DAL,Western Conference Semifinals
198605060LAL,Western Conference Semifinals
198605080DAL,Western Conference Semifinals
198604170ATL,Eastern Conference First Round
198604190ATL,Eastern Conference First Round
198604220DET,Eastern Conference First Round
198604250DET,Eastern Conference First Round
198604170BOS,Eastern Conference First Round
198604200BOS,Eastern Conference First Round
198604220CHI,Eastern Conference First Round
198604180MIL,Eastern Conference First Round
198604200MIL,Eastern Conference First Round
198604220NJN,Eastern Conference First Round
198604180PHI,Eastern Conference First Round
198604200PHI,Eastern Conference First Round
198604220WSB,Eastern Conference First Round
198604240WSB,Eastern Conference First Round
198604270PHI,Eastern Conference First Round
198604180DAL,Western Conference First Round
198604200DAL,Western Conference First Round
198604230UTA,Western Conference First Round
198604250UTA,Western Conference First Round
198604180DEN,Western Conference First Round
198604200DEN,Western Conference First Round
198604220POR,Western Conference First Round
198604240POR,Western Conference First Round
198604170HOU,Western Conference First Round
198604190HOU,Western Conference First Round
198604220SAC,Western Conference First Round
198604170LAL,Western Conference First Round
198604190LAL,Western Conference First Round
198604230SAS,Western Conference First Round
198706020LAL,Finals
198706040LAL,Finals
198706070BOS,Finals
198706090BOS,Finals
198706110BOS,Finals
198706140LAL,Finals
198705190BOS,Eastern Conference Finals
198705210BOS,Eastern Conference Finals
198705230DET,Eastern Conference Finals
198705240DET,Eastern Conference Finals
198705260BOS,Eastern Conference Finals
198705280DET,Eastern Conference Finals
198705300BOS,Eastern Conference Finals
198705160LAL,Western Conference Finals
198705190LAL,Western Conference Finals
198705230SEA,Western Conference Finals
198705250SEA,Western Conference Finals
198705050BOS,Eastern Conference Semifinals
198705060BOS,Eastern Conference Semifinals
198705080MIL,Eastern Conference Semifinals
198705100MIL,Eastern Conference Semifinals
198705130BOS,Eastern Conference Semifinals
198705150MIL,Eastern Conference Semifinals
198705170BOS,Eastern Conference Semifinals
198705030ATL,Eastern Conference Semifinals
198705050ATL,Eastern Conference Semifinals
198705080DET,Eastern Conference Semifinals
198705100DET,Eastern Conference Semifinals
198705130ATL,Eastern Conference Semifinals
198705050LAL,Western Conference Semifinals
198705070LAL,Western Conference Semifinals
198705090GSW,Western Conference Semifinals
198705100GSW,Western Conference Semifinals
198705120LAL,Western Conference Semifinals
198705020HOU,Western Conference Semifinals
198705050HOU,Western Conference Semifinals
198705070SEA,Western Conference Semifinals
198705090SEA,Western Conference Semifinals
198705120HOU,Western Conference Semifinals
198705140SEA,Western Conference Semifinals
198704240ATL,Eastern Conference First Round
198704260ATL,Eastern Conference First Round
198704290IND,Eastern Conference First Round
198705010IND,Eastern Conference First Round
198704230BOS,Eastern Conference First Round
198704260BOS,Eastern Conference First Round
198704280CHI,Eastern Conference First Round
198704240DET,Eastern Conference First Round
198704260DET,Eastern Conference First Round
198704290WSB,Eastern Conference First Round
198704240MIL,Eastern Conference First Round
198704260MIL,Eastern Conference First Round
198704290PHI,Eastern Conference First Round
198705010PHI,Eastern Conference First Round
198705030MIL,Eastern Conference First Round
198704230UTA,Western Conference First Round
198704250UTA,Western Conference First Round
198704290GSW,Western Conference First Round
198705010GSW,Western Conference First Round
198705030UTA,Western Conference First Round
198704240POR,Western Conference First Round
198704260POR,Western Conference First Round
198704280HOU,Western Conference First Round
198704300HOU,Western Conference First Round
198704230LAL,Western Conference First Round
198704250LAL,Western Conference First Round
198704290DEN,Western Conference First Round
198704230DAL,Western Conference First Round
198704250DAL,Western Conference First Round
198704280SEA,Western Conference First Round
198704300SEA,Western Conference First Round
198806070LAL,Finals
198806090LAL,Finals
198806120DET,Finals
198806140DET,Finals
198806160DET,Finals
198806190LAL,Finals
198806210LAL,Finals
198805250BOS,Eastern Conference Finals
198805260BOS,Eastern Conference Finals
198805280DET,Eastern Conference Finals
198805300DET,Eastern Conference Finals
198806010BOS,Eastern Conference Finals
198806030DET,Eastern Conference Finals
198805230LAL,Western Conference Finals
198805250LAL,Western Conference Finals
198805270DAL,Western Conference Finals
198805290DAL,Western Conference Finals
198805310LAL,Western Conference Finals
198806020DAL,Western Conference Finals
198806040LAL,Western Conference Finals
198805110BOS,Eastern Conference Semifinals
198805130BOS,Eastern Conference Semifinals
198805150ATL,Eastern Conference Semifinals
198805160ATL,Eastern Conference Semifinals
198805180BOS,Eastern Conference Semifinals
198805200ATL,Eastern Conference Semifinals
198805220BOS,Eastern Conference Semifinals
198805100DET,Eastern Conference Semifinals
198805120DET,Eastern Conference Semifinals
198805140CHI,Eastern Conference Semifinals
198805150CHI,Eastern Conference Semifinals
198805180DET,Eastern Conference Semifinals
198805100DEN,Western Conference Semifinals
198805120DEN,Western Conference Semifinals
198805140DAL,Western Conference Semifinals
198805150DAL,Western Conference Semifinals
198805170DEN,Western Conference Semifinals
198805190DAL,Western Conference Semifinals
198805080LAL,Western Conference Semifinals
198805100LAL,Western Conference Semifinals
198805130UTA,Western Conference Semifinals
198805150UTA,Western Conference Semifinals
198805170LAL,Western Conference Semifinals
198805190UTA,Western Conference Semifinals
198805210LAL,Western Conference Semifinals
198804290ATL,Eastern Conference First Round
198805010ATL,Eastern Conference First Round
198805040MIL,Eastern Conference First Round
198805060MIL,Eastern Conference First Round
198805080ATL,Eastern Conference First Round
198804290BOS,Eastern Conference First Round
198805010BOS,Eastern Conference First Round
198805040NYK,Eastern Conference First Round
198805060NYK,Eastern Conference First Round
198804280CHI,Eastern Conference First Round
198805010CHI,Eastern Conference First Round
198805030CLE,Eastern Conference First Round
198805050CLE,Eastern Conference First Round
198805080CHI,Eastern Conference First Round
198804280DET,Eastern Conference First Round
198804300DET,Eastern Conference First Round
198805020WSB,Eastern Conference First Round
198805040WSB,Eastern Conference First Round
198805080DET,Eastern Conference First Round
198804280DAL,Western Conference First Round
198804300DAL,Western Conference First Round
198805030HOU,Western Conference First Round
198805050HOU,Western Conference First Round
198804290DEN,Western Conference First Round
198805010DEN,Western Conference First Round
198805030SEA,Western Conference First Round
198805050SEA,Western Conference First Round
198805070DEN,Western Conference First Round
198804290LAL,Western Conference First Round
198805010LAL,Western Conference First Round
198805030SAS,Western Conference First Round
198804280POR,Western Conference First Round
198804300POR,Western Conference First Round
198805040UTA,Western Conference First Round
198805060UTA,Western Conference First Round
198906060DET,Finals
198906080DET,Finals
198906110LAL,Finals
198906130LAL,Finals
198905210DET,Eastern Conference Finals
198905230DET,Eastern Conference Finals
198905270CHI,Eastern Conference Finals
198905290CHI,Eastern Conference Finals
198905310DET,Eastern Conference Finals
198906020CHI,Eastern Conference Finals
198905200LAL,Western Conference Finals
198905230LAL,Western Conference Finals
198905260PHO,Western Conference Finals
198905280PHO,Western Conference Finals
198905090NYK,Eastern Conference Semifinals
198905110NYK,Eastern Conference Semifinals
198905130CHI,Eastern Conference Semifinals
198905140CHI,Eastern Conference Semifinals
198905160NYK,Eastern Conference Semifinals
198905190CHI,Eastern Conference Semifinals
198905100DET,Eastern Conference Semifinals
198905120DET,Eastern Conference Semifinals
198905140MIL,Eastern Conference Semifinals
198905150MIL,Eastern Conference Semifinals
198905070LAL,Western Conference Semifinals
198905100LAL,Western Conference Semifinals
198905120SEA,Western Conference Semifinals
198905140SEA,Western Conference Semifinals
198905060PHO,Western Conference Semifinals
198905090PHO,Western Conference Semifinals
198905110GSW,Western Conference Semifinals
198905130GSW,Western Conference Semifinals
198905160PHO,Western Conference Semifinals
198904280CLE,Eastern Conference First Round
198904300CLE,Eastern Conference First Round
198905030CHI,Eastern Conference First Round
198905050CHI,Eastern Conference First Round
198905070CLE,Eastern Conference First Round
198904280DET,Eastern Conference First Round
198904300DET,Eastern Conference First Round
198905020BOS,Eastern Conference First Round
198904270ATL,Eastern Conference First Round
198904290ATL,Eastern Conference First Round
198905020MIL,Eastern Conference First Round
198905050MIL,Eastern Conference First Round
198905070ATL,Eastern Conference First Round
198904270NYK,Eastern Conference First Round
198904290NYK,Eastern Conference First Round
198905020PHI,Eastern Conference First Round
198904270UTA,Western Conference First Round
198904290UTA,Western Conference First Round
198905020GSW,Western Conference First Round
198904270LAL,Western Conference First Round
198904300LAL,Western Conference First Round
198905030POR,Western Conference First Round
198904280PHO,Western Conference First Round
198904300PHO,Western Conference First Round
198905020DEN,Western Conference First Round
198904280SEA,Western Conference First Round
198904300SEA,Western Conference First Round
198905030HOU,Western Conference First Round
198905050HOU,Western Conference First Round
199006050DET,Finals
199006070DET,Finals
199006100POR,Finals
199006120POR,Finals
199006140POR,Finals
199005200DET,Eastern Conference Finals
199005220DET,Eastern Conference Finals
199005260CHI,Eastern Conference Finals
199005280CHI,Eastern Conference Finals
199005300DET,Eastern Conference Finals
199006010CHI,Eastern Conference Finals
199006030DET,Eastern Conference Finals
199005210POR,Western Conference Finals
199005230POR,Western Conference Finals
199005250PHO,Western Conference Finals
199005270PHO,Western Conference Finals
199005290POR,Western Conference Finals
199005310PHO,Western Conference Finals
199005070CHI,Eastern Conference Semifinals
199005090CHI,Eastern Conference Semifinals
199005110PHI,Eastern Conference Semifinals
199005130PHI,Eastern Conference Semifinals
199005160CHI,Eastern Conference Semifinals
199005080DET,Eastern Conference Semifinals
199005100DET,Eastern Conference Semifinals
199005120NYK,Eastern Conference Semifinals
199005130NYK,Eastern Conference Semifinals
199005150DET,Eastern Conference Semifinals
199005080LAL,Western Conference Semifinals
199005100LAL,Western Conference Semifinals
199005120PHO,Western Conference Semifinals
199005130PHO,Western Conference Semifinals
199005150LAL,Western Conference Semifinals
199005050POR,Western Conference Semifinals
199005080POR,Western Conference Semifinals
199005100SAS,Western Conference Semifinals
199005120SAS,Western Conference Semifinals
199005150POR,Western Conference Semifinals
199005170SAS,Western Conference Semifinals
199005190POR,Western Conference Semifinals
199004270CHI,Eastern Conference First Round
199004290CHI,Eastern Conference First Round
199005010MIL,Eastern Conference First Round
199005030MIL,Eastern Conference First Round
199004260DET,Eastern Conference First Round
199004280DET,Eastern Conference First Round
199005010IND,Eastern Conference First Round
199004260BOS,Eastern Conference First Round
199004280BOS,Eastern Conference First Round
199005020NYK,Eastern Conference First Round
199005040NYK,Eastern Conference First Round
199005060BOS,Eastern Conference First Round
199004260PHI,Eastern Conference First Round
199004290PHI,Eastern Conference First Round
199005010CLE,Eastern Conference First Round
199005030CLE,Eastern Conference First Round
199005050PHI,Eastern Conference First Round
199004270LAL,Western Conference First Round
199004290LAL,Western Conference First Round
199005010HOU,Western Conference First Round
199005030HOU,Western Conference First Round
199004270UTA,Western Conference First Round
199004290UTA,Western Conference First Round
199005020PHO,Western Conference First Round
199005040PHO,Western Conference First Round
199005060UTA,Western Conference First Round
199004260POR,Western Conference First Round
199004280POR,Western Conference First Round
199005010DAL,Western Conference First Round
199004260SAS,Western Conference First Round
199004280SAS,Western Conference First Round
199005010DEN,Western Conference First Round
199106020CHI,Finals
199106050CHI,Finals
199106070LAL,Finals
199106090LAL,Finals
199106120LAL,Finals
199105190CHI,Eastern Conference Finals
199105210CHI,Eastern Conference Finals
199105250DET,Eastern Conference Finals
199105270DET,Eastern Conference Finals
199105180POR,Western Conference Finals
199105210POR,Western Conference Finals
199105240LAL,Western Conference Finals
199105260LAL,Western Conference Finals
199105280POR,Western Conference Finals
199105300LAL,Western Conference Finals
199105040CHI,Eastern Conference Semifinals
199105060CHI,Eastern Conference Semifinals
199105100PHI,Eastern Conference Semifinals
199105120PHI,Eastern Conference Semifinals
199105140CHI,Eastern Conference Semifinals
199105070BOS,Eastern Conference Semifinals
199105090BOS,Eastern Conference Semifinals
199105110DET,Eastern Conference Semifinals
199105130DET,Eastern Conference Semifinals
199105150BOS,Eastern Conference Semifinals
199105170DET,Eastern Conference Semifinals
199105050LAL,Western Conference Semifinals
199105080LAL,Western Conference Semifinals
199105100GSW,Western Conference Semifinals
199105120GSW,Western Conference Semifinals
199105140LAL,Western Conference Semifinals
199105070POR,Western Conference Semifinals
199105090POR,Western Conference Semifinals
199105110UTA,Western Conference Semifinals
199105120UTA,Western Conference Semifinals
199105140POR,Western Conference Semifinals
199104260BOS,Eastern Conference First Round
199104280BOS,Eastern Conference First Round
199105010IND,Eastern Conference First Round
199105030IND,Eastern Conference First Round
199105050BOS,Eastern Conference First Round
199104250CHI,Eastern Conference First Round
199104280CHI,Eastern Conference First Round
199104300NYK,Eastern Conference First Round
199104260DET,Eastern Conference First Round
199104280DET,Eastern Conference First Round
199104300ATL,Eastern Conference First Round
199105020ATL,Eastern Conference First Round
199105050DET,Eastern Conference First Round
199104250MIL,Eastern Conference First Round
199104270MIL,Eastern Conference First Round
199104300PHI,Eastern Conference First Round
199104250SAS,Western Conference First Round
199104270SAS,Western Conference First Round
199105010GSW,Western Conference First Round
199105030GSW,Western Conference First Round
199104250LAL,Western Conference First Round
199104270LAL,Western Conference First Round
199104300HOU,Western Conference First Round
199104260POR,Western Conference First Round
199104280POR,Western Conference First Round
199104300SEA,Western Conference First Round
199105020SEA,Western Conference First Round
199105040POR,Western Conference First Round
199104250PHO,Western Conference First Round
199104270PHO,Western Conference First Round
199104300UTA,Western Conference First Round
199105020UTA,Western Conference First Round
199206030CHI,Finals
